DateTime,Entries,UniqueIPs
1539798141,5141,5141
1539798984,5149,5149
1539800058,5131,5131
1539801285,5112,5112
1539802577,5127,5127
1539803660,5127,5127
1539804797,5128,5128
1539806119,5147,5147
1539807323,5188,5188
1539808829,5241,5241
1539809957,5251,5251
1539810858,5265,5265
1539812426,5266,5266
1539813378,5282,5282
1539814528,5277,5277
1539816028,5282,5282
1539816979,5287,5287
1539818133,5276,5276
1539819758,5273,5273
1539821424,5276,5276
1539822498,5285,5285
1539824198,5274,5274
1539826115,5269,5269
1539827725,5229,5229
1539828859,5229,5229
1539830184,5216,5216
1539831589,5216,5216
1539832827,5227,5227
1539834035,5212,5212
1539834988,5213,5213
1539836907,5208,5208
1539838586,5201,5201
1539840504,5186,5186
1539843261,5148,5148
1539845132,5129,5129
1539845781,5134,5134
1539847704,5131,5131
1539848573,5109,5109
1539850461,5105,5105
1539851758,5085,5085
1539852933,5084,5084
1539854069,5066,5066
1539855539,5045,5045
1539856579,5030,5030
1539857667,5033,5033
1539858513,5065,5065
1539860184,5118,5118
1539861324,5176,5176
1539862828,5177,5177
1539864636,5134,5134
1539865819,5027,5027
1539866564,5006,5006
1539867923,4946,4946
1539869085,4965,4965
1539870327,4758,4758
1539871781,4648,4648
1539872904,4664,4664
1539873742,4519,4519
1539875663,4523,4523
1539879260,4506,4506
1539880943,4504,4504
1539882858,4505,4505
1539884424,4494,4494
1539885379,4489,4489
1539886533,4483,4483
1539888028,4484,4484
1539889519,4477,4477
1539890717,4500,4500
1539891918,4508,4508
1539893211,4502,4502
1539894511,4531,4531
1539896182,4534,4534
1539897331,4538,4538
1539898940,4535,4535
1539900632,4548,4548
1539900863,4549,4549
1539902124,4546,4546
1539903323,4549,4549
1539904462,4527,4527
1539905304,4542,4542
1539908062,4536,4536
1539909627,4527,4527
1539910581,4535,4535
1539912503,4536,4536
1539913360,4519,4519
1539914573,4510,4510
1539915260,4514,4514
1539917790,4501,4501
1539918939,4502,4502
1539919706,4511,4511
1539921400,4497,4497
1539922460,4488,4488
1539924154,4472,4472
1539926064,4473,4473
1539927629,4460,4460
1539929420,4445,4445
1539931358,4413,4413
1539933266,4408,4408
1539934118,4415,4415
1539935782,4408,4408
1539937702,4427,4427
1539938562,4406,4406
1539939922,4422,4422
1539940463,4432,4432
1539942150,4475,4475
1539942983,4497,4497
1539944907,4505,4505
1539947124,4495,4495
1539947664,4515,4515
1539948512,4544,4544
1539949357,4537,4537
1539951264,4555,4555
1539952110,4570,4570
1539953425,4553,4553
1539954635,4560,4560
1539955828,4559,4559
1539956967,4570,4570
1539958231,4576,4576
1539960027,4594,4594
1539960978,4604,4604
1539962083,4610,4610
1539962903,4623,4623
1539964579,4614,4614
1539966516,4632,4632
1539968134,4636,4636
1539969333,4641,4641
1539971117,4637,4637
1539972860,4654,4654
1539973737,4667,4667
1539974554,4656,4656
1539975920,4661,4661
1539977313,4685,4685
1539978149,4690,4690
1539979827,4673,4673
1539980065,4680,4680
1539981325,4682,4682
1539982578,4707,4707
1539983724,4716,4716
1539984925,4713,4713
1539986180,4724,4724
1539987261,4721,4721
1539988523,4716,4716
1539989700,4731,4731
1539991702,4743,4743
1539993381,4724,4724
1539994468,4726,4726
1539995800,4731,4731
1539996143,4735,4735
1539996983,4745,4745
1539998134,4732,4732
1539999661,4706,4706
1540001663,4711,4711
1540003230,4710,4710
1540004724,4705,4705
1540005265,4712,4712
1540006942,4703,4703
1540007783,4711,4711
1540008884,4698,4698
1540010566,4696,4696
1540011936,4698,4698
1540013882,4697,4697
1540015767,4702,4702
1540016064,4708,4708
1540017636,4717,4717
1540019667,4722,4722
1540021231,4717,4717
1540022594,4726,4726
1540024100,4745,4745
1540024943,4729,4729
1540025782,4740,4740
1540026921,4737,4737
1540027712,4740,4740
1540028548,4727,4727
1540030238,4706,4706
1540030462,4708,4708
1540032024,4636,4636
1540033172,4632,4632
1540034429,4648,4648
1540035989,4612,4612
1540037437,4621,4621
1540038925,4621,4621
1540040184,4638,4638
1540041321,4630,4630
1540042952,4615,4615
1540044622,4620,4620
1540044861,4621,4621
1540046123,4615,4615
1540046550,4613,4613
1540048461,4618,4618
1540050148,4612,4612
1540051830,4599,4599
1540052055,4601,4601
1540053179,4585,4585
1540054859,4563,4563
1540056025,4610,4610
1540057131,4600,4600
1540057353,4598,4598
1540058177,4607,4607
1540059261,4589,4589
1540060521,4572,4572
1540062217,4573,4573
1540064118,4574,4574
1540065376,4584,4584
1540067312,4572,4572
1540068714,4560,4560
1540070071,4547,4547
1540070916,4554,4554
1540072580,4546,4546
1540073723,4545,4545
1540075360,4511,4511
1540077268,4501,4501
1540078107,4510,4510
1540079779,4506,4506
1540080858,4487,4487
1540082560,4465,4465
1540083925,4465,4465
1540085428,4470,4470
1540086160,4461,4461
1540087830,4490,4490
1540088060,4490,4490
1540089325,4479,4479
1540090581,4487,4487
1540091735,4471,4471
1540092523,4476,4476
1540095038,4458,4458
1540095259,4461,4461
1540096822,4470,4470
1540097778,4482,4482
1540098868,4479,4479
1540099713,4485,4485
1540101387,4484,4484
1540103305,4497,4497
1540104927,4483,4483
1540106066,4478,4478
1540107742,4460,4460
1540109431,4457,4457
1540110504,4473,4473
1540112178,4450,4450
1540113260,4438,4438
1540114829,4437,4437
1540116858,4423,4423
1540117699,4434,4434
1540119920,4346,4346
1540120471,4350,4350
1540121738,4341,4341
1540123786,4334,4334
1540125749,4319,4319
1540127125,4313,4313
1540128301,4327,4327
1540129819,4305,4305
1540131067,4313,4313
1540132952,4287,4287
1540133783,4290,4290
1540134865,4281,4281
1540136548,4260,4260
1540138231,4254,4254
1540139216,4258,4258
1540140979,4243,4243
1540142907,4247,4247
1540144339,4238,4238
1540145717,4218,4218
1540146518,4223,4223
1540147352,4198,4198
1540149264,4229,4229
1540150115,4253,4253
1540151954,4238,4238
1540153709,4273,4273
1540155386,4277,4277
1540157307,4274,4274
1540159836,4200,4200
1540161055,4186,4186
1540162581,4199,4199
1540163728,4196,4196
1540165226,4190,4190
1540167027,4197,4197
1540167258,4200,4200
1540168828,4185,4185
1540169780,4174,4174
1540170939,4165,4165
1540172429,4153,4153
1540174239,4146,4146
1540175305,4157,4157
1540176931,4150,4150
1540178062,4136,4136
1540178903,4141,4141
1540180585,4129,4129
1540181660,4122,4122
1540182509,4134,4134
1540183361,4110,4110
1540185260,4118,4118
1540186105,4123,4123
1540188633,4134,4134
1540189713,4154,4154
1540191028,4150,4150
1540192243,4132,4132
1540193315,4151,4151
1540194178,4133,4133
1540196062,4143,4143
1540197758,4126,4126
1540198586,4139,4139
1540200510,4163,4163
1540202047,4150,4150
1540203264,4165,4165
1540204827,4182,4182
1540206245,4181,4181
1540206869,4193,4193
1540207711,4210,4210
1540209381,4181,4181
1540210527,4178,4178
1540211723,4173,4173
1540212920,4175,4175
1540214123,4177,4177
1540215629,4172,4172
1540215757,4167,4167
1540216940,4177,4177
1540219229,4207,4207
1540220722,4206,4206
1540221276,4218,4218
1540222111,4223,4223
1540223713,4230,4230
1540225716,4238,4238
1540227930,4193,4193
1540231291,4187,4187
1540232429,4197,4197
1540233631,4181,4181
1540235121,4186,4186
1540236511,4201,4201
1540237350,4186,4186
1540239324,4178,4178
1540241962,4161,4161
1540243226,4171,4171
1540244545,4163,4163
1540245391,4168,4168
1540246464,4167,4167
1540248142,4166,4166
1540248986,4177,4177
1540250122,4167,4167
1540251631,4165,4165
1540253661,4153,4153
1540255342,4134,4134
1540256181,4142,4142
1540258103,4131,4131
1540259735,4085,4085
1540260859,4072,4072
1540262122,4067,4067
1540263735,4057,4057
1540264852,4064,4064
1540266144,4168,4168
1540267839,4159,4159
1540269012,4140,4140
1540270221,4144,4144
1540271426,4140,4140
1540273368,4129,4129
1540275264,4140,4140
1540276113,4151,4151
1540276943,4144,4144
1540278324,4131,4131
1540279717,4144,4144
1540280831,4126,4126
1540282239,4124,4124
1540282462,4127,4127
1540284181,4106,4106
1540285524,4109,4109
1540286719,4118,4118
1540287931,4102,4102
1540289665,4107,4107
1540290904,4095,4095
1540292123,4103,4103
1540293264,4096,4096
1540294845,4095,4095
1540295978,4082,4082
1540297233,4093,4093
1540298260,4100,4100
1540299926,4098,4098
1540301717,4065,4065
1540303834,4064,4064
1540305047,4050,4050
1540307113,4045,4045
1540307662,4048,4048
1540308509,4055,4055
1540310097,4049,4049
1540312114,4049,4049
1540313465,4031,4031
1540314621,4019,4019
1540315703,4032,4032
1540318223,4054,4054
1540319332,4073,4073
1540320156,4055,4055
1540320979,4058,4058
1540322123,4045,4045
1540323320,4052,4052
1540324528,4080,4080
1540325721,4077,4077
1540326920,4068,4068
1540327359,4071,4071
1540328180,4085,4085
1540329259,4085,4085
1540330431,4079,4079
1540331561,4076,4076
1540332923,4070,4070
1540334541,4068,4068
1540335392,4079,4079
1540336525,4071,4071
1540338028,4052,4052
1540338980,4062,4062
1540340083,4055,4055
1540340904,4066,4066
1540342586,4064,4064
1540344525,4050,4050
1540347023,4023,4023
1540348107,4027,4027
1540349780,4022,4022
1540351700,4029,4029
1540353587,4001,4001
1540354834,4010,4010
1540356178,3963,3963
1540356993,3976,3976
1540358064,3965,3965
1540358904,3973,3973
1540360222,3943,3943
1540361662,3930,3930
1540363355,3917,3917
1540364183,3926,3926
1540365322,3914,3914
1540366807,3905,3905
1540367782,3899,3899
1540368864,3895,3895
1540370184,3886,3886
1540371325,3886,3886
1540373305,3887,3887
1540375480,3847,3847
1540377166,3832,3832
1540377765,3826,3826
1540378580,3832,3832
1540380517,3750,3750
1540381362,3726,3726
1540382186,3740,3740
1540383047,3733,3733
1540384955,3734,3734
1540385780,3741,3741
1540386925,3741,3741
1540388130,3715,3715
1540390224,3701,3701
1540391315,3716,3716
1540392149,3705,3705
1540393528,3701,3701
1540394062,3705,3705
1540395320,3700,3700
1540396668,3708,3708
1540397661,3699,3699
1540399359,3689,3689
1540401269,3742,3742
1540402719,3784,3784
1540403983,3800,3800
1540405221,3828,3828
1540406425,3841,3841
1540407922,3845,3845
1540409308,3872,3872
1540410621,3867,3867
1540411828,3859,3859
1540412066,3877,3877
1540413750,3938,3938
1540415121,3960,3960
1540416321,3985,3985
1540417524,3974,3974
1540419026,3979,3979
1540420108,3992,3992
1540420943,3976,3976
1540422287,3961,3961
1540423854,3969,3969
1540425320,3981,3981
1540426524,3971,3971
1540427732,3962,3962
1540428957,4004,4004
1540430138,4069,4069
1540430912,4133,4133
1540432582,4222,4222
1540433660,4290,4290
1540434925,4347,4347
1540436101,4249,4249
1540437260,4304,4304
1540438528,4354,4354
1540439732,4419,4419
1540440890,4449,4449
1540442559,4490,4490
1540443385,4521,4521
1540444525,4537,4537
1540446164,4525,4525
1540446983,4532,4532
1540448133,4538,4538
1540449314,4529,4529
1540450507,4537,4537
1540451644,4523,4523
1540453224,4521,4521
1540455263,4528,4528
1540456452,4526,4526
1540457784,4537,4537
1540458860,4534,4534
1540460547,4529,4529
1540461379,4542,4542
