DateTime,AddedIPs,RemovedIPs
1537301689,1,0
1537303541,0,1
1537304194,1,0
1537306143,0,1
1537306954,0,1
1537322458,1,0
1537325808,1,0
1537327727,1,0
1537331464,1,0
1537334152,0,1
1537335784,0,2
1537336957,2,0
1537340627,0,1
1537348489,1,0
1537353647,0,13
1537354605,0,2
1537355753,0,2
1537359287,1,0
1537362950,2,0
1537372601,0,2
1537373673,1,0
1537375891,0,1
1537378246,1,0
1537382560,1,0
1537400568,1,0
1537412752,0,1
1537418557,0,2
1537422057,1,1
1537431039,1,0
1537432265,1,0
1537438244,1,1
1537440161,2,0
1537450542,0,1
1537455035,1,0
1537457405,1,1
1537459426,1,0
1537461346,1,0
1537472553,0,1
1537475907,1,0
1537480242,1,0
1537481458,0,1
1537499686,0,2
1537502199,0,1
1537505812,3,2
1537506955,0,1
1537509780,3,0
1537515939,0,1
1537519246,1,3
1537520741,0,2
1537525782,1,0
1537533770,2,0
1537536944,0,1
1537540952,1,0
1537545781,0,12
1537548154,0,25
1537550085,0,1
1537554543,1,0
1537556192,1,0
1537564474,1,0
1537572537,1,0
1537577417,2,0
1537587352,0,1
1537593351,1,0
1537596648,2,0
1537619805,1,1
1537626537,0,1
1537630967,0,4
1537632873,0,5
1537635041,0,2
1537636473,1,0
1537638163,1,0
1537639555,0,2
1537658082,1,0
1537668468,0,1
1537686175,0,1
1537690473,1,0
1537691339,1,0
1537700193,1,0
1537710342,4,0
1537713754,0,1
1537724561,0,1
1537727441,1,0
1537728155,1,0
1537732605,0,1
1537733673,0,1
1537735352,0,5
1537737278,0,1
1537738964,0,3
1537740945,0,1
1537743951,0,2
1537746350,0,2
1537756141,1,0
1537758884,0,1
1537767758,0,1
1537768959,1,0
1537776119,1,0
1537781378,0,1
1537785759,0,1
1537789354,0,1
1537794959,0,1
1537831785,1,0
1537837546,0,1
1537841761,0,1
1537857761,1,0
1537860643,0,1
1537868562,0,2
1537876593,1,0
1537881276,0,5
1537884954,1,0
1537896585,0,1
1537913209,1,0
1537942201,1,0
1537945016,1,0
1537954550,0,1
1537983763,7,0
1537985450,4,0
1537990202,1,0
1538015425,0,10
1538016943,1,0
1538020620,0,1
1538024391,0,1
1538029861,3,0
1538039763,0,1
1538040594,0,2
1538045795,1,0
1538046963,0,1
1538060803,0,1
1538062189,0,1
1538082875,0,1
1538092607,1,0
1538093685,1,0
1538110605,0,1
1538111685,0,1
1538112545,1,0
1538116958,0,1
1538122247,1,1
1538126083,1,0
1538127472,0,2
1538136229,1,0
1538141742,1,0
1538144445,1,0
1538146596,1,0
1538155738,1,0
1538160173,0,2
1538162073,1,0
1538165391,1,0
1538167361,1,0
1538173249,1,0
1538175409,1,1
1538201676,0,1
1538203553,1,0
1538212473,0,1
1538215312,0,1
1538220941,1,1
1538222193,1,0
1538228738,0,1
1538230245,0,1
1538238536,1,0
1538243542,1,0
1538246151,0,1
1538253047,2,0
1538254546,1,0
1538255749,1,0
1538257358,1,0
1538263740,0,1
1538265401,0,1
1538266551,0,1
1538272609,1,0
1538276754,2,0
1538288084,2,0
1538304641,1,0
1538307032,0,1
1538307770,1,0
1538343762,0,1
1538346658,1,1
1538348141,0,1
1538352655,0,1
1538381681,0,1
1538390009,1,1
1538393560,1,1
1538394712,1,0
1538401360,1,0
1538441743,1,0
1538450092,1,0
1538455381,0,1
1538461729,1,0
1538469775,1,0
1538475348,0,1
1538482195,1,0
1538489744,1,0
1538493287,1,0
1538509357,1,0
1538545844,0,1
1538553342,0,1
1538561743,0,1
1538565274,2,0
1538567448,0,1
1538574520,2,0
1538589392,1,0
1538596365,0,1
1538611844,0,1
1538620548,0,1
1538649950,0,1
1538657444,1,0
1538658649,0,1
1538659729,1,0
1538667335,0,1
1538682165,0,1
1538704540,2,0
1538710215,0,1
1538720153,0,1
1538723689,0,1
1538734553,0,2
1538735739,1,0
1538741451,0,1
1538744676,1,2
1538746139,1,0
1538755001,0,1
1538756443,0,1
1538763286,1,0
1538766355,0,1
1538776240,1,0
1538782215,0,1
1538792089,0,1
1538794623,1,0
1538802950,0,1
1538815837,1,0
1538818956,0,2
1538822573,0,6
1538824476,1,0
1538830607,1,0
1538831745,0,1
1538835353,1,1
1538838212,1,1
1538839849,1,0
1538847765,1,0
1538849681,1,0
1538851836,0,1
1538853276,1,0
1538861444,1,0
1538884613,0,1
1538908981,0,1
1538910876,1,1
1538911784,1,1
1538916162,0,1
1538926957,1,0
1538928888,1,0
1538936086,0,1
1538946351,0,2
1538954086,2,0
1538966204,1,0
1538970149,0,1
1538971855,0,1
1538982656,1,0
1538984568,0,1
1538995358,3,0
1538996197,1,0
1539000892,0,2
1539002000,0,9
1539003943,0,1
1539011754,1,0
1539015054,0,2
1539018885,0,1
1539022555,1,0
1539027342,0,1
1539036877,1,0
1539039947,1,0
1539042166,1,0
1539058565,0,1
1539070981,0,1
1539078172,1,0
1539079550,1,1
1539081763,0,1
1539084946,4,0
1539095743,0,1
1539098991,0,1
1539102540,1,0
1539108877,1,0
1539124490,0,2
1539126895,1,0
1539128745,0,1
1539142860,0,1
1539143810,1,0
1539147946,1,0
1539164584,0,1
1539165770,0,4
1539170077,3,0
1539177051,1,0
1539182566,7,1
1539183959,3,0
1539187620,0,1
1539209756,1,0
1539236908,1,0
1539242081,0,1
1539255409,0,1
1539270956,4,0
1539274556,0,1
1539285292,1,0
1539301248,1,0
1539302862,0,1
1539313563,0,2
1539319252,2,0
1539337359,0,1
1539342877,1,0
1539348167,0,1
1539354542,3,0
1539356196,2,0
1539363344,1,0
1539398442,1,0
1539403851,0,1
1539404987,0,1
1539410210,1,0
1539416138,2,0
1539427356,0,6
1539428741,0,6
1539431145,0,1
1539441774,0,1
1539448566,0,1
1539459773,0,1
1539470574,0,2
1539480613,0,1
1539490258,1,0
1539493548,5,0
1539495003,0,1
1539499359,1,0
1539502558,1,0
1539505862,0,1
1539507946,0,2
1539511856,1,2
1539513257,0,1
1539513775,2,0
1539523789,0,1
1539528099,0,1
1539530224,0,1
1539540439,0,1
1539544595,1,0
1539552620,2,0
1539553359,3,0
1539566096,0,1
1539569717,0,1
1539573354,1,0
1539579397,1,0
1539581758,0,1
1539585796,1,0
1539587151,0,1
1539590641,1,0
1539598477,1,2
