DateTime,AddedIPs,RemovedIPs
1540007974,3,5
1540008693,1,1
1540009413,3,0
1540010133,2,3
1540010853,4,5
1540011814,3,4
1540012773,5,4
1540013494,5,5
1540014214,1,5
1540014933,4,3
1540015653,4,2
1540016613,7,9
1540017573,4,7
1540018294,2,5
1540019013,3,2
1540019733,3,4
1540020452,5,4
1540021413,3,8
1540022373,5,36
1540023814,13,20
1540024773,3,10
1540025734,6,9
1540026692,7,7
1540027413,8,7
1540028135,4,6
1540029093,4,5
1540030053,5,5
1540031012,6,4
1540031973,7,3
1540032934,2,2
1540033893,2,2
1540034614,3,5
1540035333,1,8
1540036053,4,7
1540036833,7,3
1540037734,4,3
1540038693,4,7
1540039416,2,3
1540040136,8,9
1540041093,4,7
1540041814,3,5
1540042533,4,8
1540043493,10,6
1540044453,2,10
1540045413,2,6
1540046372,3,7
1540047333,9,9
1540048293,8,3
1540049253,4,6
1540050214,6,5
1540051174,5,7
1540052136,3,9
1540053093,5,6
1540054052,4,8
1540055013,5,4
1540055974,7,14
1540056934,4,7
1540057893,4,8
1540058853,6,3
1540059822,2,6
1540060773,10,8
1540061733,5,9
1540062693,5,8
1540063654,5,7
1540064372,5,8
1540065093,5,4
1540065813,8,5
1540066533,2,3
1540067493,5,6
1540068454,6,4
1540069414,6,8
1540070373,5,5
1540071333,6,4
1540072300,2,3
1540073253,6,5
1540074212,7,5
1540075175,4,4
1540076139,7,9
1540077062,2,5
1540078054,2,6
1540079014,5,5
1540080457,18,7
1540081412,8,5
1540082376,6,4
1540083817,5,8
1540084773,7,4
1540085734,4,7
1540086693,7,3
1540087653,4,5
1540088614,2,4
1540089574,5,2
1540090534,15,6
1540091493,2,2
1540092465,8,3
1540093414,4,5
1540094373,3,3
1540095332,4,1
1540096293,2,1
1540097013,2,2
1540097732,6,3
1540098693,14,5
1540099413,10,4
1540100133,4,2
1540101094,5,5
1540102053,8,2
1540103013,5,4
1540103973,3,4
1540104693,7,4
1540105653,4,5
1540106373,6,4
1540107334,2,4
1540108292,4,6
1540109252,4,9
1540110212,7,8
1540111172,7,2
1540112133,9,6
1540113333,3,10
1540114293,7,5
1540115013,2,4
1540115733,3,3
1540116453,2,4
1540117173,7,5
1540118132,8,3
1540119093,9,6
1540120053,6,1
1540121013,4,4
1540121973,4,6
1540122694,4,2
1540123413,0,4
1540124132,0,8
1540124853,7,2
1540125813,8,5
1540127733,41,14
1540128453,5,3
1540129173,9,5
1540130133,3,11
1540131094,6,2
1540131812,3,3
1540132532,4,1
1540133254,2,6
1540133973,7,4
1540134695,1,6
1540135414,6,5
1540136133,3,1
1540136853,2,6
1540137813,4,8
1540139013,5,6
1540139733,5,3
1540140453,3,3
1540141653,9,9
1540142613,8,10
1540143333,6,3
1540144053,6,5
1540145013,5,4
1540145973,3,4
1540146933,7,6
1540147892,4,5
1540148853,5,12
1540149813,5,5
1540150773,7,3
1540151734,10,5
1540152693,9,7
1540153413,3,4
1540154133,6,2
1540154853,3,8
1540155573,7,5
1540156533,2,2
1540157493,8,4
1540158213,10,4
1540158934,5,3
1540159653,3,3
1540160373,3,4
1540161333,6,3
1540162314,6,4
1540163253,9,3
1540164213,5,2
1540164934,1,2
1540165654,5,6
1540166373,1,5
1540167093,2,7
1540168053,3,8
1540169013,4,5
1540169733,2,3
1540170453,2,4
1540171173,5,7
1540171894,2,5
1540172853,9,6
1540173813,9,4
1540174533,1,3
1540175252,2,0
1540175972,3,7
1540176695,6,10
1540177653,6,6
1540178854,6,5
1540179537,2,5
1540180533,6,1
1540181493,4,5
1540182453,4,2
1540183414,4,4
1540184373,4,5
1540185335,8,16
1540186295,3,12
1540187252,5,4
1540188213,5,4
1540189174,6,6
1540190134,6,3
1540191096,9,6
1540192053,62,6
1540193013,4,7
1540193973,8,6
1540194693,7,4
1540195414,3,7
1540196152,5,8
1540196853,6,4
1540197813,439,10
1540198832,60,5
1540199733,6,2
1540200453,7,4
1540201173,3,6
1540202132,8,3
1540203093,13,3
1540203813,10,10
1540204534,5,5
1540205253,4,5
1540205973,8,5
1540206693,1,3
1540207414,2,6
1540208132,9,4
1540209094,7,4
1540210054,383,2
1540211014,32,5
1540211973,11,5
1540212693,0,5
1540213412,8,39
1540214133,12,6
1540214854,23,5
1540215814,1105,10
1540216773,6,5
1540218213,13,7
1540218933,11,4
1540219654,7,3
1540220613,5,6
1540221573,13,7
1540222533,14,4
1540223451,43,3
1540224453,8,6
1540225414,8,6
1540226133,6,4
1540226854,3,4
1540227635,12,5
1540228293,8,4
1540229253,15,8
1540230214,14,8
1540231175,10,5
1540232133,9,8
1540233093,10,9
1540233814,12,7
1540234535,10,5
1540235255,7,5
1540235974,4,7
1540237894,18,17
1540238854,11,15
1540239813,7,7
1540240773,19,7
1540241734,10,10
1540242693,11,7
1540243413,4,3
1540244135,9,9
1540244853,7,6
1540246053,11,9
1540247013,10,8
1540247742,10,8
1540248457,6,1
1540249895,18,16
1540250613,4,4
1540251574,7,4
1540252535,6,6
1540253494,10,1
1540254453,17,3
1540255413,15,6
1540256853,19,5
1540257574,17,10
1540258293,5,3
1540259013,9,9
1540259736,11,6
1540260453,7,7
1540261173,13,2
1540262133,6,5
1540263094,6,7
1540264014,12,10
1540265013,5,7
1540265975,3,3
1540266938,13,5
1540267894,8,7
1540268614,6,7
1540269333,4,2
1540270053,5,4
1540270773,2,3
1540271734,2,9
1540272693,7,5
1540273653,8,7
1540274615,7,9
1540275574,14,6
1540276533,24,6
1540278933,100,73
1540279893,13,6
1540280628,3,10
1540281333,8,8
1540282536,13,10
1540283495,12,7
1540284214,10,8
1540284993,7,9
1540285894,5,9
1540286853,16,6
1540287813,8,4
1540288534,10,11
1540289254,10,9
1540290216,9,14
1540290934,4,5
1540291653,39,3
1540292614,85,10
1540293573,41,4
1540294533,53,10
1540295493,81,10
1540296455,330,63
1540297415,49,33
1540298373,130,9
1540299333,81,5
1540300294,57,11
1540301014,61,8
1540301733,19,26
1540302453,61,5
1540303173,51,7
1540304613,115,11
1540305573,52,10
1540306533,59,9
1540307495,56,9
1540308454,22,17
1540309413,33,40
1540310138,14,11
1540310854,50,7
1540311813,61,7
1540312773,20,10
1540314454,66,23
1540315414,54,13
1540316373,53,12
1540317336,76,13
1540318293,10,10
1540319013,6,8
1540319733,48,8
1540320693,10,16
1540322135,62,12
1540323094,3,11
1540324054,15,18
1540325013,3,13
1540325734,1,8
1540326454,53,12
1540327894,17,27
1540328614,2,5
1540329335,2,14
1540330295,5,10
1540331254,47,12
1540332213,3,11
1540333174,4,11
1540334613,77,20
1540336533,19,24
1540337493,14,7
1540338213,6,10
1540339414,10,11
1540340374,51,19
1540341338,58,16
1540342320,20,17
1540343253,10,15
1540344213,12,18
1540345414,22,9
1540346135,10,12
1540347336,13,20
1540348054,13,6
1540348774,12,2
1540349737,18,8
1540350702,10,15
1540351414,12,4
1540352138,11,6
1540352854,10,7
1540354054,8,16
1540354773,5,6
1540355495,10,7
1540356933,16,7
1540357894,10,8
1540359573,16,9
1540360534,7,12
1540361493,7,7
1540362453,11,18
1540363415,9,27
1540364614,11,24
1540365573,10,22
1540366294,4,6
1540367013,7,4
1540367733,6,10
1540368693,16,9
1540369654,5,12
1540370614,16,14
1540372054,16,16
1540372774,7,8
1540373495,11,11
1540374213,6,6
1540374933,3,10
1540375655,4,14
1540376853,51,8
1540377816,12,17
1540378536,7,73
1540379736,10,67
1540380693,51,50
1540381655,6,93
1540382674,51,61
1540383574,47,93
1540384295,8,80
1540385014,4,61
1540385973,137,79
1540386934,61,57
1540387894,34,76
1540388614,60,52
1540389335,6,60
1540390053,38,56
1540391254,69,59
1540392214,32,56
1540392934,79,58
1540393894,46,56
1540394613,10,18
1540395334,68,9
1540396294,67,43
1540397253,288,56
1540398213,73,57
1540398934,50,18
1540399654,57,50
1540400614,57,9
1540402053,93,60
1540403014,56,67
1540403973,55,63
1540404934,35,9
1540405895,52,48
1540407335,60,20
1540408054,0,55
1540408773,56,5
1540409735,10,7
1540410700,11,16
1540411653,14,4
1540412613,59,4
1540413574,14,54
1540414533,63,11
1540415494,15,4
1540416453,10,6
1540417414,61,49
1540418854,9,7
1540419814,9,8
1540420545,7,49
1540421494,5,31
1540422456,3,13
1540423415,9,10
1540424134,49,13
1540424855,7,7
1540426294,20,14
1540427493,53,97
1540428213,5,18
1540428934,11,3
1540429654,6,7
1540430375,6,8
1540431094,9,8
1540431813,57,10
1540433255,19,13
1540434213,8,14
1540434933,9,8
1540436614,23,23
1540437583,10,7
1540438294,5,11
1540439014,5,12
1540439736,6,9
1540441414,22,17
1540442374,11,7
1540443094,8,13
1540443814,6,8
1540444773,20,9
1540445494,15,6
1540446453,7,7
1540447415,11,8
1540448375,7,10
1540449334,9,8
1540450300,14,14
1540451254,8,7
1540452213,10,10
1540453174,56,8
1540454613,11,17
1540455573,8,10
1540456533,49,10
1540457254,13,7
1540458453,6,6
1540459413,15,8
1540460373,15,11
1540461813,15,8
1540462774,7,9
