DateTime,AddedIPs,RemovedIPs
1537705683,79,92
1537712404,119,95
1537718163,160,132
1537726804,166,127
1537732562,121,152
1537740483,137,182
1537749124,120,192
1537754884,98,134
1537762563,140,189
1537768323,82,88
1537770243,90,56
1537774083,157,113
1537780804,75,65
1537786563,77,56
1537791363,109,116
1537797123,151,96
1537805765,119,125
1537811763,173,133
1537819683,163,145
1537827362,138,188
1537833122,123,195
1537841764,110,150
1537848482,147,177
1537857124,155,149
1537860963,85,52
1537866723,150,108
1537870805,73,74
1537876564,71,47
1537878724,68,56
1537880883,74,64
1537888805,126,116
1537892885,78,71
1537897683,97,76
1537901523,168,120
1537910163,141,164
1537914003,71,120
1537919763,48,135
1537924562,136,137
1537930322,126,166
1537938964,148,171
1537943763,85,64
1537947609,73,55
1537953365,74,65
1537955282,82,55
1537961284,129,97
1537965363,132,115
1537974963,150,97
1537982642,143,134
1537989363,162,153
1537993204,87,88
1537998963,91,111
1538000884,74,105
1538007604,147,200
1538015282,111,144
1538021286,65,90
1538025363,144,176
1538033283,164,108
1538038324,80,71
1538043363,124,111
1538047209,72,55
1538052963,124,107
1538059683,69,71
1538063524,69,70
1538067363,89,69
1538073604,167,126
1538079364,165,131
1538083205,79,121
1538087043,93,108
1538093763,141,189
1538097607,52,93
1538103363,115,149
1538109129,96,122
1538114883,142,136
1538123044,130,102
1538126883,73,77
1538133845,107,86
1538138882,71,69
1538140803,135,121
1538148482,80,68
1538153283,89,87
1538155206,69,76
1538162882,172,121
1538165763,76,84
1538171522,96,94
1538177285,119,183
1538182083,76,95
1538187846,90,114
1538194570,138,187
1538202243,131,140
1538206082,79,49
1538210883,86,48
1538214723,147,124
1538223362,126,118
1538231283,148,110
1538234163,87,89
1538241842,145,103
1538245683,84,78
1538248563,94,83
1538254323,94,77
1538256242,57,93
1538262963,127,185
1538266804,100,101
1538272563,97,147
1538281204,145,175
1538285042,66,86
1538291764,138,90
1538297528,148,106
1538306163,144,110
1538312162,93,72
1538316008,124,117
1538321762,79,67
1538325605,100,65
1538331362,144,145
1538339042,148,149
1538345763,141,186
1538351523,61,119
1538355363,172,176
1538360163,105,66
1538365922,70,89
1538368083,91,111
1538374806,191,141
1538378643,83,73
1538382483,129,106
1538389203,92,55
1538394963,110,117
1538400963,77,64
1538406723,128,116
1538414403,164,131
1538420163,176,117
1538430003,150,167
1538433843,114,225
1538441522,90,115
1538443442,60,91
1538447283,86,69
1538454003,143,207
1538459763,155,139
1538465763,86,69
1538469844,144,120
1538477524,69,68
1538483283,143,99
1538489283,142,116
1538495044,94,87
1538500802,140,143
1538508484,171,128
1538514482,167,153
1538520243,66,111
1538523122,68,134
1538527923,100,102
1538529842,62,101
1538538483,147,157
1538542563,74,93
1538546643,181,151
1538554323,124,118
1538558163,101,61
1538565842,124,108
1538574483,119,118
1538578322,149,115
1538583363,79,73
1538589122,111,75
1538593443,156,134
1538599444,86,84
1538603283,117,171
1538610962,127,221
1538616962,60,89
1538622723,86,61
1538626563,154,184
1538630406,82,90
1538635683,99,63
1538637604,78,71
1538643363,138,103
1538650082,61,57
1538652003,73,69
1538658011,87,59
1538659923,116,132
1538667603,137,119
1538677202,178,124
1538682963,160,145
1538691606,135,189
1538697844,76,124
1538699763,101,115
1538703845,115,150
1538711523,157,198
1538717284,83,71
1538724242,165,103
1538730963,141,133
1538736723,134,99
1538742483,79,68
1538749442,120,140
1538756164,155,116
1538760243,87,104
1538766026,174,116
1538771763,142,154
1538779445,72,111
1538781363,74,116
1538787123,118,177
1538795763,138,158
1538802484,153,174
1538808245,81,72
1538812085,77,51
1538815923,147,108
1538821683,94,67
1538826485,163,105
1538835363,147,135
1538843043,137,132
1538848823,84,93
1538852643,161,139
1538860323,153,153
1538868006,108,167
1538875205,80,99
1538879042,112,154
1538885763,136,174
1538891523,141,138
1538897284,65,57
1538904003,135,91
1538909762,171,100
1538914563,108,82
1538920323,99,80
1538926083,120,132
1538932804,163,117
1538936643,87,95
1538941683,159,143
1538949363,74,113
1538951284,51,108
1538956085,50,113
1538961365,130,149
1538967123,71,66
1538972883,147,186
1538975762,79,98
1538981762,157,117
1538988484,83,54
1538992563,142,112
1538998323,59,72
1539002164,72,74
1539006006,84,61
1539011763,130,116
1539017523,144,116
1539025227,163,120
1539033364,161,179
1539039124,84,92
1539042964,135,227
1539049682,58,75
1539053523,82,82
1539059282,164,187
1539064084,149,162
1539073209,152,98
1539080883,143,128
1539085683,60,79
1539089523,116,114
1539098643,130,118
1539105363,78,94
1539107283,94,85
1539109204,102,105
1539113043,108,91
1539119763,160,144
1539127443,113,220
1539131763,120,123
1539135603,62,92
1539141362,151,155
1539145210,94,106
1539152886,148,146
1539160562,148,118
1539167285,109,108
1539174011,77,60
1539177842,132,111
1539181682,73,76
1539185043,75,74
1539189123,165,117
1539198723,172,132
1539204483,117,102
1539206403,105,101
1539214083,108,236
1539218883,104,110
1539224642,130,160
1539228483,87,105
1539232323,89,115
1539236404,186,137
1539242163,83,71
