DateTime,AddedIPs,RemovedIPs
1539419053,19,19
1539420986,19,17
1539422892,9,13
1539424835,17,5
1539428670,10,30
1539430572,17,0
1539432508,24,12
1539434411,11,19
1539436349,12,24
1539438253,22,20
1539442105,18,31
1539446182,20,29
1539448137,10,19
1539450040,20,20
1539451939,12,19
1539453862,18,0
1539455783,14,14
1539457695,18,13
1539459610,23,15
1539461541,15,22
1539463454,14,19
1539465387,13,21
1539467306,22,19
1539469214,17,17
1539473056,18,41
1539474983,17,20
1539476895,18,21
1539478832,7,11
1539480738,12,26
1539482668,10,20
1539484572,16,0
1539486496,10,16
1539488410,11,27
1539490334,11,18
1539492268,13,14
1539494189,22,20
1539496093,24,11
1539498028,18,23
1539499945,20,25
1539501856,30,12
1539503908,22,17
1539505940,31,42
1539507869,24,19
1539509771,8,0
1539511695,10,12
1539513616,9,31
1539515538,23,22
1539517465,17,16
1539519387,19,0
1539521293,15,0
1539523217,24,23
1539525132,16,22
1539527055,24,22
1539528979,19,16
1539530890,8,32
1539532830,15,0
1539534740,13,50
1539536668,16,22
1539538571,15,0
1539540495,16,16
1539542416,14,22
1539544341,18,17
1539546256,27,26
1539548195,18,23
1539550097,11,23
1539552017,19,30
1539553932,18,15
1539555854,14,21
1539557782,12,18
1539559694,16,0
1539561652,15,26
1539563563,15,14
1539565475,8,21
1539567393,9,21
1539569311,8,27
1539571220,17,18
1539573152,10,17
1539577000,18,45
1539578914,18,18
1539580836,28,22
1539582741,30,14
1539584665,28,25
1539586570,16,0
1539588507,24,18
1539590455,22,23
1539592581,27,10
1539594523,21,23
1539596426,10,0
1539598355,7,17
1539600254,16,9
1539602196,18,10
1539604113,13,17
1539606043,11,7
1539607944,14,7
1539609868,17,12
1539611777,14,15
1539613697,21,10
1539617545,16,27
1539619738,8,19
1539621613,23,14
1539623552,13,15
1539625467,13,14
1539627385,17,18
1539629551,20,16
1539631468,16,0
1539633370,11,16
1539635302,10,12
1539637463,15,19
1539639383,9,9
1539641314,10,14
1539643211,21,16
1539645140,18,24
1539647059,14,13
1539648984,11,17
1539650893,16,23
1539654737,15,26
1539656664,10,9
1539658584,14,13
1539660488,17,12
1539662433,10,10
1539664337,18,13
1539666257,16,18
1539668183,28,24
1539670094,15,6
1539672014,26,19
1539673937,17,23
1539675857,17,21
1539677780,20,25
1539679693,30,29
1539681630,15,21
1539683553,9,8
1539685474,14,12
1539687375,13,15
1539689290,16,0
1539691264,15,17
1539693134,12,17
1539695055,19,21
1539698911,6,28
1539700826,13,21
1539703008,15,11
1539704907,13,0
