DateTime,Entries,UniqueIPs
1539419053,5718,5846
1539420986,5720,5848
1539422892,5716,5844
1539424835,5728,5856
1539428670,5708,5836
1539430572,5725,5853
1539432508,5738,5865
1539434411,5731,5857
1539436349,5719,5845
1539438253,5722,5847
1539442105,5708,5834
1539446182,5700,5825
1539448137,5691,5816
1539450040,5692,5816
1539451939,5684,5809
1539453862,5702,5827
1539455783,5702,5827
1539457695,5708,5832
1539459610,5716,5840
1539461541,5709,5833
1539463454,5704,5828
1539465387,5696,5820
1539467306,5700,5823
1539469214,5700,5823
1539473056,5677,5800
1539474983,5673,5797
1539476895,5670,5794
1539478832,5666,5790
1539480738,5653,5776
1539482668,5642,5766
1539484572,5658,5782
1539486496,5652,5776
1539488410,5637,5760
1539490334,5630,5753
1539492268,5629,5752
1539494189,5631,5754
1539496093,5645,5767
1539498028,5641,5762
1539499945,5636,5757
1539501856,5655,5775
1539503908,5660,5780
1539505940,5648,5769
1539507869,5653,5774
1539509771,5661,5782
1539511695,5659,5780
1539513616,5636,5758
1539515538,5637,5759
1539517465,5638,5760
1539519387,5657,5779
1539521293,5672,5794
1539523217,5672,5795
1539525132,5665,5789
1539527055,5667,5791
1539528979,5669,5794
1539530890,5646,5770
1539532830,5660,5785
1539534740,5623,5748
1539536668,5615,5742
1539538571,5629,5757
1539540495,5630,5757
1539542416,5622,5749
1539544341,5624,5750
1539546256,5625,5751
1539548195,5620,5746
1539550097,5608,5734
1539552017,5597,5723
1539553932,5600,5726
1539555854,5592,5719
1539557782,5586,5713
1539559694,5602,5729
1539561652,5591,5718
1539563563,5592,5719
1539565475,5579,5706
1539567393,5567,5694
1539569311,5548,5675
1539571220,5547,5674
1539573152,5541,5667
1539577000,5514,5640
1539578914,5514,5640
1539580836,5520,5646
1539582741,5535,5662
1539584665,5538,5665
1539586570,5554,5681
1539588507,5559,5687
1539590455,5559,5686
1539592581,5577,5703
1539594523,5574,5701
1539596426,5584,5711
1539598355,5575,5701
1539600254,5584,5708
1539602196,5592,5716
1539604113,5588,5712
1539606043,5595,5716
1539607944,5602,5723
1539609868,5607,5728
1539611777,5607,5727
1539613697,5618,5738
1539617545,5607,5727
1539619738,5597,5716
1539621613,5606,5725
1539623552,5600,5723
1539625467,5599,5722
1539627385,5596,5721
1539629551,5600,5725
1539631468,5616,5741
1539633370,5611,5736
1539635302,5609,5734
1539637463,5605,5730
1539639383,5604,5730
1539641314,5600,5726
1539643211,5605,5731
1539645140,5599,5725
1539647059,5600,5726
1539648984,5594,5720
1539650893,5587,5713
1539654737,5576,5702
1539656664,5578,5703
1539658584,5579,5704
1539660488,5584,5709
1539662433,5584,5709
1539664337,5589,5714
1539666257,5587,5712
1539668183,5590,5716
1539670094,5599,5725
1539672014,5606,5732
1539673937,5601,5726
1539675857,5597,5722
1539677780,5594,5717
1539679693,5595,5718
1539681630,5589,5712
1539683553,5590,5713
1539685474,5592,5715
1539687375,5590,5713
1539689290,5606,5729
1539691264,5604,5727
1539693134,5598,5722
1539695055,5596,5720
1539698911,5574,5698
1539700826,5566,5690
1539703008,5569,5694
1539704907,5582,5707
1539707308,5584,5709
1539709233,5577,5702
1539711135,5567,5692
1539713322,5562,5687
1539715226,5557,5681
1539717151,5557,5681
1539719052,5536,5659
1539720991,5536,5659
1539722908,5521,5645
1539725053,5528,5652
1539727004,5518,5643
1539729138,5517,5642
1539731066,5512,5637
1539732995,5508,5634
1539734920,5502,5628
1539736831,5503,5629
1539738745,5494,5620
1539740666,5497,5621
1539742597,5493,5617
1539744508,5499,5620
1539746436,5501,5621
1539748390,5494,5614
1539750257,5495,5614
1539752171,5494,5613
1539754107,5504,5623
1539756031,5501,5620
1539757974,5517,5636
1539759871,5516,5635
1539761785,5521,5640
1539765617,5522,5638
1539767534,5504,5620
1539769465,5511,5627
1539771380,5514,5630
1539773555,5513,5628
1539775463,5501,5616
1539777372,5517,5632
1539779305,5526,5641
1539781235,5545,5660
1539783139,5572,5687
1539785074,5574,5689
1539786995,5578,5693
1539788918,5581,5696
1539791059,5550,5665
1539792999,5568,5683
1539794892,5559,5675
1539796818,5567,5681
1539798750,5563,5677
1539800667,5565,5679
1539802568,5569,5684
1539804507,5577,5691
1539806437,5585,5699
1539808355,5577,5691
1539810512,5566,5681
1539812427,5567,5683
1539814341,5581,5697
1539816260,5585,5701
1539818187,5596,5712
1539820099,5599,5714
1539822017,5619,5734
1539823970,5630,5747
1539825852,5640,5757
1539827788,5630,5749
1539829934,5630,5749
1539831858,5630,5748
1539833795,5629,5747
1539835716,5623,5741
1539837624,5622,5740
1539839554,5631,5750
1539841698,5628,5748
1539843634,5609,5729
1539845538,5628,5748
1539847472,5618,5738
1539849370,5614,5733
1539851308,5583,5702
1539853397,5584,5703
1539855618,5590,5709
1539857540,5590,5709
1539859463,5594,5713
1539861384,5601,5721
1539863292,5595,5715
1539865228,5612,5732
1539867142,5614,5733
1539869053,5627,5746
1539870982,5640,5759
1539872893,5648,5766
1539874847,5654,5771
1539876737,5655,5772
1539878667,5649,5766
1539880570,5664,5781
1539884653,5671,5788
1539886602,5691,5809
1539890431,5686,5804
1539892340,5675,5792
1539894270,5678,5796
1539896199,5676,5794
1539898096,5686,5804
1539900038,5684,5802
1539901956,5682,5800
1539903874,5693,5811
1539906043,5686,5803
1539908184,5685,5802
1539910107,5684,5801
1539912009,5683,5800
1539913943,5689,5806
1539915856,5692,5809
1539917803,5707,5824
1539919691,5710,5828
1539921677,5716,5832
1539923538,5732,5848
1539925463,5737,5853
1539927379,5733,5849
1539929298,5747,5863
1539931213,5739,5857
1539933139,5738,5856
1539935052,5747,5865
1539936986,5756,5874
1539938894,5759,5877
1539940941,5765,5883
1539942746,5771,5889
1539944671,5784,5902
1539946569,5804,5922
1539948758,5796,5914
1539950916,5796,5914
1539952822,5801,5919
1539954753,5806,5923
1539956665,5830,5947
1539958595,5832,5948
1539960501,5837,5953
1539962430,5840,5956
1539964611,5840,5956
1539966741,5846,5962
1539968659,5851,5967
1539970588,5863,5979
1539972524,5865,5981
1539974430,5877,5993
1539976360,5879,5995
1539978273,5875,5992
1539980192,5891,6007
1539982109,5904,6020
1539984040,5916,6030
1539985955,5920,6034
1539987871,5927,6041
1539989772,5929,6043
1539991707,5941,6057
1539993647,5940,6056
1539995559,5934,6050
1539997475,5932,6049
1539999376,5931,6050
1540001311,5935,6054
1540003250,5929,6048
1540005164,5930,6049
1540007058,5940,6059
1540011133,5941,6060
1540014985,5919,6038
1540017161,5913,6033
1540019069,5913,6033
1540020971,5904,6024
1540022896,5910,6030
1540024835,5908,6027
1540026761,5893,6012
1540028654,5887,6006
1540030589,5881,6000
1540036337,5871,5989
1540040184,5841,5958
1540042094,5843,5960
1540044036,5835,5952
1540045944,5851,5969
1540047868,5848,5966
1540049791,5859,5977
1540051747,5852,5970
1540053620,5862,5979
1540055543,5867,5983
1540057460,5875,5991
1540059382,5875,5991
1540061298,5878,5994
1540063214,5875,5992
1540065153,5869,5986
1540067072,5872,5989
1540068979,5876,5995
1540070894,5882,6001
1540072845,5874,5993
1540076674,5869,5988
1540078584,5864,5983
1540080512,5864,5983
1540082439,5863,5982
1540084343,5863,5982
1540088191,5866,5985
1540090095,5870,5989
1540092028,5868,5988
1540093942,5868,5991
1540095861,5871,5994
1540097784,5876,5999
1540101640,5839,5963
1540103546,5839,5963
1540105714,5835,5959
1540107856,5823,5947
1540109788,5813,5937
1540111693,5799,5926
1540113855,5785,5911
1540117690,5787,5913
1540119624,5790,5917
1540121543,5786,5913
1540123470,5778,5906
1540125371,5778,5906
1540127810,5771,5899
1540129694,5771,5897
1540131622,5774,5899
1540133535,5762,5887
1540135472,5761,5887
1540137371,5771,5899
1540139794,5759,5888
1540141712,5761,5891
1540143617,5767,5894
1540145550,5771,5899
1540147457,5777,5905
1540149382,5780,5909
1540151296,5768,5897
1540153210,5765,5892
1540155135,5772,5899
1540157053,5792,5920
1540158985,5800,5928
1540162833,5800,5928
1540164739,5803,5932
1540166657,5810,5937
1540168582,5808,5936
1540170511,5824,5952
1540172419,5833,5963
1540174340,5851,5980
1540176253,5859,5989
1540178176,5866,5996
1540182014,5864,5995
1540183933,5876,6007
1540185866,5864,5994
1540187775,5856,5985
1540189692,5852,5982
1540191619,5850,5979
1540193541,5843,5972
1540195470,5843,5972
1540197372,5858,5988
1540199811,5813,5942
1540201695,5806,5935
1540205535,5799,5928
1540207468,5805,5933
1540209666,5814,5942
1540211545,5822,5950
1540215387,5812,5939
1540217297,5808,5935
1540221146,5804,5931
1540223059,5797,5924
1540224983,5796,5923
1540226911,5801,5929
1540228820,5800,5928
1540230738,5798,5925
1540232656,5804,5931
1540234593,5807,5934
1540236490,5811,5938
1540238438,5819,5945
1540240341,5825,5949
1540242267,5816,5940
1540244185,5829,5953
1540246114,5835,5957
1540248014,5833,5956
1540249964,5832,5955
1540251853,5857,5981
1540253777,5863,5987
1540255694,5851,5975
1540257630,5868,5992
1540259531,5888,6012
1540261453,5891,6014
1540263371,5899,6022
1540265549,5886,6009
1540267468,5887,6011
1540269391,5892,6016
1540271308,5895,6020
1540273223,5894,6020
1540275163,5905,6031
1540277069,5907,6034
1540279007,5907,6034
1540280899,5907,6034
1540283056,5910,6037
1540285012,5902,6029
1540286910,5896,6023
1540288823,5896,6023
1540290738,5906,6033
1540292680,5913,6039
1540294596,5913,6039
1540296527,5918,6043
1540300363,5906,6033
1540302260,5927,6054
1540304204,5935,6062
1540306100,5945,6071
1540308022,5948,6075
1540309936,5947,6074
1540315944,5920,6045
1540319802,5928,6053
1540321724,5933,6058
1540323621,5940,6065
1540327476,5943,6068
