DateTime,AddedIPs,RemovedIPs
1539419053,36,54
1539420986,64,39
1539422892,25,65
1539424835,32,23
1539428670,49,34
1539430572,50,47
1539432508,57,43
1539434411,50,61
1539436349,48,51
1539438253,57,50
1539442105,45,58
1539446182,50,43
1539448137,48,47
1539450040,52,49
1539451939,46,49
1539453862,54,48
1539455783,45,55
1539457695,46,43
1539459610,50,49
1539461541,45,45
1539463454,46,48
1539465387,46,51
1539467306,58,43
1539469214,49,56
1539473056,46,52
1539474983,52,46
1539476895,59,50
1539478832,43,55
1539480738,52,44
1539482668,54,55
1539484572,46,51
1539486496,48,49
1539488410,43,48
1539490334,48,40
1539492268,50,51
1539494189,50,51
1539496093,59,52
1539498028,51,56
1539499945,45,55
1539501856,56,45
1539503908,57,56
1539505940,56,51
1539507869,51,58
1539509771,19,56
1539511695,23,21
1539513616,21,22
1539515538,62,20
1539517465,58,57
1539519387,51,56
1539521293,59,57
1539523217,55,59
1539525132,52,53
1539527055,53,54
1539528979,53,52
1539530890,36,52
1539532830,52,37
1539534740,60,48
1539536668,48,58
1539538571,48,48
1539540495,47,50
1539542416,52,48
1539544341,46,52
1539546256,57,48
1539548195,51,60
1539550097,49,46
1539552017,49,50
1539553932,54,48
1539555854,54,56
1539557782,43,51
1539559694,48,42
1539561652,50,48
1539563563,46,52
1539565475,43,43
1539567393,41,47
1539569311,47,42
1539571220,50,44
1539573152,50,49
1539577000,42,52
1539578914,47,44
1539580836,57,46
1539582741,61,58
1539584665,60,62
1539586570,44,59
1539588507,50,46
1539590455,56,50
1539592581,50,50
1539594523,49,54
1539596426,19,50
1539598355,24,23
1539600254,34,21
1539602196,49,35
1539604113,42,46
1539606043,39,42
1539607944,44,38
1539609868,42,45
1539611777,44,43
1539613697,44,43
1539617545,44,45
1539619738,39,41
1539621613,51,37
1539623552,49,56
1539625467,44,49
1539627385,55,42
1539629551,46,54
1539631468,54,49
1539633370,38,54
1539635302,57,41
1539637463,55,53
1539639383,43,55
1539641314,36,44
1539643211,51,34
1539645140,55,53
1539647059,53,54
1539648984,48,53
1539650893,57,48
1539654737,42,55
1539656664,43,47
1539658584,43,38
1539660488,49,45
1539662433,50,50
