DateTime,AddedIPs,RemovedIPs
1535034030,3,3
1535045110,4,4
1535056085,5,0
1535066849,3,6
1535077615,6,5
1535088256,1,3
1535099301,6,2
1535110241,0,1
1535121789,5,2
1535132095,5,1
1535142865,2,5
1535153964,4,0
1535165085,5,0
1535175383,2,0
1535186526,4,3
1535197436,7,0
1535208758,9,2
1535219756,7,3
1535229860,2,5
1535240759,3,0
1535251148,1,1
1535261865,3,2
1535272150,2,0
1535282361,2,6
1535292738,3,4
1535303589,4,4
1535314505,2,0
1535325594,4,6
1535336355,5,4
1535345593,3,2
1535356820,1,4
1535367737,3,3
1535378635,2,4
1535389302,0,1
1535400441,1,6
1535411356,2,2
1535422500,5,1
1535433572,5,1
1535444557,2,5
1535455508,3,2
1535466005,3,9
1535476914,1,3
1535487490,3,4
1535497789,1,1
1535508622,4,5
1535519567,2,4
1535530175,1,7
1535540620,3,4
1535551142,2,7
1535562129,2,2
1535573011,3,3
1535583224,2,4
1535594103,0,2
1535605187,4,4
1535616262,5,4
1535626985,2,7
1535637953,1,2
1535648949,4,2
1535659978,3,5
1535670942,4,2
1535682198,5,3
1535693421,1,5
1535704219,0,8
1535715599,4,3
1535726062,4,2
1535736870,2,2
1535746961,1,1
1535758089,2,4
1535768680,1,4
1535777993,0,4
1535788226,2,2
1535799302,3,6
1535810416,6,7
1535821670,2,2
1535832648,3,1
1535842935,3,10
1535852976,2,5
1535863934,3,3
1535874924,3,5
1535885990,4,3
1535897250,3,4
1535907941,4,1
1535918863,1,18
1535930705,1,7
1535941361,2,6
1535952733,7,3
1535963931,3,6
1535975082,5,4
1535986332,1,3
1535997189,6,4
1536008442,2,1
1536019709,6,1
1536030719,5,4
1536041385,3,2
1536052285,1,6
1536063323,4,6
1536074651,3,3
1536085878,3,4
1536097024,5,4
1536107807,7,9
1536117910,5,1
1536128971,4,1
1536139456,0,3
1536150004,2,3
1536161042,6,3
1536172028,3,3
1536182903,1,3
1536193902,4,2
1536204510,1,0
1536215536,1,1
1536226393,2,2
1536237500,5,2
1536248484,4,4
1536259312,1,2
1536270122,0,2
1536303266,0,7
1536314432,2,3
1536325456,2,2
1536336704,2,7
1536347693,1,3
1536358310,10,1
1536369328,2,2
1536380155,7,1
1536391085,3,5
1536401098,3,5
1536412108,0,1
1536422890,4,3
1536433718,2,4
1536444682,2,1
1536455780,4,0
1536466742,2,0
1536477427,9,1
1536488250,0,2
1536499043,4,5
1536509300,1,3
1536518964,0,2
1536529507,1,7
1536540255,1,2
1536550924,4,4
1536561581,7,7
1536572563,0,5
1536583516,0,8
1536594188,3,3
1536604924,6,6
1536615571,0,2
1536626503,1,3
1536637295,3,7
1536647972,3,6
1536659005,3,1
1536670123,2,3
1536681225,0,1
1536691958,2,2
1536702790,6,5
1536713494,4,1
1536723409,2,2
1536732597,3,3
1536743413,2,5
1536754348,3,4
1536765313,5,4
1536776289,2,5
1536787385,3,1
1536798342,3,1
1536809462,2,1
1536820351,4,4
1536830819,2,4
1536841776,1,2
1536852366,1,2
1536863420,4,4
1536874319,2,6
1536885006,0,1
1536895934,1,1
1536906987,4,2
1536918154,1,4
1536929150,3,6
1536940105,5,0
