DateTime,AddedIPs,RemovedIPs
1539965119,44,114
1539966273,42,54
1539967212,53,52
1539968170,38,41
1539969157,48,41
1539970095,42,32
1539971054,38,33
1539972011,34,41
1539972980,38,39
1539973940,51,45
1539974906,44,33
1539975869,119,1770
1539976819,46,49
1539977779,51,52
1539978733,45,52
1539979712,43,45
1539980674,43,46
1539981618,49,46
1539982576,40,44
1539983545,42,38
1539984503,50,43
1539985459,63,57
1539986427,32,37
1539987383,44,31
1539988340,37,51
1539989293,40,42
1539990278,46,44
1539991210,47,36
1539992173,57,52
1539993157,49,53
1539994095,65,58
1539995054,56,56
1539996018,48,41
1539996981,43,45
1539997945,47,36
1539998894,43,51
1539999873,48,55
1540000819,51,55
1540001776,47,38
1540002759,38,41
1540003701,35,57
1540004664,54,52
1540005614,37,47
1540006593,45,45
1540007533,30,43
1540008498,36,52
1540009471,39,48
1540010412,40,45
1540011369,38,36
1540012339,50,62
1540013289,42,39
1540014272,35,39
1540015222,33,50
1540016189,42,42
1540017165,20,63
1540018092,50,52
1540019081,58,50
1540020014,25,45
1540020976,47,45
1540021934,41,61
1540022901,43,60
1540023887,43,50
1540024839,52,56
1540025789,41,70
1540026765,30,74
1540027695,41,9
1540028660,46,102
1540029619,39,7
1540030594,58,118
1540031547,51,68
1540032497,33,4
1540033466,39,59
1540034416,52,65
1540035389,51,114
1540036340,29,3
1540037296,45,44
1540038263,51,54
1540039213,48,44
1540040189,54,104
1540041163,49,74
1540042097,53,60
1540043057,28,5
1540044039,31,99
1540044993,52,56
1540045948,53,53
1540046896,38,2
1540047874,45,70
1540048821,32,47
1540049795,47,48
1540050741,46,4
1540051752,48,86
1540052658,32,2
1540053625,43,57
1540054577,44,45
1540055548,60,98
1540056493,47,10
1540057470,32,42
1540058434,53,46
1540059386,42,44
1540060343,50,49
1540061303,44,115
1540062262,58,4
1540063218,86,1228
1540064173,40,51
1540065166,56,104
1540066096,30,6
1540067076,47,83
1540068016,24,5
1540068984,54,111
1540069943,42,5
1540070897,54,91
1540071856,42,1
1540072849,50,119
1540073786,37,12
1540074744,41,97
1540075764,59,50
1540076678,42,42
1540077616,37,2
1540078588,41,42
1540079533,36,47
1540080516,46,109
1540081478,51,65
1540082443,69,42
1540083376,44,1
1540084347,61,101
1540085291,38,10
1540086263,46,94
1540087233,34,4
1540088195,28,43
1540089152,52,41
1540090099,35,38
1540091062,37,44
1540092033,32,44
1540092984,48,37
1540093946,37,47
1540094898,42,38
1540095865,28,31
1540096815,37,42
1540097794,40,50
1540098763,45,59
1540099699,46,49
1540100655,40,48
1540101644,41,58
1540102592,40,42
1540103551,33,46
1540104497,54,54
1540105727,42,45
1540106899,37,47
1540107861,34,45
1540108826,42,37
1540109793,39,78
1540110751,40,0
1540111699,30,44
1540112782,43,37
1540113860,44,43
1540114817,25,88
1540115795,29,14
1540116738,40,33
1540117694,32,45
1540118658,40,43
1540119628,34,46
1540120595,55,97
1540121548,33,47
1540122496,39,7
1540123481,31,40
1540124411,48,40
1540125375,40,33
1540126343,33,45
1540127821,47,90
1540128733,32,48
1540129698,24,43
1540130668,48,42
1540131626,50,51
1540132592,41,41
1540133538,38,40
1540134500,31,47
1540135485,42,48
1540136413,26,52
1540137375,44,41
1540138471,43,50
1540139806,52,41
1540140736,39,47
1540141716,37,45
1540142665,35,52
1540143621,44,36
1540144579,39,54
1540145553,41,58
1540146493,38,42
1540147463,27,50
1540148443,38,37
1540149386,58,530
1540150340,36,45
1540151299,18,47
1540152265,25,47
1540153214,34,42
1540154191,43,45
1540155140,30,45
1540156106,31,41
1540157058,25,46
1540158017,32,43
1540158995,35,44
1540159936,38,39
1540160894,30,38
1540161858,26,54
1540162837,30,39
1540163790,39,66
1540164743,39,43
1540165714,42,66
1540166661,28,56
1540167616,25,51
1540168585,46,54
1540169558,44,63
1540170521,45,62
1540171454,34,76
1540172423,25,1
1540173378,38,57
1540174345,44,56
1540175315,39,50
1540176258,48,47
1540177240,62,51
1540178180,52,45
1540179148,36,55
1540180112,52,63
1540181080,43,34
1540182018,39,33
1540182988,52,35
1540183936,50,42
1540184902,43,43
1540185871,84,47
1540186816,31,49
1540187780,81,42
1540188743,39,67
1540189698,60,49
1540190658,43,59
1540191624,67,47
1540192591,42,42
1540193545,43,28
1540194495,40,42
1540195480,73,57
1540196423,62,57
1540197377,66,49
1540198343,52,46
1540199822,61,93
1540200743,49,53
1540201699,32,38
1540202786,51,37
1540203871,41,54
1540204810,30,46
1540205771,36,48
1540206760,40,45
1540207689,32,36
1540208654,47,44
1540209671,50,30
1540210593,37,42
1540211549,48,68
1540212492,27,54
1540213478,65,35
1540214413,28,39
1540215390,44,34
1540216342,46,49
1540217301,30,45
1540218274,34,51
1540219218,30,43
1540220176,41,42
1540221151,44,44
1540222092,39,27
1540223064,35,49
1540224036,40,44
1540224988,32,44
1540225941,25,43
1540226924,36,49
1540227858,39,31
1540228825,20,48
1540229780,28,35
1540230742,42,49
1540231701,29,48
1540232661,48,42
1540233611,40,42
1540234603,35,46
1540235538,34,39
1540236495,44,42
1540237482,32,42
1540238443,28,42
1540239388,31,40
1540240345,28,32
1540241293,39,43
1540242272,43,48
1540243210,41,46
1540244196,39,29
1540245139,73,102
1540246118,48,49
1540247067,51,40
1540248018,39,41
1540248982,56,83
1540249968,43,62
1540251137,42,46
1540252095,43,51
1540253063,43,63
1540254018,50,55
1540254981,48,41
1540255937,29,57
1540256918,38,49
1540257854,52,48
1540258811,66,59
1540259792,43,54
1540260735,54,55
1540261695,65,38
1540262655,67,35
1540263619,44,41
1540264606,49,35
1540265552,74,52
1540266492,39,38
1540267472,52,59
1540268412,46,38
1540269402,42,45
1540270336,44,39
1540271312,52,36
1540272256,49,52
1540273227,53,64
1540274175,45,57
1540275168,34,43
1540276100,36,51
1540277074,51,44
1540278290,56,39
1540279464,45,91
1540280414,33,15
1540281395,53,97
1540282598,59,50
1540283561,52,48
1540284493,33,56
1540285465,44,50
1540286420,50,34
1540287381,70,49
1540288339,49,54
1540289319,57,40
1540290278,46,68
1540291212,47,45
1540292171,51,53
1540293145,49,63
1540294094,54,49
1540295066,49,53
1540296054,46,37
1540296989,47,52
1540297938,36,51
1540298898,37,53
1540299862,41,55
1540300814,42,46
1540301790,40,40
1540302735,43,59
1540303705,47,59
1540304675,50,63
1540305635,40,47
1540306590,40,45
1540307562,48,38
1540308518,36,43
1540309474,50,38
1540310426,40,57
1540311384,43,44
1540312339,58,49
1540313319,46,39
1540314519,34,40
1540315473,36,46
1540316431,37,45
1540317390,39,50
1540318355,39,46
1540319294,44,50
1540320258,53,44
1540321246,111,59
1540322201,54,240
1540323155,40,57
1540324117,38,43
1540325079,34,58
1540326011,51,63
1540326983,44,47
1540327962,45,55
1540328896,50,51
1540329861,48,39
1540330817,36,56
1540331778,38,49
1540332744,37,58
1540333691,42,44
1540334672,53,68
1540335643,45,48
1540336600,35,39
1540337556,44,76
1540338493,42,67
1540339481,40,61
1540340453,34,60
1540341401,53,50
1540342362,44,46
1540343321,42,66
1540344275,25,56
1540345483,52,58
1540346458,34,52
1540347401,34,66
1540348335,37,62
1540349301,51,49
1540350265,35,53
1540351213,26,55
1540352196,43,65
1540353131,52,72
1540354115,39,57
1540355067,55,64
1540356020,51,62
1540356991,48,59
1540357957,42,53
1540358932,61,67
1540360097,47,43
1540361068,49,57
1540362024,42,55
1540362991,44,73
1540363943,66,61
1540365144,59,85
1540366095,31,30
1540367082,54,50
1540368262,50,58
1540369235,46,66
1540370179,66,47
1540371142,47,53
1540372124,37,57
1540373060,41,56
1540374011,48,57
1540374998,71,58
1540375936,41,44
1540377040,38,19
1540378101,56,91
1540379079,61,47
1540380256,30,63
1540381219,50,58
1540382172,54,49
1540383224,34,51
1540384358,55,68
1540385542,41,69
1540386498,42,57
1540387455,52,42
1540388412,43,68
1540389391,35,46
1540390342,48,54
1540391311,31,48
1540392272,49,55
1540393473,53,88
1540394413,36,5
1540395389,52,35
1540396355,42,71
1540397352,45,53
1540398277,37,2
1540399211,35,46
1540400278,53,96
1540401650,37,36
1540402589,39,53
1540403539,41,45
1540404500,47,62
1540405459,27,8
1540406419,48,90
1540407398,32,53
1540408337,35,5
1540409297,47,71
1540410271,32,65
1540411235,36,55
1540412189,32,49
1540413142,23,2
1540414097,42,103
1540415067,29,2
1540416020,37,107
1540416981,44,59
1540417950,34,2
1540418915,40,107
1540431163,99,429
1540432335,12,37
1540433312,16,257
1540434271,10,47
1540435212,4,2
1540436178,14,59
1540437140,17,88
1540438093,5,5
1540439078,20,105
1540440025,4,1
1540441005,9,98
1540441944,7,47
1540442911,9,51
1540443883,9,45
1540444842,6,57
1540446031,10,36
1540446978,8,52
1540447950,11,41
1540448896,14,57
1540449864,13,39
1540450832,17,44
1540451791,18,51
1540452743,20,45
1540453707,8,39
1540454682,12,33
1540455646,11,42
1540456601,14,35
1540457545,18,41
1540458525,5,49
1540459477,3,46
1540460436,8,32
1540461400,2,42
1540462350,6,44
