DateTime,Entries,UniqueIPs
1539965119,86793,86793
1539966273,86811,86811
1539967212,86812,86812
1539968170,86820,86820
1539969157,86822,86822
1539970095,86817,86817
1539971054,86825,86825
1539972011,86823,86823
1539972980,86823,86823
1539973940,86820,86820
1539974906,86824,86824
1539975869,87970,87970
1539976819,87982,87982
1539977779,88006,88006
1539978733,88015,88015
1539979712,87983,87983
1539980674,87987,87987
1539981618,88016,88016
1539982576,87997,87997
1539983545,88013,88013
1539984503,88021,88021
1539985459,88051,88051
1539986427,88028,88028
1539987383,88028,88028
1539988340,88002,88002
1539989293,88018,88018
1539990278,88025,88025
1539991210,88071,88071
1539992173,88073,88073
1539993157,88071,88071
1539994095,88090,88090
1539995054,88102,88102
1539996018,88036,88036
1539996981,88090,88090
1539997945,88018,88018
1539998894,88039,88039
1539999873,88025,88025
1540000819,88085,88085
1540001776,88092,88092
1540002759,88054,88054
1540003701,88051,88051
1540004664,88114,88114
1540005614,88046,88046
1540006593,88045,88045
1540007533,88075,88075
1540008498,88093,88093
1540009471,88038,88038
1540010412,88090,88090
1540011369,88088,88088
1540012339,88120,88120
1540013289,88127,88127
1540014272,88086,88086
1540015222,88127,88127
1540016189,88065,88065
1540017165,88034,88034
1540018092,88084,88084
1540019081,88048,88048
1540020014,88075,88075
1540020976,88080,88080
1540021934,88066,88066
1540022901,88077,88077
1540023887,88026,88026
1540024839,88021,88021
1540025789,88080,88080
1540026765,88026,88026
1540027695,88086,88086
1540028660,88090,88090
1540029619,88077,88077
1540030594,88018,88018
1540031547,88015,88015
1540032497,87985,87985
1540033466,88045,88045
1540034416,88001,88001
1540035389,88010,88010
1540036340,88057,88057
1540037296,88069,88069
1540038263,88106,88106
1540039213,88123,88123
1540040189,88118,88118
1540041163,88052,88052
1540042097,88069,88069
1540043057,88112,88112
1540044039,88046,88046
1540044993,88111,88111
1540045948,88128,88128
1540046896,88131,88131
1540047874,88132,88132
1540048821,88125,88125
1540049795,88122,88122
1540050741,88117,88117
1540051752,88126,88126
1540052658,88134,88134
1540053625,88131,88131
1540054577,88145,88145
1540055548,88186,88186
1540056493,88203,88203
1540057470,88205,88205
1540058434,88195,88195
1540059386,88200,88200
1540060343,88237,88237
1540061303,88236,88236
1540062262,88868,88868
1540063218,88543,88543
1540064173,88550,88550
1540065166,88560,88560
1540066096,88568,88568
1540067076,88588,88588
1540068016,88578,88578
1540068984,88590,88590
1540069943,88602,88602
1540070897,88610,88610
1540071856,88611,88611
1540072849,88608,88608
1540073786,88616,88616
1540074744,88616,88616
1540075764,88641,88641
1540076678,88632,88632
1540077616,88614,88614
1540078588,88611,88611
1540079533,88584,88584
1540080516,88578,88578
1540081478,88580,88580
1540082443,88610,88610
1540083376,88608,88608
1540084347,88631,88631
1540085291,88631,88631
1540086263,88650,88650
1540087233,88644,88644
1540088195,88649,88649
1540089152,88672,88672
1540090099,88668,88668
1540091062,88676,88676
1540092033,88673,88673
1540092984,88689,88689
1540093946,88703,88703
1540094898,88701,88701
1540095865,88705,88705
1540096815,88721,88721
1540097794,88746,88746
1540098763,88758,88758
1540099699,88753,88753
1540100655,88771,88771
1540101644,88788,88788
1540102592,88803,88803
1540103551,88816,88816
1540104497,88832,88832
1540105727,88788,88788
1540106899,88801,88801
1540107861,88796,88796
1540108826,88804,88804
1540109793,88819,88819
1540110751,88863,88863
1540111699,88847,88847
1540112782,88849,88849
1540113860,88866,88866
1540114817,88862,88862
1540115795,88859,88859
1540116738,88864,88864
1540117694,88877,88877
1540118658,88891,88891
1540119628,88905,88905
1540120595,88933,88933
1540121548,88925,88925
1540122496,88921,88921
1540123481,88912,88912
1540124411,88936,88936
1540125375,88952,88952
1540126343,88960,88960
1540127821,88988,88988
1540128733,88996,88996
1540129698,88982,88982
1540130668,89002,89002
1540131626,89019,89019
1540132592,89030,89030
1540133538,89022,89022
1540134500,89073,89073
1540135485,89087,89087
1540136413,89076,89076
1540137375,89087,89087
1540138471,89105,89105
1540139806,89061,89061
1540140736,89083,89083
1540141716,89097,89097
1540142665,89125,89125
1540143621,89126,89126
1540144579,89139,89139
1540145553,89155,89155
1540146493,89163,89163
1540147463,89153,89153
1540148443,89173,89173
1540149386,89158,89158
1540150340,89128,89128
1540151299,89125,89125
1540152265,89127,89127
1540153214,89122,89122
1540154191,89111,89111
1540155140,89092,89092
1540156106,89092,89092
1540157058,89080,89080
1540158017,89095,89095
1540158995,89105,89105
1540159936,89113,89113
1540160894,89101,89101
1540161858,89093,89093
1540162837,89087,89087
1540163790,89147,89147
1540164743,89135,89135
1540165714,89124,89124
1540166661,89100,89100
1540167616,89084,89084
1540168585,89078,89078
1540169558,89103,89103
1540170521,89117,89117
1540171454,89096,89096
1540172423,89087,89087
1540173378,89072,89072
1540174345,89069,89069
1540175315,89081,89081
1540176258,89088,89088
1540177240,89130,89130
1540178180,89116,89116
1540179148,89113,89113
