DateTime,AddedIPs,RemovedIPs
1539959054,11,12
1539960011,16,5
1539960990,16,31
1539961938,18,0
1539962888,5,7
1539963999,9,8
1539965117,13,23
1539966271,15,13
1539967210,14,14
1539968168,9,15
1539969154,12,19
1539970092,13,10
1539971052,9,7
1539972010,14,12
1539972977,8,6
1539973938,15,13
1539974904,19,11
1539975867,11,13
1539976817,11,16
1539977778,18,16
1539978731,6,11
1539979710,13,9
1539980673,13,9
1539981616,11,5
1539982574,27,13
1539983543,7,14
1539984501,16,14
1539985457,9,18
1539986425,21,19
1539987381,22,8
1539988338,12,17
1539989291,17,26
1539990276,15,13
1539991208,22,13
1539992170,18,8
1539993155,20,23
1539994094,32,17
1539995052,34,15
1539996016,24,18
1539996978,37,24
1539997944,18,14
1539998891,30,4
1539999870,18,15
1540000816,23,13
1540001774,21,18
1540002756,14,11
1540003699,10,14
1540004661,14,20
1540005612,22,13
1540006591,21,14
1540007530,12,8
1540008496,17,25
1540009469,22,20
1540010409,12,24
1540011368,16,9
1540012337,16,14
1540013288,15,19
1540014269,10,12
1540015218,11,27
1540016186,15,15
1540017163,5,24
1540018090,18,20
1540019078,19,17
1540020012,7,16
1540020973,21,14
1540021931,13,17
1540022898,20,21
1540023885,21,17
1540024838,15,16
1540025787,14,20
1540026763,4,15
1540027693,14,0
1540028657,13,21
1540029617,12,0
1540030592,17,26
1540031546,14,13
1540032495,11,0
1540033463,7,11
1540034415,21,9
1540035388,17,30
1540036339,12,0
1540037294,10,10
1540038261,14,8
1540039210,15,12
1540040187,17,27
1540041161,13,9
1540042096,12,13
1540043055,15,0
1540044038,6,32
1540044991,18,7
1540045946,20,7
1540046893,6,0
1540047871,12,17
1540048820,6,14
1540049793,21,13
1540050739,17,0
1540051749,5,29
1540052656,17,0
1540053623,10,19
1540054576,16,0
1540055545,10,13
1540056490,19,7
1540057467,9,12
1540058433,16,6
1540059385,5,9
1540060341,15,9
1540061300,11,23
1540062259,18,0
1540063216,8,12
1540064171,9,9
1540065163,13,25
1540066094,8,0
1540067074,11,24
1540068014,9,0
1540068982,8,22
1540069941,11,0
1540070896,9,17
1540071854,16,0
1540072847,16,23
1540073783,15,0
1540074742,11,50
1540075763,17,25
1540076676,18,22
1540077614,10,0
1540078587,19,22
1540079531,11,34
1540080515,11,71
1540081476,16,36
1540082441,37,29
1540083373,19,0
1540084345,33,57
1540085289,10,0
1540086261,12,39
1540087232,19,0
1540088193,11,11
1540089150,21,22
1540090098,11,18
1540091060,19,16
1540092031,14,14
1540092983,23,15
1540093944,15,19
1540094896,14,13
1540095863,3,4
1540096813,12,18
1540097793,19,21
1540098762,19,21
1540099697,14,17
1540100653,14,24
1540101642,14,14
1540102590,13,12
1540103549,5,11
1540104495,21,15
1540105724,22,24
1540106896,17,22
1540107858,8,12
1540108823,15,19
1540109791,19,37
1540110748,9,0
1540111696,14,13
1540112780,21,12
1540113857,11,15
1540114814,16,39
1540115793,9,20
1540116735,14,0
1540117693,12,17
1540118655,18,9
1540119627,12,16
1540120594,17,31
1540121546,10,10
1540122495,17,0
1540123480,10,7
