DateTime,Entries,UniqueIPs
1539965119,36808,38417
1539966273,36816,38425
1539967212,36812,38417
1539968170,36777,38371
1539969157,36748,38356
1539970095,36761,38361
1539971054,36736,38338
1539972011,36786,38382
1539972980,36768,38356
1539973940,36790,38381
1539974906,36810,38400
1539975869,37906,39499
1539976819,37909,39503
1539977779,37914,39509
1539978733,37891,39496
1539979712,37905,39500
1539980674,37921,39514
1539981618,37936,39530
1539982576,37899,39506
1539983545,37948,39551
1539984503,37967,39588
1539985459,38023,39648
1539986427,38030,39653
1539987383,38038,39662
1539988340,38051,39674
1539989293,38083,39712
1539990278,38093,39727
1539991210,38071,39702
1539992173,38277,39926
1539993157,38242,39898
1539994095,38271,39935
1539995054,38243,39904
1539996018,38235,39883
1539996981,38256,39909
1539997945,38196,39840
1539998894,38186,39822
1539999873,38247,39897
1540000819,38247,39898
1540001776,38301,39937
1540002759,38331,39980
1540003701,38352,39994
1540004664,38363,39999
1540005614,38370,40011
1540006593,38328,39966
1540007533,38354,40004
1540008498,38392,40047
1540009471,38377,40032
1540010412,38358,40008
1540011369,38341,40000
1540012339,38365,40031
1540013289,38370,40038
1540014272,38379,40059
1540015222,38376,40061
1540016189,38360,40043
1540017165,38263,39937
1540018092,38253,39922
1540019081,38259,39922
1540020014,38275,39945
1540020976,38213,39889
1540021934,38226,39910
1540022901,38239,39919
1540023887,38236,39927
1540024839,38249,39936
1540025789,38284,39972
1540026765,38254,39944
1540027695,38263,39959
1540028660,38229,39930
1540029619,38434,40148
1540030594,38172,39853
1540031547,38122,39815
1540032497,38329,40037
1540033466,38305,40020
1540034416,38274,39983
1540035389,38235,39939
1540036340,38185,39880
1540037296,38177,39868
1540038263,38146,39847
1540039213,38141,39838
1540040189,38106,39795
1540041163,38114,39797
1540042097,38081,39757
1540043057,38061,39737
1540044039,38010,39680
1540044993,38025,39693
1540045948,38015,39682
1540046896,38011,39674
1540047874,38032,39681
1540048821,37994,39649
1540049795,37962,39626
1540050741,37948,39612
1540051752,37980,39643
1540052658,38196,39875
1540053625,37978,39637
1540054577,38009,39673
1540055548,38284,39965
1540056493,38357,40052
1540057470,38132,39808
1540058434,38127,39801
1540059386,38149,39816
1540060343,38165,39836
1540061303,38380,40063
1540062262,38977,40651
1540063218,37899,39571
1540064173,37926,39584
1540065166,37690,39347
1540066096,37954,39628
1540067076,37836,39505
1540068016,38066,39756
1540068984,37885,39575
1540069943,38154,39860
1540070897,38160,39866
1540071856,38127,39827
1540072849,37913,39595
1540073786,37985,39682
1540074744,37996,39692
1540075764,38031,39726
1540076678,38218,39923
1540077616,38031,39732
1540078588,38065,39785
1540079533,38290,40025
1540080516,38119,39836
1540081478,38165,39879
1540082443,38217,39930
1540083376,38456,40177
1540084347,38268,39974
1540085291,38486,40204
1540086263,38568,40297
1540087233,38396,40125
1540088195,38408,40138
1540089152,38612,40357
1540090099,38605,40358
1540091062,38596,40350
1540092033,38375,40112
1540092984,38560,40309
1540093946,38369,40108
1540094898,38553,40320
1540095865,38596,40367
1540096815,38420,40180
1540097794,38425,40179
1540098763,38384,40134
1540099699,38402,40153
1540100655,38601,40358
1540101644,38419,40161
1540102592,38543,40297
1540103551,38748,40507
1540104497,38604,40355
1540105727,38588,40342
1540106899,38617,40359
1540107861,38619,40357
1540108826,38585,40319
1540109793,38580,40328
1540110751,38569,40325
1540111699,38555,40316
1540112782,38506,40269
1540113860,38497,40253
1540114817,38427,40178
1540115795,38398,40151
1540116738,38348,40086
1540117694,38344,40084
1540118658,38350,40087
1540119628,38342,40088
1540120595,38302,40050
1540121548,38306,40057
1540122496,38312,40067
1540123481,38246,39996
1540124411,38242,39986
1540125375,38245,39990
1540126343,38224,39970
1540127821,38011,39733
1540128733,37974,39689
1540129698,37980,39701
1540130668,37979,39704
1540131626,37993,39716
1540132592,37941,39653
1540133538,37919,39629
1540134500,37853,39556
1540135485,37829,39551
1540136413,37771,39479
1540137375,37728,39430
1540138471,37760,39467
1540139806,37803,39517
1540140736,37842,39547
1540141716,37839,39553
1540142665,37850,39570
1540143621,37843,39548
1540144579,37853,39559
1540145553,37885,39579
1540146493,37849,39550
1540147463,37830,39530
1540148443,37900,39589
1540149386,37356,39039
1540150340,37366,39052
1540151299,37378,39063
1540152265,37382,39062
1540153214,37394,39068
1540154191,37367,39037
1540155140,37366,39033
1540156106,37377,39037
1540157058,37432,39082
1540158017,37459,39103
1540158995,37539,39192
1540159936,37619,39278
1540160894,37578,39238
1540161858,37629,39298
1540162837,37680,39346
1540163790,37750,39419
1540164743,37786,39462
1540165714,37809,39475
1540166661,37849,39525
1540167616,37890,39580
1540168585,37903,39601
1540169558,37990,39689
1540170521,38058,39765
1540171454,38156,39853
1540172423,38192,39888
1540173378,38186,39882
1540174345,38287,39980
1540175315,38332,40017
1540176258,38408,40091
1540177240,38526,40212
1540178180,38598,40279
1540179148,38696,40394
1540180112,38777,40478
1540181080,38820,40534
1540182018,38910,40632
1540182988,38955,40684
1540183936,39006,40745
1540184902,39021,40777
1540185871,39112,40886
1540186816,39042,40804
1540187780,39210,40983
1540188743,39275,41050
1540189698,39377,41148
1540190658,39461,41227
1540191624,39542,41313
1540192591,39607,41382
1540193545,39630,41405
1540194495,39651,41434
1540195480,39725,41509
1540196423,39709,41489
1540197377,39756,41535
1540198343,39789,41568
1540199822,39879,41660
1540200743,39950,41736
1540201699,40025,41803
1540202786,40072,41851
1540203871,40123,41902
1540204810,40103,41886
1540205771,40176,41952
1540206760,40233,42018
1540207689,40210,41998
1540208654,40235,42019
1540209671,40252,42029
1540210593,40302,42080
1540211549,40258,42048
1540212492,40255,42054
1540213478,40291,42084
1540214413,40310,42093
1540215390,40349,42141
1540216342,40374,42177
1540217301,40348,42153
1540218274,40355,42150
1540219218,40415,42210
1540220176,40457,42247
1540221151,40504,42290
1540222092,40470,42250
1540223064,40487,42261
1540224036,40485,42266
1540224988,40451,42236
1540225941,40662,42473
1540226924,40635,42424
1540227858,40620,42406
1540228825,40620,42399
1540229780,40512,42297
1540230742,40529,42318
1540231701,40463,42257
1540232661,40460,42267
1540233611,40420,42218
1540234603,40430,42220
1540235538,40395,42182
1540236495,40344,42127
1540237482,40316,42088
1540238443,40287,42055
1540239388,40240,42006
1540240345,40227,41986
1540241293,40193,41954
1540242272,40202,41954
1540243210,40142,41897
1540244196,40067,41819
1540245139,40269,42092
1540246118,40268,42084
1540247067,40266,42086
1540248018,40249,42073
1540248982,40337,42203
1540249968,40314,42198
1540251137,40308,42201
1540252095,40298,42192
1540253063,40134,42018
1540254018,40082,41959
1540254981,40260,42147
1540255937,40239,42131
1540256918,40188,42090
1540257854,40163,42069
1540258811,40165,42075
1540259792,39902,41793
1540260735,40118,42027
1540261695,40094,42004
1540262655,40036,41955
1540263619,40027,41941
1540264606,39744,41626
1540265552,39712,41585
1540266492,39914,41800
1540267472,39878,41771
1540268412,39813,41722
1540269402,39511,41413
1540270336,39711,41632
1540271312,39448,41358
1540272256,39663,41622
1540273227,39455,41401
1540274175,39706,41668
1540275168,39302,41233
1540276100,39225,41151
1540277074,39158,41072
1540278290,39088,40993
1540279464,39058,40966
1540280414,38977,40880
1540281395,38984,40884
1540282598,38895,40797
1540283561,38877,40780
1540284493,38823,40723
1540285465,38743,40663
1540286420,38744,40663
1540287381,38770,40691
1540288339,38785,40711
1540289319,38773,40689
1540290278,38811,40736
1540291212,38866,40787
1540292171,38890,40805
1540293145,39147,41084
1540294094,38980,40889
1540295066,39053,40970
1540296054,39283,41222
1540296989,39308,41274
1540297938,39320,41298
1540298898,39199,41155
1540299862,39452,41436
1540300814,39222,41202
1540301790,39442,41440
1540302735,39424,41431
1540303705,39188,41169
1540304675,39219,41208
1540305635,39255,41254
1540306590,39293,41295
1540307562,39346,41338
1540308518,39367,41362
1540309474,39436,41444
1540310426,39662,41693
1540311384,39712,41731
1540312339,39748,41762
1540313319,39715,41727
1540314519,39475,41461
1540315473,39482,41469
1540316431,39498,41491
1540317390,39490,41475
1540318355,39503,41482
1540319294,39514,41499
1540320258,39545,41530
1540321246,41095,43101
1540322201,41091,43101
1540323155,41136,43149
1540324117,41101,43114
1540325079,41116,43128
1540326011,41172,43195
1540326983,41195,43218
1540327962,41225,43255
1540328896,41206,43231
1540329861,41243,43258
1540330817,41263,43277
1540331778,41134,43087
1540332744,41125,43071
1540333691,41190,43117
1540334672,41190,43124
1540335643,41046,42947
