DateTime,AddedIPs,RemovedIPs
1539965119,57,111
1539966273,61,61
1539967212,59,59
1539968170,56,45
1539969157,55,61
1539970095,61,63
1539971054,66,52
1539972011,51,64
1539972980,73,61
1539973940,64,66
1539974906,71,66
1539975869,1277,65
1539976819,70,67
1539977779,67,50
1539978733,75,62
1539979712,51,81
1539980674,63,64
1539981618,67,41
1539982576,62,64
1539983545,75,55
1539984503,71,55
1539985459,114,61
1539986427,42,64
1539987383,68,54
1539988340,65,64
1539989293,66,40
1539990278,56,40
1539991210,65,0
1539992173,72,67
1539993157,64,46
1539994095,93,55
1539995054,73,54
1539996018,54,97
1539996981,57,0
1539997945,79,121
1539998894,61,48
1539999873,98,51
1540000819,66,0
1540001776,58,49
1540002759,71,85
1540003701,55,62
1540004664,74,0
1540005614,50,124
1540006593,61,55
1540007533,49,0
1540008498,64,37
1540009471,64,120
1540010412,60,0
1540011369,66,60
1540012339,97,60
1540013289,69,60
1540014272,72,110
1540015222,53,0
1540016189,62,124
1540017165,27,56
1540018092,66,0
1540019081,82,112
1540020014,43,0
1540020976,55,54
1540021934,68,60
1540022901,58,48
1540023887,76,134
1540024839,68,78
1540025789,78,0
1540026765,86,122
1540027695,71,0
1540028660,63,69
1540029619,80,77
1540030594,85,141
1540031547,67,65
1540032497,61,89
1540033466,68,0
1540034416,77,135
1540035389,68,61
1540036340,54,0
1540037296,69,47
1540038263,76,41
1540039213,83,81
1540040189,56,59
1540041163,84,179
1540042097,67,54
1540043057,53,0
1540044039,49,114
1540044993,89,0
1540045948,75,67
1540046896,62,57
1540047874,66,60
1540048821,57,53
1540049795,74,68
1540050741,64,59
1540051752,70,61
1540052658,54,49
1540053625,83,71
1540054577,72,53
1540055548,105,50
1540056493,76,54
1540057470,59,54
1540058434,66,70
1540059386,78,70
1540060343,80,41
1540061303,64,63
1540062262,722,55
1540063218,76,421
1540064173,59,54
1540065166,73,55
1540066096,62,55
1540067076,72,47
1540068016,52,70
1540068984,75,52
1540069943,67,58
1540070897,74,65
1540071856,61,59
1540072849,60,60
1540073786,83,67
1540074744,70,57
1540075764,66,49
1540076678,42,59
1540077616,66,74
1540078588,63,64
1540079533,61,63
1540080516,74,63
1540081478,72,40
1540082443,82,76
1540083376,76,51
1540084347,94,55
1540085291,67,52
1540086263,98,39
1540087233,66,68
1540088195,67,52
1540089152,87,53
1540090099,57,54
1540091062,61,54
1540092033,52,58
1540092984,72,51
1540093946,67,41
1540094898,77,56
1540095865,66,48
1540096815,69,54
1540097794,61,55
1540098763,84,63
1540099699,79,65
1540100655,60,45
1540101644,61,35
1540102592,78,46
1540103551,66,67
1540104497,75,43
1540105727,60,114
1540106899,81,70
1540107861,52,44
1540108826,62,61
1540109793,76,53
1540110751,87,65
1540111699,52,75
1540112782,62,73
1540113860,76,60
1540114817,44,61
1540115795,65,65
1540116738,65,65
1540117694,62,50
1540118658,67,56
1540119628,70,63
1540120595,88,58
1540121548,67,80
1540122496,73,64
1540123481,51,66
1540124411,76,57
1540125375,72,66
1540126343,54,59
1540127821,79,51
1540128733,69,48
1540129698,60,62
1540130668,70,55
1540131626,82,66
1540132592,57,48
1540133538,55,68
1540134500,60,0
1540135485,65,48
1540136413,57,54
1540137375,71,62
1540138471,77,66
1540139806,93,138
1540140736,79,48
1540141716,68,58
1540142665,84,62
1540143621,61,65
1540144579,84,55
1540145553,60,53
1540146493,75,68
1540147463,63,70
1540148443,76,53
1540149386,62,74
1540150340,62,77
1540151299,54,55
1540152265,61,64
1540153214,63,60
1540154191,67,89
1540155140,52,76
1540156106,65,63
1540157058,49,68
1540158017,69,67
1540158995,60,75
1540159936,74,64
1540160894,53,68
1540161858,63,63
1540162837,60,74
1540163790,67,0
1540164743,69,83
1540165714,74,82
1540166661,61,75
1540167616,53,53
1540168585,67,69
1540169558,91,73
1540170521,82,81
1540171454,75,80
1540172423,54,66
1540173378,71,108
1540174345,92,107
1540175315,78,96
1540176258,84,109
1540177240,86,96
1540178180,71,115
1540179148,75,94
1540180112,82,97
1540181080,68,107
1540182018,78,89
1540182988,79,78
1540183936,84,70
1540184902,73,92
1540185871,101,86
1540186816,52,93
1540187780,134,69
1540188743,78,103
1540189698,92,118
1540190658,81,83
1540191624,98,93
1540192591,65,100
1540193545,75,106
1540194495,67,115
1540195480,90,84
1540196423,83,128
1540197377,73,107
1540198343,84,90
1540199822,92,195
1540200743,69,0
1540201699,72,238
1540202786,84,110
1540203871,64,121
1540204810,62,0
1540205771,88,0
1540206760,80,0
1540207689,55,0
1540208654,70,0
1540209671,64,0
1540210593,51,18
1540211549,68,106
1540212492,43,138
1540213478,70,146
1540214413,51,159
1540215390,71,148
1540216342,94,158
1540217301,47,160
1540218274,65,125
1540219218,64,171
1540220176,66,137
1540221151,67,144
1540222092,59,125
1540223064,58,0
1540224036,57,133
1540224988,55,0
1540225941,46,68
1540226924,45,159
1540227858,64,0
1540228825,45,154
1540229780,38,0
1540230742,73,138
1540231701,38,0
1540232661,61,78
1540233611,51,66
1540234603,78,88
1540235538,68,166
1540236495,57,61
1540237482,48,64
1540238443,46,52
1540239388,50,64
1540240345,57,70
1540241293,50,84
1540242272,74,74
1540243210,68,70
1540244196,67,107
1540245139,268,78
1540246118,82,0
1540247067,76,142
1540248018,59,65
1540248982,181,0
1540249968,75,150
1540251137,58,73
1540252095,74,86
1540253063,82,91
1540254018,79,65
1540254981,52,67
1540255937,65,77
1540256918,58,66
1540257854,95,83
1540258811,80,71
1540259792,91,55
1540260735,74,57
1540261695,72,60
1540262655,83,65
1540263619,68,68
1540264606,88,59
1540265552,85,51
1540266492,71,65
1540267472,83,61
1540268412,63,9
1540269402,53,70
1540270336,56,70
1540271312,73,72
1540272256,78,55
1540273227,85,93
1540274175,69,72
1540275168,60,53
1540276100,60,62
1540277074,75,88
1540278290,60,63
1540279464,79,58
1540280414,72,77
1540281395,86,46
1540282598,87,143
1540283561,86,0
1540284493,67,95
1540285465,64,58
1540286420,76,59
1540287381,87,66
1540288339,86,100
1540289319,88,69
1540290278,95,64
1540291212,103,79
1540292171,105,59
1540293145,83,81
1540294094,84,74
1540295066,94,73
1540296054,79,103
1540296989,77,58
1540297938,56,74
1540298898,75,67
1540299862,62,59
1540300814,70,51
1540301790,65,63
1540302735,79,75
1540303705,88,75
1540304675,74,65
1540305635,73,56
1540306590,76,68
1540307562,74,72
1540308518,73,51
1540309474,91,81
1540310426,96,62
1540311384,74,0
1540312339,78,46
1540313319,72,67
1540314519,55,67
1540315473,65,144
1540316431,70,49
1540317390,83,0
1540318355,62,70
1540319294,75,66
1540320258,81,36
1540321246,1843,59
1540322201,58,730
1540323155,63,75
1540324117,55,82
1540325079,60,72
1540326011,74,61
1540326983,61,40
1540327962,59,76
1540328896,64,76
1540329861,58,84
1540330817,43,78
1540331778,53,39
1540332744,52,63
1540333691,67,69
1540334672,73,70
1540335643,73,54
1540336600,54,67
1540337556,58,43
1540338493,65,70
1540339481,52,56
1540340453,67,65
1540341401,72,66
1540342362,63,49
1540343321,64,71
1540344275,49,60
1540345483,69,73
1540346458,48,45
1540347401,56,54
1540348335,58,74
1540349301,63,67
1540350265,45,76
1540351213,49,73
1540352196,58,68
1540353131,74,65
1540354115,63,62
1540355067,138,6
1540356020,65,78
1540356991,60,65
1540357957,60,96
1540358932,84,71
1540360097,60,54
1540361068,69,79
1540362024,83,67
1540362991,78,66
1540363943,98,75
1540365144,68,68
1540366095,59,78
1540367082,62,105
1540368262,83,57
1540369235,80,68
1540370179,84,62
1540371142,65,52
1540372124,77,69
1540373060,61,58
1540374011,88,0
1540374998,84,65
1540375936,68,66
1540377040,66,144
1540378101,86,73
1540379079,74,65
1540380256,56,56
1540381219,66,60
1540382172,59,67
1540383224,59,75
1540384358,76,88
1540385542,61,64
1540386498,51,128
1540387455,81,67
1540388412,63,95
1540389391,51,153
1540390342,53,0
1540391311,71,149
1540392272,83,53
1540393473,80,72
1540394413,81,49
1540395389,87,0
1540396355,58,52
1540397352,67,124
1540398277,67,55
1540399211,50,0
1540400278,62,131
1540401650,68,57
1540402589,57,56
1540403539,64,72
1540404500,59,59
1540405459,52,51
1540406419,56,63
1540407398,57,64
1540408337,64,746
1540409297,57,69
1540410271,58,44
1540411235,64,52
1540412189,55,0
1540413142,48,56
1540414097,66,44
1540415067,49,49
1540416020,53,45
1540416981,62,74
1540417950,46,62
1540418915,60,52
1540431163,53,703
1540432335,0,54
1540433312,5,74
1540434271,12,0
1540435212,19,71
1540436178,29,142
1540437140,27,0
1540438093,23,122
1540439078,15,89
1540440025,10,0
1540441005,13,113
1540441944,10,61
1540442911,13,56
1540443883,17,65
1540444842,14,64
1540446031,21,0
1540446978,26,139
1540447950,20,66
1540448896,32,56
1540449864,16,0
1540450832,15,150
1540451791,18,0
1540452743,22,124
1540453707,11,79
1540454682,13,68
1540455646,18,66
1540456601,20,69
1540457545,22,0
1540458525,6,124
1540459477,0,73
1540460436,0,61
1540461400,0,62
1540462350,0,69
