DateTime,AddedIPs,RemovedIPs
1538085630,0,3
1538089235,1,5
1538092828,20,2
1538096431,0,2
1538100032,0,1
1538103641,1,0
1538107240,2,0
1538110838,0,3
1538114436,1,0
1538118036,1,0
1538121637,0,1
1538125240,0,1
1538128837,0,1
1538136035,1,0
1538139640,1,1
1538143237,0,3
1538146837,2,0
1538150434,1,1
1538154039,0,2
1538157636,0,2
1538161235,1,0
1538164843,1,17
1538168431,1,0
1538172036,4,0
1538175638,2,1
1538179236,1,0
1538182835,1,13
1538190037,3,0
1538197232,0,2
1538208033,0,38
1538211635,1,3
1538218824,2,0
1538226030,0,1
1538229625,1,0
1538236829,1,1
1538240432,1,0
1538244028,1,0
1538247632,0,1
1538254833,1,2
1538262028,1,0
1538265633,1,0
1538269230,2,0
1538272832,2,0
1538276432,1,0
1538280033,6,0
1538283634,19,0
1538287233,3,0
1538290835,2,0
1538294431,2,0
1538298034,3,1
1538301635,1,1
1538305227,4,0
1538312430,0,2
1538316035,1,0
1538319628,3,1
1538326829,1,0
1538330428,1,1
1538334030,0,2
1538337633,0,18
1538341232,0,2
1538344829,1,3
1538348431,0,3
1538352031,0,1
1538370030,2,0
1538380832,0,1
1538395235,1,0
1538398834,1,1
1538406036,1,0
1538409633,0,1
1538413233,1,0
1538416837,2,0
1538420431,1,1
1538424039,1,0
1538427626,0,1
1538431234,2,2
1538452834,1,1
1538456435,1,0
1538460036,0,1
1538463631,2,1
1538467238,0,3
1538470836,18,0
1538474435,1,0
1538485234,1,1
1538488838,2,4
1538492432,0,2
1538510428,0,13
1538514034,4,13
1538517634,1,2
1538524833,1,0
1538532034,1,0
1538539234,0,1
1538550026,1,0
1538553634,1,0
1538557229,2,0
1538568034,0,2
1538571630,0,2
1538578836,0,3
1538582425,0,1
1538586031,31,0
1538589637,9,0
1538593234,20,2
1538604036,2,0
1538611237,0,2
1538622035,10,0
1538625637,2,0
1538629237,3,0
1538632840,2,4
1538636439,0,2
1538640033,3,0
1538643641,2,0
1538647232,4,1
1538654438,1,1
1538658035,4,1
1538661634,1,1
1538665233,0,1
1538668840,0,1
1538676042,1,2
1538679629,0,1
1538683238,1,0
1538686837,51,3
1538690440,9,1
1538694041,2,3
1538697635,0,20
1538704841,1,1
1538712037,0,1
1538719242,1,1
1538722836,1,2
1538726441,1,1
1538733641,2,2
1538740831,1,1
1538744429,0,1
1538751630,1,1
1538755231,1,0
1538758833,1,1
1538766033,0,1
1538769633,0,2
1538773236,0,1
1538776842,3,0
1538780451,0,3
1538784032,0,2
1538791239,0,1
1538794840,0,1
1538809232,0,2
1538823646,1,0
1538827244,0,2
1538834437,0,2
1538841630,1,2
1538845241,1,1
1538848830,0,1
1538856039,16,0
1538859637,2,0
1538863236,1,0
1538866836,1,1
1538870439,0,4
1538874040,0,3
1538881237,0,1
1538884840,1,1
1538888436,0,14
1538892041,5,0
1538895639,1,0
1538899244,1,2
1538902840,1,0
1538910040,4,4
1538913639,4,0
1538917242,0,1
1538920840,0,1
1538924437,1,3
1538928034,0,5
1538931637,0,1
1538935233,1,2
1538942432,0,1
1538949636,1,2
1538953238,0,3
1538956839,0,3
1538964040,1,0
1538974833,1,2
1538985637,10,1
1538989240,7,0
1538992837,7,0
1538996437,5,1
1539000036,7,0
1539003640,6,0
1539007242,2,0
1539010837,1,1
1539018038,0,3
1539021646,1,3
1539025237,1,0
1539032439,1,0
1539036033,1,4
1539039639,1,1
1539043237,5,0
1539046840,4,0
1539050442,3,0
1539054039,2,0
1539061239,1,0
1539064838,2,1
1539068441,19,2
1539075641,3,26
1539079241,2,0
1539082845,1,1
1539097240,0,1
1539100833,1,0
1539108037,1,0
1539118841,0,3
1539122439,0,3
1539126042,1,1
1539129642,0,2
1539133238,0,1
1539136840,0,1
1539140439,2,0
1539147642,1,1
1539151242,0,1
1539158433,1,2
1539162031,0,1
1539172831,1,1
1539176436,0,1
1539180037,1,1
1539190844,1,26
1539194436,0,15
1539198040,2,25
1539201639,0,3
1539205236,0,1
1539208838,0,2
1539212434,1,1
1539226835,0,7
1539230439,2,4
1539234039,2,1
1539237638,5,0
1539241238,2,0
1539244837,1,1
1539248441,3,3
1539252039,0,1
1539255627,1,0
1539262837,1,3
1539266440,0,1
1539270031,3,2
1539273636,1,2
1539277236,3,0
1539280837,1,2
1539284437,2,3
1539288036,4,6
1539291636,9,49
1539295235,1,12
1539298834,1,2
1539302437,2,1
1539306036,1,0
1539309635,0,2
1539313236,4,0
1539320435,3,1
1539324032,4,1
1539327639,1,2
1539331235,2,0
1539338429,2,1
1539342036,1,0
1539345636,1,0
1539349233,0,1
1539352835,0,2
1539360030,2,0
1539363635,0,1
1539367231,2,1
1539374434,1,0
1539381632,1,1
1539385238,1,0
1539388831,1,1
1539392433,0,1
1539396033,1,3
1539399635,1,0
1539403236,1,1
1539406831,1,2
1539414031,2,0
1539417636,0,2
1539421233,1,0
1539424835,1,0
1539428435,1,1
1539435637,0,1
1539446428,2,1
1539450035,3,0
1539457236,0,1
1539460831,0,25
1539464430,1,1
1539468030,0,1
1539471634,1,0
1539475231,0,2
1539478835,0,2
1539482433,0,1
1539486034,1,0
1539489631,3,1
1539493236,1,0
1539496833,1,4
1539500434,3,0
1539504034,1,1
1539507634,3,1
1539511236,1,0
1539514826,7,0
1539518432,2,0
1539522026,2,1
1539525632,1,2
1539529231,0,1
1539532837,1,0
1539536436,0,1
1539540038,1,3
1539543632,0,2
1539547234,1,0
1539550824,1,1
1539554431,0,5
1539558025,0,2
1539561630,0,1
1539572429,0,2
1539576037,29,0
1539579636,0,1
1539586838,1,1
1539590439,0,7
1539594036,2,7
1539597636,0,8
1539601235,0,5
1539604835,1,7
1539608431,0,10
1539612034,1,5
1539619240,1,2
1539626435,1,1
1539630033,2,0
1539633634,1,0
1539637234,6,0
1539640835,3,0
1539644436,1,1
1539648034,3,0
1539651636,1,1
1539658831,2,0
1539662431,0,1
1539666031,1,0
1539669631,1,4
1539673232,1,29
1539676826,1,5
1539680432,1,4
1539684034,0,2
1539687632,1,3
1539691230,1,2
1539698431,1,0
1539705639,2,0
1539709231,3,1
1539712839,0,2
1539720033,1,0
1539723633,1,0
1539730829,3,0
1539734434,4,0
1539738030,2,0
1539745234,6,0
1539752435,0,1
1539756042,0,3
1539759623,1,0
1539770427,2,0
1539777632,1,1
1539784835,0,2
1539792031,0,2
1539795631,0,1
1539799237,2,2
1539802835,2,1
1539806430,2,0
1539810034,0,1
1539813630,4,0
1539820836,5,0
1539828036,1,0
1539831633,4,0
1539835236,3,1
1539838835,4,0
1539842434,4,1
1539846034,3,0
1539849640,6,1
1539853236,2,1
1539856845,2,0
1539860435,1,0
1539864037,4,1
1539867634,1,1
1539871243,2,1
1539874851,4,0
1539878438,2,2
1539882036,29,1
1539885641,1,1
1539889233,0,2
1539892843,1,5
1539896436,3,4
1539900035,0,7
1539903634,0,2
1539907243,1,2
1539918034,3,2
1539921638,3,0
1539925242,1,2
1539928837,2,4
1539932444,0,3
1539936036,0,4
1539943241,1,1
1539946834,3,1
1539950442,0,1
1539954033,2,3
1539957642,1,1
1539961232,0,2
1539964837,0,3
1539968430,4,0
1539972038,0,4
1539975632,0,1
1539979236,5,2
1539990035,7,1
1539993636,1,2
1540000836,5,1
1540004441,0,2
1540008036,1,1
1540011647,0,1
1540015236,1,0
1540018835,1,0
1540022432,1,1
1540026037,0,1
1540029640,0,1
1540033235,1,1
1540036838,1,2
1540044040,3,0
1540047639,2,0
1540051236,2,2
1540054835,2,2
1540058438,1,1
1540062032,2,1
1540069233,0,1
1540072838,2,0
1540076434,1,1
1540087236,0,1
1540090841,7,0
1540098037,1,0
1540101639,1,0
1540105237,3,1
1540108827,1,3
1540112429,0,1
1540119630,0,5
1540123238,1,1
1540130436,1,2
1540134035,1,0
1540137638,2,2
1540141232,1,1
1540144839,0,3
1540148432,1,1
1540152033,1,3
1540155634,1,1
1540159236,3,1
1540162833,21,3
1540166433,0,1
1540173639,1,0
1540180837,0,21
1540195237,0,1
1540198833,0,1
1540202434,0,1
1540206035,1,1
1540216834,1,0
1540224033,1,0
1540231236,0,1
1540238433,1,0
1540242034,1,3
1540245631,1,3
1540252829,1,2
1540256432,0,2
1540263635,1,2
1540267235,0,1
1540274434,0,2
1540278030,1,1
1540281630,0,2
1540288827,1,0
1540292427,0,1
1540296034,0,3
1540306831,0,1
1540310434,0,4
1540314037,0,2
1540317631,0,1
1540324831,1,0
1540328438,2,2
1540332035,3,1
1540335638,0,2
1540339229,3,5
1540342831,1,2
1540346435,2,0
1540350034,2,5
1540357235,2,0
1540364440,1,0
1540375227,0,2
1540378824,1,0
1540382426,0,2
1540396836,19,0
1540400431,1,0
1540404035,1,0
1540407628,0,2
1540411232,1,0
1540414832,0,1
1540418438,0,2
1540422038,2,0
1540425639,1,0
1540429237,1,0
1540436434,4,0
1540440035,3,0
1540443641,3,2
1540447237,3,1
1540450839,1,1
1540454438,1,1
1540458038,1,1
1540461637,1,1
