DateTime,Entries,UniqueIPs
1538085630,420,420
1538089235,416,416
1538092828,434,434
1538096431,432,432
1538100032,431,431
1538103641,432,432
1538107240,434,434
1538110838,431,431
1538114436,432,432
1538118036,433,433
1538121637,432,432
1538125240,431,431
1538128837,430,430
1538136035,431,431
1538139640,431,431
1538143237,428,428
1538146837,430,430
1538150434,430,430
1538154039,428,428
1538157636,426,426
1538161235,427,427
1538164843,411,411
1538168431,412,412
1538172036,416,416
1538175638,417,417
1538179236,418,418
1538182835,406,406
1538190037,409,409
1538197232,407,407
1538208033,369,369
1538211635,367,367
1538218824,369,369
1538226030,368,368
1538229625,369,369
1538236829,369,369
1538240432,370,370
1538244028,371,371
1538247632,370,370
1538254833,369,369
1538262028,370,370
1538265633,371,371
1538269230,373,373
1538272832,375,375
1538276432,376,376
1538280033,382,382
1538283634,401,401
1538287233,404,404
1538290835,406,406
1538294431,408,408
1538298034,410,410
1538301635,410,410
1538305227,414,414
1538312430,412,412
1538316035,413,413
1538319628,415,415
1538326829,416,416
1538330428,416,416
1538334030,414,414
1538337633,396,396
1538341232,394,394
1538344829,392,392
1538348431,389,389
1538352031,388,388
1538370030,390,390
1538380832,389,389
1538395235,390,390
1538398834,390,390
1538406036,391,391
1538409633,390,390
1538413233,391,391
1538416837,393,393
1538420431,393,393
1538424039,394,394
1538427626,393,393
1538431234,393,393
1538452834,393,393
1538456435,394,394
1538460036,393,393
1538463631,394,394
1538467238,391,391
1538470836,409,409
1538474435,410,410
1538485234,410,410
1538488838,408,408
1538492432,406,406
1538510428,393,393
1538514034,384,384
1538517634,383,383
1538524833,384,384
1538532034,385,385
1538539234,384,384
1538550026,385,385
1538553634,386,386
1538557229,388,388
1538568034,386,386
1538571630,384,384
1538578836,381,381
1538582425,380,380
1538586031,411,411
1538589637,420,420
1538593234,438,438
1538604036,440,440
1538611237,438,438
1538622035,448,448
1538625637,450,450
1538629237,453,453
1538632840,451,451
1538636439,449,449
1538640033,452,452
1538643641,454,454
1538647232,457,457
1538654438,457,457
1538658035,460,460
1538661634,460,460
1538665233,459,459
1538668840,458,458
1538676042,457,457
1538679629,456,456
1538683238,457,457
1538686837,505,505
1538690440,513,513
1538694041,512,512
1538697635,492,492
1538704841,492,492
1538712037,491,491
1538719242,491,491
1538722836,490,490
1538726441,490,490
1538733641,490,490
1538740831,490,490
1538744429,489,489
1538751630,489,489
1538755231,490,490
1538758833,490,490
1538766033,489,489
1538769633,487,487
1538773236,486,486
1538776842,489,489
1538780451,486,486
1538784032,484,484
1538791239,483,483
1538794840,482,482
1538809232,480,480
1538823646,481,481
1538827244,479,479
1538834437,477,477
1538841630,476,476
1538845241,476,476
1538848830,475,475
1538856039,491,491
1538859637,493,493
1538863236,494,494
1538866836,494,494
1538870439,490,490
1538874040,487,487
1538881237,486,486
1538884840,486,486
1538888436,472,472
1538892041,477,477
1538895639,478,478
1538899244,477,477
1538902840,478,478
1538910040,478,478
1538913639,482,482
1538917242,481,481
1538920840,480,480
1538924437,478,478
1538928034,473,473
1538931637,472,472
1538935233,471,471
1538942432,470,470
1538949636,469,469
1538953238,466,466
1538956839,463,463
1538964040,464,464
1538974833,463,463
1538985637,472,472
1538989240,479,479
1538992837,486,486
1538996437,490,490
1539000036,497,497
1539003640,503,503
1539007242,505,505
1539010837,505,505
1539018038,502,502
1539021646,500,500
1539025237,501,501
1539032439,502,502
1539036033,499,499
1539039639,499,499
1539043237,504,504
1539046840,508,508
1539050442,511,511
1539054039,513,513
1539061239,514,514
1539064838,515,515
1539068441,532,532
1539075641,509,509
1539079241,511,511
1539082845,511,511
1539097240,510,510
1539100833,511,511
1539108037,512,512
1539118841,509,509
1539122439,506,506
1539126042,506,506
1539129642,504,504
1539133238,503,503
1539136840,502,502
1539140439,504,504
1539147642,504,504
1539151242,503,503
1539158433,502,502
1539162031,501,501
1539172831,501,501
1539176436,500,500
1539180037,500,500
1539190844,475,475
1539194436,460,460
1539198040,437,437
1539201639,434,434
1539205236,433,433
1539208838,431,431
1539212434,431,431
1539226835,424,424
1539230439,422,422
1539234039,423,423
1539237638,428,428
1539241238,430,430
1539244837,430,430
1539248441,430,430
1539252039,429,429
1539255627,430,430
1539262837,428,428
1539266440,427,427
1539270031,428,428
1539273636,427,427
1539277236,430,430
1539280837,429,429
1539284437,428,428
1539288036,426,426
1539291636,386,386
1539295235,375,375
1539298834,374,374
1539302437,375,375
1539306036,376,376
1539309635,374,374
1539313236,378,378
1539320435,380,380
1539324032,383,383
1539327639,382,382
1539331235,384,384
1539338429,385,385
1539342036,386,386
1539345636,387,387
1539349233,386,386
1539352835,384,384
1539360030,386,386
1539363635,385,385
1539367231,386,386
1539374434,387,387
1539381632,387,387
1539385238,388,388
1539388831,388,388
1539392433,387,387
1539396033,385,385
1539399635,386,386
1539403236,386,386
1539406831,385,385
1539414031,387,387
1539417636,385,385
1539421233,386,386
1539424835,387,387
1539428435,387,387
1539435637,386,386
1539446428,387,387
1539450035,390,390
1539457236,389,389
1539460831,364,364
1539464430,364,364
1539468030,363,363
1539471634,364,364
1539475231,362,362
1539478835,360,360
1539482433,359,359
1539486034,360,360
1539489631,362,362
1539493236,363,363
1539496833,360,360
1539500434,363,363
1539504034,363,363
1539507634,365,365
1539511236,366,366
1539514826,373,373
1539518432,375,375
1539522026,376,376
1539525632,375,375
1539529231,374,374
1539532837,375,375
1539536436,374,374
1539540038,372,372
1539543632,370,370
1539547234,371,371
1539550824,371,371
1539554431,366,366
1539558025,364,364
1539561630,363,363
1539572429,361,361
1539576037,390,390
1539579636,389,389
1539586838,389,389
1539590439,382,382
1539594036,377,377
1539597636,369,369
1539601235,364,364
1539604835,358,358
1539608431,348,348
1539612034,344,344
1539619240,343,343
1539626435,343,343
1539630033,345,345
1539633634,346,346
1539637234,352,352
1539640835,355,355
1539644436,355,355
1539648034,358,358
1539651636,358,358
1539658831,360,360
1539662431,359,359
1539666031,360,360
1539669631,357,357
1539673232,329,329
1539676826,325,325
1539680432,322,322
1539684034,320,320
1539687632,318,318
1539691230,317,317
1539698431,318,318
1539705639,320,320
1539709231,322,322
1539712839,320,320
1539720033,321,321
1539723633,322,322
1539730829,325,325
1539734434,329,329
1539738030,331,331
1539745234,337,337
1539752435,336,336
