DateTime,AddedIPs,RemovedIPs
1537434031,1,0
1537441232,0,1
1537459229,0,1
1537462833,0,1
1537470031,0,1
1537473637,0,1
1537477232,2,1
1537480839,1,3
1537484430,1,2
1537488037,0,1
1537495233,0,2
1537498831,1,1
1537502430,0,1
1537506032,1,1
1537509630,1,2
1537516832,0,2
1537520427,1,0
1537524031,1,0
1537527631,0,14
1537531231,1,0
1537534830,2,0
1537538426,3,0
1537542029,1,0
1537545629,0,4
1537549231,2,0
1537560031,24,0
1537563635,0,1
1537567231,1,20
1537570827,1,4
1537574437,1,1
1537578029,10,1
1537581631,0,1
1537585230,2,1
1537603235,39,0
1537606832,2,2
1537610435,1,1
1537617637,0,2
1537621233,2,0
1537639238,0,1
1537642846,1,0
1537650045,2,0
1537696844,0,1
1537711242,2,1
1537718441,0,1
1537722034,0,2
1537725632,0,1
1537729239,0,1
1537732834,18,7
1537747233,0,1
1537750829,0,1
1537768834,0,1
1537772432,0,21
1537776040,0,1
1537783234,0,1
1537794031,0,2
1537797629,0,1
1537801230,0,1
1537804845,0,2
1537808427,2,1
1537812032,0,3
1537819241,2,0
1537822830,0,1
1537826430,0,5
1537830035,3,0
1537837235,2,1
1537840834,0,3
1537844432,1,1
1537848032,5,0
1537851631,3,0
1537855236,1,2
1537858835,1,2
1537862433,0,1
1537866031,4,1
1537873232,0,1
1537876832,2,1
1537880431,3,5
1537887641,1,1
1537891230,3,2
1537898430,2,4
1537902035,3,4
1537905632,7,7
1537909233,16,10
1537912833,1,4
1537916432,1,7
1537920036,2,5
1537923639,2,5
1537927232,1,9
1537930837,2,5
1537934426,1,5
1537938031,2,5
1537941631,2,1
1537945227,0,3
1537948825,0,3
1537952427,1,3
1537956027,0,2
1537963231,2,0
1537970440,0,1
1537974031,5,2
1537977632,2,2
1537988440,4,1
1537992031,1,1
1537999229,0,23
1538006429,0,2
1538028037,2,1
1538031631,2,0
1538038830,0,1
1538067631,1,1
1538071232,1,0
1538074830,1,0
1538082024,1,0
1538085630,0,2
1538092824,20,1
1538096427,0,1
1538103640,1,0
1538107236,2,0
1538110834,0,3
1538114436,1,0
1538118031,1,0
1538121633,0,1
1538125236,0,1
1538128831,0,1
1538136030,1,0
1538139636,0,1
1538143233,0,3
1538146832,2,0
1538150439,1,1
1538154035,0,2
1538161230,1,0
1538164838,1,17
1538168426,1,0
1538172031,4,0
1538175634,2,1
1538179231,1,0
1538182832,1,11
1538190033,3,0
1538197227,0,1
1538208029,0,38
1538211631,0,3
1538218830,2,0
1538229622,1,0
1538240426,1,0
1538244023,1,0
1538254828,1,1
1538265628,1,0
1538272827,2,0
1538280029,4,0
1538283629,17,0
1538290830,2,0
1538294427,1,0
1538305225,1,0
1538319623,2,0
1538326824,1,0
1538330424,1,0
1538337628,0,18
1538344827,1,0
1538348426,0,1
1538352026,1,0
1538395230,1,1
1538398829,1,0
1538420425,1,1
1538424034,1,0
1538427622,0,1
1538431230,1,2
1538452829,1,1
1538456431,1,0
1538460032,0,1
1538463627,2,1
1538467230,0,3
1538470832,19,0
1538474430,1,0
1538485229,1,0
1538488833,2,2
1538492428,0,1
1538510424,0,13
1538514030,3,12
1538517630,1,2
1538524828,1,0
1538532030,1,0
1538539235,0,1
1538550022,1,0
1538553631,1,0
1538557224,2,0
1538568029,0,2
1538571625,0,1
1538578831,0,2
