DateTime,Entries,UniqueIPs
1537434031,370,370
1537441232,369,369
1537459229,368,368
1537462833,367,367
1537470031,366,366
1537473637,365,365
1537477232,366,366
1537480839,364,364
1537484430,363,363
1537488037,362,362
1537495233,360,360
1537498831,360,360
1537502430,359,359
1537506032,359,359
1537509630,358,358
1537516832,356,356
1537520427,357,357
1537524031,358,358
1537527631,344,344
1537531231,345,345
1537534830,347,347
1537538426,350,350
1537542029,351,351
1537545629,347,347
1537549231,349,349
1537560031,373,373
1537563635,372,372
1537567231,353,353
1537570827,350,350
1537574437,350,350
1537578029,359,359
1537581631,358,358
1537585230,359,359
1537603235,398,398
1537606832,398,398
1537610435,398,398
1537617637,396,396
1537621233,398,398
1537639238,397,397
1537642846,398,398
1537650045,400,400
1537696844,399,399
1537711242,400,400
1537718441,399,399
1537722034,397,397
1537725632,396,396
1537729239,395,395
1537732834,406,406
1537747233,405,405
1537750829,404,404
1537768834,403,403
1537772432,382,382
1537776040,381,381
1537783234,380,380
1537794031,378,378
1537797629,377,377
1537801230,376,376
1537804845,374,374
1537808427,375,375
1537812032,372,372
1537819241,374,374
1537822830,373,373
1537826430,368,368
1537830035,371,371
1537837235,372,372
1537840834,369,369
1537844432,369,369
1537848032,374,374
1537851631,377,377
1537855236,376,376
1537858835,375,375
1537862433,374,374
1537866031,377,377
1537873232,376,376
1537876832,377,377
1537880431,375,375
1537887641,375,375
1537891230,376,376
1537898430,374,374
1537902035,373,373
1537905632,373,373
1537909233,379,379
1537912833,376,376
1537916432,370,370
1537920036,367,367
1537923639,364,364
1537927232,356,356
1537930837,353,353
1537934426,349,349
1537938031,346,346
1537941631,347,347
1537945227,344,344
1537948825,341,341
1537952427,339,339
1537956027,337,337
1537963231,339,339
1537970440,338,338
1537974031,341,341
1537977632,341,341
1537988440,344,344
1537992031,344,344
1537999229,321,321
1538006429,319,319
1538028037,320,320
1538031631,322,322
1538038830,321,321
1538067631,321,321
1538071232,322,322
1538074830,323,323
1538082024,324,324
1538085630,322,322
1538092824,341,341
1538096427,340,340
1538103640,341,341
1538107236,343,343
1538110834,340,340
1538114436,341,341
1538118031,342,342
1538121633,341,341
1538125236,340,340
1538128831,339,339
1538136030,340,340
1538139636,339,339
1538143233,336,336
1538146832,338,338
1538150439,338,338
1538154035,336,336
1538161230,337,337
1538164838,321,321
1538168426,322,322
1538172031,326,326
1538175634,327,327
1538179231,328,328
1538182832,318,318
1538190033,321,321
1538197227,320,320
1538208029,282,282
1538211631,279,279
1538218830,281,281
1538229622,282,282
1538240426,283,283
1538244023,284,284
1538254828,284,284
1538265628,285,285
1538272827,287,287
1538280029,291,291
1538283629,308,308
1538290830,310,310
1538294427,311,311
1538305225,312,312
1538319623,314,314
1538326824,315,315
1538330424,316,316
1538337628,298,298
1538344827,299,299
1538348426,298,298
1538352026,299,299
1538395230,299,299
1538398829,300,300
1538420425,300,300
1538424034,301,301
1538427622,300,300
1538431230,299,299
1538452829,299,299
1538456431,300,300
1538460032,299,299
1538463627,300,300
1538467230,297,297
1538470832,316,316
1538474430,317,317
1538485229,318,318
1538488833,318,318
1538492428,317,317
1538510424,304,304
1538514030,295,295
1538517630,294,294
1538524828,295,295
1538532030,296,296
1538539235,295,295
1538550022,296,296
1538553631,297,297
1538557224,299,299
1538568029,297,297
1538571625,296,296
1538578831,294,294
1538586027,325,325
1538589633,334,334
1538593228,352,352
1538604032,354,354
1538611232,352,352
1538622031,362,362
1538632834,360,360
1538636435,360,360
1538640028,361,361
1538658031,363,363
1538676037,362,362
1538683234,363,363
1538694040,363,363
1538697627,344,344
1538704833,345,345
1538712030,344,344
1538719241,344,344
1538722829,342,342
1538726433,342,342
1538733633,341,341
1538740828,341,341
1538744422,340,340
1538755227,341,341
1538758828,341,341
1538766029,340,340
1538769623,338,338
1538773229,337,337
1538776825,340,340
1538780429,337,337
1538784024,335,335
1538791238,334,334
1538794827,333,333
1538809225,331,331
1538812827,332,332
1538827226,330,330
1538834423,328,328
