DateTime,AddedIPs,RemovedIPs
1533402133,1,0
1533409327,1,0
1533412902,0,1
1533416535,0,1
1533434526,0,1
1533438117,0,2
1533448934,0,1
1533452498,2,1
1533463297,1,0
1533470510,2,0
1533477749,1,0
1533481294,3,0
1533488504,0,2
1533492120,1,0
1533495730,0,1
1533499288,0,1
1533510129,1,0
1533520912,1,0
1533538882,0,1
1533542489,1,0
1533571315,1,0
1533578520,1,0
1533585686,0,1
1533589273,1,1
1533603682,0,1
1533621706,1,0
1533628908,1,0
1533639706,0,1
1533654097,1,1
1533657692,1,0
1533682931,0,1
1533686505,1,0
1533693703,1,0
1533704516,1,0
1533708122,1,0
1533726128,1,0
1533733338,0,1
1533744131,0,1
1533772932,0,1
1533776539,0,1
1533794529,1,0
1533805278,1,0
1533812534,0,1
1533830526,0,1
1533852140,1,1
1533859340,1,0
1533873742,1,0
1533891742,1,0
1533895333,1,1
1533902528,1,0
1533906137,1,0
1533916942,0,1
1533920535,1,1
1533927733,0,2
1533934937,2,0
1533938537,1,0
1533942137,2,0
1533945692,0,1
1533956533,1,0
1533963749,2,0
1533970932,1,0
1533974530,1,0
1533978136,1,1
1533981730,1,1
1533985339,0,1
1533992529,1,0
1534010518,0,1
1534014140,0,1
1534057332,0,1
1534068136,0,1
1534071724,3,0
1534075341,2,0
1534078929,3,0
1534086127,1,0
1534089724,1,1
1534093340,1,0
1534096920,1,1
1534111341,1,0
1534118525,0,1
1534122130,1,0
1534125731,0,1
1534140112,0,1
1534143726,1,0
1534150898,0,0
1534172503,0,1
1534176102,1,0
1534183322,1,0
1534190519,1,1
1534201324,1,1
1534212132,0,1
1534215710,1,0
1534230115,0,1
1534240915,0,1
1534280510,0,1
1534316525,0,1
1534320107,0,1
1534363320,1,0
1534374116,1,0
1534395733,1,0
1534406498,1,0
1534428120,0,1
1534431722,1,0
1534435295,1,0
1534449705,0,1
1534456897,0,1
1534489333,1,0
1534518119,1,0
1534543308,0,1
1534561326,1,0
1534600921,0,1
1534644105,0,1
1534647723,0,1
1534651287,0,3
1534654903,0,1
1534665683,0,3
1534680098,0,2
1534683691,0,1
1534687312,0,1
1534698114,1,0
1534716098,0,1
1534719676,0,2
1534723304,0,3
1534726894,0,4
1534730507,0,2
1534737700,1,0
1534759245,1,0
1534766474,0,2
1534770071,0,1
1534788075,0,1
1534791637,0,1
1534798892,0,1
1534820469,1,1
1534827667,0,1
1534834871,0,1
1534838466,0,1
1534860051,1,0
1534874449,1,0
1534885259,0,1
1534892471,2,2
1534903256,1,0
1534917651,2,1
1534932065,0,1
1534935633,1,0
1534939231,0,1
1535011230,0,1
1535025650,1,0
1535029237,1,0
1535043632,1,0
1535050838,1,0
1535058032,0,1
1535061628,1,0
1535072429,1,0
1535076041,1,0
1535098798,0,1
1535115631,1,1
1535119231,1,0
1535122835,4,0
1535126433,1,0
1535130025,4,0
