DateTime,AddedIPs,RemovedIPs
1538409848,7,1
1538413463,0,3
1538417066,0,4
1538420649,1,2
1538424232,2,1
1538427796,1,0
1538431438,2,0
1538435026,1,2
1538442238,1,1
1538445857,0,1
1538449466,1,1
1538453060,12,1
1538456666,18,0
1538460272,8,0
1538463850,0,1
1538467481,1,3
1538478273,1,0
1538481854,2,0
1538485438,1,0
1538489070,0,2
1538492644,0,1
1538496278,2,2
1538499861,7,1
1538503466,8,1
1538507076,9,1
1538510688,5,3
1538514255,7,2
1538517862,3,1
1538521456,1,0
1538525062,1,0
1538528672,1,1
1538535853,1,0
1538539474,1,4
1538550248,2,4
1538553849,1,0
1538557470,2,1
1538561062,1,0
1538564633,1,3
1538568278,1,1
1538571859,0,2
1538575474,0,1
1538579063,1,1
1538582612,4,1
1538586250,1,3
1538593480,87,2
1538597052,1,4
1538600684,1,1
1538604261,1,1
1538607881,0,1
1538611471,2,3
1538615055,3,0
1538618656,0,1
1538622274,3,0
1538625865,4,1
1538629468,1,2
1538633066,2,2
1538640264,2,1
1538643890,0,2
1538647489,1,7
1538651058,1,3
1538654647,2,1
1538661875,1,0
1538665479,0,2
1538669086,1,0
1538672666,1,1
1538676267,1,0
1538679866,3,0
1538683455,1,1
1538687053,3,2
1538690651,3,1
1538694265,0,1
1538697857,1,1
1538701453,0,1
1538705069,0,1
1538708654,0,1
1538712285,1,2
1538715874,0,2
1538719459,0,1
1538723056,0,1
1538726657,0,1
1538730246,0,4
1538733864,1,5
1538737427,2,1
1538741013,0,4
1538744619,0,2
1538748234,1,1
1538751826,3,3
1538755464,1,1
1538759041,5,1
1538762661,3,0
1538766265,1,2
1538769877,0,2
1538773442,2,3
1538777036,1,1
1538780650,0,2
1538784251,1,5
1538787854,1,5
1538791465,0,1
1538795068,0,2
1538805848,1,2
1538809456,0,1
1538813042,1,2
1538816667,0,4
1538823823,2,1
1538827489,0,1
1538834663,1,1
1538838222,2,2
1538841830,0,4
1538845449,4,0
1538849061,3,2
1538852653,2,0
1538859849,1,0
1538863453,6,2
1538867081,2,1
1538870664,0,5
1538881463,0,3
1538885066,0,3
1538888676,2,2
1538895880,1,1
1538903052,0,2
1538906664,0,4
1538910269,2,1
1538913849,1,0
1538917470,0,5
1538921068,3,0
1538928269,3,2
1538931874,1,1
1538935480,0,2
1538939052,1,2
1538942676,1,4
1538946253,1,8
1538949869,0,2
1538953482,1,10
1538957070,0,5
1538960650,2,9
1538964240,0,11
1538967851,1,16
1538971481,1,15
1538975045,1,5
1538978683,0,3
1538982241,1,0
1538985852,2,1
1538989462,1,0
1538993084,2,2
1539000258,2,1
1539003842,1,2
1539007472,1,2
1539011060,0,3
1539014674,1,5
1539018236,1,0
1539021881,1,3
1539025453,1,1
1539029062,2,4
1539032645,2,1
1539036240,0,2
1539039841,8,1
1539043465,2,2
1539047045,2,0
1539050656,0,2
1539054256,0,1
1539057864,1,6
1539061467,1,4
1539065042,1,6
1539068639,0,1
1539072246,1,2
1539075878,54,0
1539079438,0,2
1539083062,1,1
1539086664,1,1
1539090261,1,0
1539093860,1,0
1539097436,1,1
1539101080,1,2
1539104672,1,3
1539108282,4,7
1539111875,3,11
1539115461,3,11
1539119060,3,14
1539122639,1,10
1539126286,1,4
1539129868,1,1
1539133469,0,1
1539137052,2,1
1539140655,1,0
1539144267,1,2
1539147838,0,2
1539151446,0,2
1539155051,1,1
1539158645,1,1
1539162251,1,0
1539165814,0,2
1539173080,1,1
1539176660,1,1
1539183852,0,1
1539187439,3,0
1539191073,2,0
1539194660,2,0
1539198273,0,53
1539201856,5,2
1539205462,0,3
1539209069,4,1
1539212684,2,3
1539216256,3,0
1539219851,1,2
1539223444,2,0
1539227050,1,2
1539230663,0,3
1539234279,2,3
1539237873,0,2
1539241470,1,1
1539245079,0,2
1539248646,1,2
1539252290,0,2
1539259456,1,1
1539266679,0,1
1539277427,2,0
1539281067,1,0
1539284678,1,2
1539288259,0,1
1539291872,2,2
1539295471,1,2
1539299052,3,3
1539302682,1,1
1539306254,1,1
1539309851,1,1
1539313489,0,1
1539317079,1,3
1539327841,1,2
1539335046,2,1
1539338654,0,1
1539342179,0,6
1539349470,2,0
1539356607,2,3
1539360215,1,0
1539363859,1,1
1539367446,2,2
1539371083,2,3
1539374670,2,1
1539378276,4,1
1539381873,1,0
1539385461,2,1
1539389059,1,0
1539392669,0,2
1539399859,1,1
1539403464,2,0
1539407080,0,1
1539414256,1,0
1539417866,0,3
1539421472,2,1
1539425078,0,1
1539428648,2,1
1539443039,3,0
1539446619,5,0
1539450259,0,1
1539453873,1,1
1539457469,1,2
1539461067,2,0
1539464676,1,2
1539468249,0,2
1539471865,3,0
1539475458,3,0
1539479060,3,2
1539482664,0,1
1539486260,0,2
1539493466,0,1
1539497066,0,2
1539500661,0,2
1539504274,2,1
1539507869,7,1
1539511474,3,0
1539515047,1,2
1539518658,1,1
1539522204,1,0
1539525853,3,1
1539529486,3,1
1539533068,3,1
1539536649,0,4
1539540281,1,1
1539543879,0,1
1539547477,0,2
1539551024,0,2
1539554677,2,0
1539558265,0,2
1539561867,3,0
1539569039,0,1
1539579865,0,3
1539583453,1,1
1539587009,1,0
1539590669,0,1
1539594270,1,0
1539597878,0,2
1539601458,1,0
1539605081,2,1
1539608682,1,2
1539619479,0,3
1539623070,1,0
1539626671,1,2
1539630280,2,2
1539633871,3,2
1539637488,3,1
1539641084,2,3
1539644664,4,0
1539648293,1,1
1539651878,2,2
1539655411,2,3
1539659055,2,2
1539662681,0,1
1539666268,1,2
1539673474,1,0
1539677057,1,0
1539680675,1,86
1539684285,0,2
1539687839,1,0
1539691455,1,0
1539695040,1,2
1539702241,2,2
1539705867,0,3
1539709451,0,3
1539713076,1,2
1539716659,1,1
1539720256,2,3
1539723849,4,0
1539727473,1,2
1539731056,1,3
1539734635,0,2
1539741854,3,1
1539745436,1,3
1539749057,2,2
1539752661,1,1
1539759811,1,2
1539763426,3,0
1539767043,0,2
1539770672,0,1
1539774261,0,1
1539777843,0,2
1539781452,0,1
1539785071,1,1
1539788641,0,2
1539792264,0,1
1539795846,1,2
1539799463,1,7
1539803046,1,0
1539806658,1,1
1539810242,3,4
1539813881,1,2
1539817461,4,6
1539821086,1,2
1539824644,2,0
1539828238,2,2
1539831823,0,1
1539835449,0,1
1539839044,1,1
1539842646,1,0
1539846266,2,1
1539857053,2,1
1539864251,5,0
1539867855,1,0
1539871454,0,1
1539882270,1,3
1539889472,2,0
1539893069,4,0
1539903845,0,1
1539907464,1,2
1539911065,0,2
1539914627,1,2
1539918252,0,2
1539929044,3,0
1539936250,0,1
1539939855,0,1
1539950668,2,1
1539954272,3,1
1539957876,1,1
1539961466,0,1
1539965056,1,2
1539968654,2,1
1539972269,0,3
1539975879,2,4
1539979466,2,1
1539983060,5,2
1539986600,4,0
1539990249,4,5
1539993845,1,1
1539997451,1,0
1540001043,3,2
1540004674,0,1
1540011840,0,1
1540019065,0,2
1540022642,0,1
1540026251,1,0
1540029848,0,1
1540033475,1,2
1540037066,0,1
1540044255,2,1
1540047844,1,0
1540051445,4,3
1540055042,0,1
1540058658,4,0
1540062270,2,0
1540065864,2,2
1540069465,2,1
1540073084,4,1
1540076647,1,0
1540080264,1,0
1540083869,2,4
1540087462,4,0
1540091057,3,0
1540094669,2,0
1540098242,1,0
1540101851,1,1
1540105487,0,2
1540109010,1,0
1540112617,1,7
1540116269,0,3
1540119854,1,3
1540123461,2,0
1540127025,2,2
1540130653,1,1
1540134278,1,3
1540137798,1,4
1540141442,1,3
1540145075,2,1
1540148649,1,2
1540152258,1,2
1540155868,2,4
1540159448,6,3
1540163045,5,0
1540166661,6,2
1540170267,2,3
1540173864,2,2
1540177452,1,0
1540181067,1,0
1540184636,1,1
1540188271,1,1
1540191873,1,3
1540195449,2,0
1540199021,1,0
1540206239,2,1
1540209854,1,2
1540213436,1,0
1540224278,1,1
1540227856,1,1
1540231456,0,1
1540235055,3,0
1540238665,2,3
1540242280,2,2
1540245848,4,0
1540249477,1,0
1540253051,0,2
1540256665,0,3
1540260241,0,1
1540263890,0,1
1540267438,0,1
1540271057,4,1
1540274660,2,2
1540278248,0,1
1540281815,2,1
1540285454,0,1
1540289039,1,0
1540292644,3,0
1540296285,3,1
1540303464,1,1
1540307035,1,5
1540310656,1,0
1540314247,1,0
1540321453,5,1
1540325074,3,0
1540328656,1,0
1540332279,2,3
1540335849,2,2
1540339448,3,4
1540343061,2,0
1540346670,0,3
1540350253,1,2
1540353831,0,2
1540357467,5,1
1540361037,2,1
1540364662,2,2
1540368263,1,3
1540371822,0,2
1540375402,1,0
1540386210,4,0
1540389824,2,1
1540393432,3,1
1540397043,1,0
1540400647,5,0
1540404241,3,1
1540407886,5,0
1540411459,2,2
1540415059,4,1
1540418658,1,1
1540422269,2,2
1540425858,2,3
1540429456,1,2
1540433039,1,0
1540443868,0,1
1540447439,1,2
1540451052,1,1
1540454649,2,1
1540458246,0,1
1540461826,1,0
