DateTime,AddedIPs,RemovedIPs
1538665958,26,76
1538669564,57,59
1538673163,82,49
1538676759,112,78
1538680368,47,74
1538683960,61,66
1538687558,42,39
1538691163,44,75
1538694763,47,37
1538698352,54,43
1538701959,42,70
1538705563,57,60
1538709151,40,71
1538712751,32,41
1538716364,76,45
1538719954,66,36
1538723552,61,46
1538727152,39,53
1538730751,34,33
1538734360,35,58
1538737959,50,47
1538741561,46,46
1538745153,35,69
1538748761,57,73
1538752360,63,86
1538755967,62,67
1538759555,64,53
1538763152,64,60
1538766744,65,53
1538770350,37,58
1538773945,27,52
1538777543,30,65
1538781146,39,96
1538784739,43,78
1538788333,36,60
1538791930,61,148
1538795548,72,97
1538799128,50,58
1538802735,53,70
1538806331,48,53
1538809929,91,52
1538813533,40,61
1538817138,36,81
1538820737,31,46
1538824339,53,78
1538827932,81,56
1538831537,52,47
1538835153,61,68
1538838737,42,89
1538842336,37,69
1538845924,40,41
1538849530,73,45
1538853136,92,50
1538856735,51,78
1538860324,53,75
1538863924,47,110
1538867521,58,62
1538871125,90,93
1538874719,37,70
1538878313,32,124
1538881920,91,80
1538885520,37,88
1538889117,30,69
1538892714,75,62
1538896318,66,55
1538899913,49,57
1538903512,42,83
1538907113,31,83
1538910702,25,71
1538914302,50,85
1538917903,60,104
1538921506,25,75
1538925122,56,111
1538928695,34,115
1538932287,48,86
1538935898,57,103
1538939485,62,123
1538943082,57,124
1538946670,44,132
1538950277,26,114
1538953875,25,31
1538957477,47,53
1538961072,49,44
1538964678,36,37
1538968272,60,82
1538971877,36,73
1538975470,33,60
1538979077,60,44
1538982669,63,30
1538986295,58,28
1538989880,48,42
1538993475,46,60
1538997075,104,41
1539000673,67,70
1539004279,68,44
1539007885,43,55
1539011464,46,95
1539015070,38,63
1539018673,34,78
1539022275,26,40
1539025873,76,50
1539029479,74,31
1539033076,47,86
1539036678,36,69
1539040270,31,42
1539043871,35,69
1539047470,55,41
1539051058,62,49
1539054674,62,58
1539058270,43,55
1539061865,57,77
1539065474,44,54
1539069060,67,37
1539072670,93,55
1539076267,38,46
1539079876,38,63
1539083465,33,68
1539087056,36,65
1539090661,58,59
1539094268,125,54
1539097860,39,93
1539101467,65,89
1539105059,70,89
1539108693,484,53
1539112307,395,37
1539115922,261,47
1539119519,201,34
1539123131,120,59
1539126740,97,65
1539130331,74,36
1539133940,94,60
1539137533,80,39
1539141139,48,36
1539144740,80,71
1539148337,46,68
1539151933,45,47
1539155529,77,36
1539159137,72,36
1539162746,71,26
1539166345,42,45
1539169948,35,49
1539173552,40,37
1539177143,55,66
1539180736,49,47
1539184334,42,56
1539187930,55,75
1539191542,39,66
1539195148,38,62
1539198736,71,38
1539202345,57,38
1539205941,66,31
1539209538,39,32
1539213146,38,42
1539216752,31,40
1539220340,44,57
1539223943,45,41
