DateTime,Entries,UniqueIPs
1538665958,12320,12320
1538669564,12318,12318
1538673163,12351,12351
1538676759,12385,12385
1538680368,12358,12358
1538683960,12353,12353
1538687558,12356,12356
1538691163,12325,12325
1538694763,12335,12335
1538698352,12346,12346
1538701959,12318,12318
1538705563,12315,12315
1538709151,12284,12284
1538712751,12275,12275
1538716364,12306,12306
1538719954,12336,12336
1538723552,12351,12351
1538727152,12337,12337
1538730751,12338,12338
1538734360,12315,12315
1538737959,12318,12318
1538741561,12318,12318
1538745153,12284,12284
1538748761,12268,12268
1538752360,12245,12245
1538755967,12240,12240
1538759555,12251,12251
1538763152,12255,12255
1538766744,12267,12267
1538770350,12246,12246
1538773945,12221,12221
1538777543,12186,12186
1538781146,12129,12129
1538784739,12094,12094
1538788333,12070,12070
1538791930,11983,11983
1538795548,11958,11958
1538799128,11950,11950
1538802735,11933,11933
1538806331,11928,11928
1538809929,11967,11967
1538813533,11946,11946
1538817138,11901,11901
1538820737,11886,11886
1538824339,11861,11861
1538827932,11886,11886
1538831537,11891,11891
1538835153,11884,11884
1538838737,11837,11837
1538842336,11805,11805
1538845924,11804,11804
1538849530,11832,11832
1538853136,11874,11874
1538856735,11847,11847
1538860324,11825,11825
1538863924,11762,11762
1538867521,11758,11758
1538871125,11755,11755
1538874719,11722,11722
1538878313,11630,11630
1538881920,11641,11641
1538885520,11590,11590
1538889117,11551,11551
1538892714,11564,11564
1538896318,11575,11575
1538899913,11567,11567
1538903512,11526,11526
1538907113,11474,11474
1538910702,11428,11428
1538914302,11393,11393
1538917903,11349,11349
1538921506,11299,11299
1538925122,11244,11244
1538928695,11163,11163
1538932287,11125,11125
1538935898,11079,11079
1538939485,11018,11018
1538943082,10951,10951
1538946670,10863,10863
1538950277,10775,10775
1538953875,10769,10769
1538957477,10763,10763
1538961072,10768,10768
1538964678,10767,10767
1538968272,10745,10745
1538971877,10708,10708
1538975470,10681,10681
1538979077,10697,10697
1538982669,10730,10730
1538986295,10760,10760
1538989880,10766,10766
1538993475,10752,10752
1538997075,10815,10815
1539000673,10812,10812
1539004279,10836,10836
1539007885,10824,10824
1539011464,10775,10775
1539015070,10750,10750
1539018673,10706,10706
1539022275,10692,10692
1539025873,10718,10718
1539029479,10761,10761
1539033076,10722,10722
1539036678,10689,10689
1539040270,10678,10678
1539043871,10644,10644
1539047470,10658,10658
1539051058,10671,10671
1539054674,10675,10675
1539058270,10663,10663
1539061865,10643,10643
1539065474,10633,10633
1539069060,10663,10663
1539072670,10701,10701
1539076267,10693,10693
1539079876,10668,10668
1539083465,10633,10633
1539087056,10604,10604
1539090661,10603,10603
1539094268,10674,10674
1539097860,10620,10620
1539101467,10596,10596
