DateTime,AddedIPs,RemovedIPs
1538665941,18,53
1538669552,44,38
1538673171,67,32
1538676743,91,51
1538680350,29,55
1538683947,49,39
1538687565,31,24
1538691152,28,62
1538694751,41,29
1538698361,36,32
1538701946,33,58
1538705551,43,36
1538709162,31,50
1538712763,21,31
1538716352,72,39
1538719962,47,24
1538723561,44,35
1538727161,30,39
1538730759,29,23
1538734348,17,44
1538737947,40,37
1538741549,36,38
1538745160,14,56
1538748749,43,52
1538752354,48,64
1538755955,54,46
1538759564,49,40
1538763161,44,31
1538766755,48,30
1538770358,27,50
1538773955,19,26
1538777553,19,50
1538781133,32,79
1538784748,30,46
1538788341,25,45
1538791938,49,121
1538795564,61,71
1538799136,38,49
1538802750,47,54
1538806347,34,40
1538809937,78,31
1538813540,28,45
1538817153,28,56
1538820755,16,34
1538824354,33,55
1538827957,63,46
1538831564,30,30
1538835162,48,54
1538838755,24,66
1538842354,24,40
1538845935,24,28
1538849538,62,35
1538853144,72,29
1538856745,29,56
1538860335,42,58
1538863932,27,99
1538867530,38,56
1538871133,73,85
1538874731,18,59
1538878325,19,105
1538881926,71,55
1538885529,28,60
1538889133,21,48
1538892740,62,46
1538896327,48,40
1538899924,32,41
1538903520,36,62
1538907123,26,48
1538910715,13,56
1538914315,37,66
1538917910,37,56
1538921520,16,58
1538925130,45,82
1538928707,28,82
1538932313,37,54
1538935919,48,56
1538939510,39,69
1538943106,44,61
1538946714,36,78
1538950309,15,48
1538953908,22,23
1538957509,37,39
1538961101,34,30
1538964712,24,25
1538968304,47,77
1538971914,26,53
1538975511,31,47
1538979112,49,36
1538982711,41,23
1538986316,46,19
1538989915,39,39
1538993515,38,40
1538997104,85,14
1539000712,60,48
1539004310,55,36
1539007914,28,42
1539011495,37,85
1539015110,28,42
1539018706,30,52
1539022307,20,30
1539025910,69,26
1539029519,49,24
1539033108,28,68
1539036710,23,53
1539040307,24,18
1539043902,24,48
1539047506,40,28
1539051106,33,41
1539054704,41,43
1539058298,28,40
1539061895,44,67
1539065500,34,38
1539069094,52,30
1539072697,73,38
1539076296,25,27
1539079899,26,47
1539083493,26,35
1539087087,25,48
1539090693,48,39
1539094290,22,36
1539097875,26,71
1539101494,48,74
1539105087,46,61
1539108712,294,33
1539112329,238,28
1539115938,159,36
1539119541,112,22
1539123138,81,44
1539126748,66,43
1539130340,44,24
1539133948,71,47
1539137542,50,31
1539141148,31,27
1539144723,60,63
1539148325,35,48
1539151920,34,35
1539155535,56,28
1539159124,49,29
1539162731,51,16
1539166330,29,37
1539169936,30,39
1539173540,30,25
1539177130,40,54
1539180721,41,29
1539184321,29,37
1539187939,43,57
1539191530,26,41
1539195137,29,41
1539198744,48,26
1539202333,42,32
1539205948,51,20
1539209546,28,24
1539213135,29,35
1539216741,21,24
1539220347,30,46
1539223943,35,32
1539227545,23,33
1539231150,50,49
1539234752,31,37
1539238352,21,45
1539241943,27,38
1539245551,58,22
1539249157,59,59
1539252751,28,36
1539256342,24,51
1539259942,30,32
1539263531,24,45
1539267132,47,37
1539270732,16,23
1539274331,56,52
1539277941,43,67
1539281534,39,87
1539285136,28,32
1539288741,19,48
1539292346,41,37
1539295949,41,29
1539299537,17,43
1539303128,48,41
1539306739,21,24
1539310340,28,48
1539313953,54,38
1539317530,45,27
1539321146,44,70
1539324727,24,46
1539328311,24,43
1539331917,23,33
1539335510,37,34
1539339117,32,15
1539342728,104,43
1539346332,42,38
1539349920,20,15
1539353522,27,43
1539357118,49,57
1539360729,36,62
1539364335,53,61
1539367925,25,43
1539371530,31,53
1539375128,19,24
1539378732,26,30
1539382326,43,18
1539385940,24,30
1539389527,34,32
1539393125,68,21
1539396725,34,44
1539400330,26,62
1539403922,64,45
1539407515,27,48
1539411131,19,34
1539414709,13,72
1539418308,16,29
1539421915,11,32
1539425532,7,22
1539429103,2,27
1539432731,9,57
1539436314,4,24
1539439924,6,42
1539443504,29,32
1539447114,10,23
1539450708,8,27
1539454309,12,63
1539457904,17,75
1539461519,17,34
1539465108,15,41
1539468705,11,28
1539472294,13,37
1539475908,12,76
1539479506,13,21
1539483104,19,22
1539486696,16,72
1539490293,15,29
1539493886,16,28
1539497494,13,60
1539501073,7,48
1539504686,8,33
1539508292,16,30
1539511879,10,24
1539515494,11,15
1539519093,16,38
1539522692,18,37
1539526283,10,19
1539529883,13,42
1539533488,7,31
1539537073,16,28
1539540684,22,53
1539544287,16,39
1539547882,17,43
1539551489,13,29
1539555091,14,22
1539558691,10,17
1539562282,15,42
1539565873,14,47
1539569471,15,24
1539573069,14,52
1539576671,15,32
1539580271,11,37
1539583864,20,54
1539587461,11,51
1539591057,11,49
1539594649,20,32
1539598267,8,49
1539601857,18,75
1539605472,5,57
1539609055,12,55
1539612648,11,27
1539616247,15,42
1539619863,15,33
1539623455,11,38
1539627058,58,22
1539630654,42,67
1539634261,40,54
1539637866,18,31
1539641470,16,32
1539645070,33,25
1539648666,18,28
1539652260,11,41
1539655871,15,37
1539659464,16,43
1539663045,10,40
1539666651,14,55
1539670253,18,44
1539673853,95,58
1539677453,85,88
1539681055,57,36
1539684651,52,32
1539688241,26,38
