DateTime,AddedIPs,RemovedIPs
1538658305,5,9
1538661904,2,8
1538665500,7,6
1538669108,4,6
1538672725,5,5
1538676306,7,4
1538679905,2,12
1538683505,3,7
1538687116,1,4
1538690713,5,26
1538694322,2,0
1538697902,1,4
1538701505,1,2
1538705104,1,4
1538708714,3,7
1538712315,5,5
1538715907,4,6
1538719510,10,8
1538723107,4,14
1538726710,4,9
1538730310,8,5
1538733905,5,9
1538737517,10,10
1538741109,6,8
1538744709,9,12
1538748303,9,12
1538751912,8,7
1538755522,2,11
1538759115,3,8
1538762714,5,5
1538766307,4,2
1538769912,2,4
1538773507,6,6
1538777099,2,4
1538780702,2,3
1538784305,0,4
1538787908,2,3
1538791502,2,1
1538795120,1,4
1538798705,3,4
1538802313,3,19
1538805900,0,7
1538809501,4,8
1538813099,1,17
1538816709,8,5
1538820314,8,6
1538823911,2,8
1538827508,9,5
1538831109,3,7
1538834719,12,7
1538838314,7,3
1538841912,5,5
1538845507,2,4
1538849100,4,5
1538852707,6,8
1538856307,3,4
1538859901,2,4
1538863498,6,1
1538867104,2,4
1538870698,0,3
1538874313,0,3
1538877909,1,4
1538881501,0,4
1538885101,4,3
1538888709,4,9
1538892313,0,4
1538895911,5,4
1538899502,2,0
1538903102,3,7
1538906709,1,4
1538910301,2,7
1538913907,1,5
1538917496,6,3
1538921111,4,6
1538928299,12,5
1538931905,6,7
1538935513,4,3
1538939106,3,1
1538942705,1,4
1538946305,1,8
1538949908,3,5
1538953514,3,4
1538957105,1,5
1538960695,1,1
1538964309,1,2
1538967905,3,4
1538971506,2,6
1538975099,7,8
1538978710,5,3
1538982303,9,9
1538985904,12,7
1538989520,13,10
1538993113,12,9
1538996706,7,2
1539000312,3,8
1539003908,7,7
1539007506,3,7
1539011096,8,4
1539014712,2,3
1539018302,5,2
1539021907,3,5
1539025514,7,8
1539029100,2,7
1539032707,3,4
1539036305,1,2
1539039902,0,3
1539043500,13,3
1539047104,0,2
1539050763,2,3
1539054308,2,6
1539057900,4,3
1539061501,5,3
1539065102,2,10
1539068698,6,8
1539072292,0,7
1539075895,6,9
1539079501,5,10
1539083095,0,10
1539086697,4,12
1539090295,3,8
1539093896,2,11
1539097481,0,4
1539101099,0,6
1539104691,2,5
1539108302,3,11
1539111902,2,4
1539115500,0,2
1539119090,3,2
1539126301,4,8
1539129899,3,4
1539133504,1,3
1539137099,2,2
1539140697,3,3
1539144298,4,3
1539147890,3,9
1539151493,5,4
1539155090,3,2
1539158694,1,12
1539162293,3,6
1539165894,3,5
1539169498,3,12
1539173106,6,10
1539176689,5,8
1539180294,7,9
1539183882,7,8
1539187486,3,8
1539191092,4,11
1539194696,3,3
1539198299,5,9
1539201897,0,4
1539205494,1,4
1539209101,2,5
1539212698,4,10
1539216300,0,7
1539219893,15,2
1539223499,2,3
1539227100,2,3
1539230695,1,3
1539234293,6,5
1539237899,8,7
1539241495,6,6
1539245091,6,7
1539248703,5,6
1539252306,12,6
1539255906,3,17
1539259501,3,6
1539263094,10,8
1539266694,4,3
1539270293,6,7
1539273896,3,4
1539277491,5,7
1539281099,2,7
1539284694,5,2
1539288299,4,2
1539291900,2,2
1539295501,3,6
1539299088,0,3
