DateTime,AddedIPs,RemovedIPs
1538730962,83,97
1538732883,152,103
1538734803,65,65
1538738642,79,68
1538744413,81,66
1538746323,74,109
1538750402,90,77
1538754243,99,73
1538758322,87,104
1538762163,96,81
1538764084,108,65
1538767922,94,98
1538771762,89,97
1538775602,72,111
1538781362,74,116
1538783283,86,109
1538787122,52,88
1538790963,79,74
1538794816,72,97
1538796723,87,106
1538800562,85,87
1538802483,81,72
1538806323,77,51
1538812084,85,67
1538814003,92,71
1538819763,94,67
1538823615,111,63
1538825523,86,76
1538829362,79,94
1538833443,100,73
1538837282,66,61
1538841123,89,89
1538844963,84,93
1538848818,92,72
1538850724,71,1791
1538852642,1722,0
1538854562,108,74
1538858403,78,112
1538860322,83,106
1538862244,106,83
1538864163,108,167
1538869922,80,99
1538874015,52,89
1538875922,74,79
1538880002,71,92
1538883843,83,100
1538887682,75,78
1538891522,83,77
1538895363,65,57
1538899215,79,58
1538903042,79,56
1538904963,94,63
1538908802,101,61
1538912644,108,82
1538916482,99,80
1538920322,81,88
1538922242,75,80
1538928017,98,70
1538929922,105,87
1538933762,87,95
1538937844,109,83
1538941682,87,97
1538943602,74,113
1538945522,113,74
1538947442,97,193
1538953214,50,113
1538955123,108,101
1538957042,50,76
1538963762,71,66
1538967618,80,101
1538969523,90,108
1538971442,79,98
1538977202,93,78
1538981043,82,57
1538984882,83,54
1538988722,86,77
1538992562,74,53
1538996447,59,72
1538998322,72,74
1539002163,84,61
1539006005,74,62
1539007922,86,84
1539013682,95,71
1539017522,84,80
1539021362,102,81
1539023282,449,566
1539025219,593,454
1539027122,107,94
1539029043,94,107
1539030962,107,94
1539033363,83,114
1539035283,84,92
1539039123,61,130
1539042963,97,120
1539044882,120,97
1539046818,128,168
1539048723,82,82
1539052562,96,106
1539056403,85,98
1539062164,80,95
1539064083,82,80
1539068162,90,62
1539072242,88,62
1539074164,102,80
1539078002,68,75
1539079923,60,79
1539085682,83,61
1539089522,57,77
1539093612,88,70
1539095522,70,76
1539101522,78,94
1539103444,94,85
1539107282,102,105
1539111123,108,91
1539116883,107,74
1539118816,84,101
1539120722,76,117
1539124563,76,142
1539128402,120,123
1539132245,62,92
1539136083,91,73
1539139923,72,94
1539143763,94,106
1539147615,68,92
1539149523,27,4341
1539151443,4340,0
1539153363,87,70
1539157202,86,73
1539161043,59,72
1539162962,68,54
1539168722,77,60
1539172562,79,80
1539176412,86,64
1539178323,73,76
1539182403,75,74
1539184323,85,63
1539188643,264,379
1539190562,422,281
1539194417,107,83
1539196323,96,80
1539200162,117,102
1539204003,105,101
1539207843,81,129
1539211682,66,146
1539217443,104,110
1539219619,58,99
1539221523,89,78
1539225362,87,105
1539231123,165,179
1539236883,104,67
1539242642,83,71
1539244563,68,83
1539248414,89,70
1539250323,79,61
1539254162,68,57
1539258003,69,71
1539262563,77,70
1539266418,99,82
1539268323,84,77
1539270242,80,86
1539276244,108,57
1539280082,92,82
1539283922,105,86
1539287763,93,88
1539291615,82,117
1539293522,74,105
1539297362,58,123
1539301202,101,106
1539303123,56,95
1539308882,73,80
1539312722,82,93
1539316563,90,110
1539320415,85,94
1539322323,101,66
1539326162,103,73
1539330002,89,72
1539334082,92,74
1539337922,79,65
1539341763,71,60
1539345622,80,57
1539347522,58,64
1539353282,90,77
1539355203,76,76
1539359282,89,71
1539363124,87,71
1539366963,99,85
1539368883,85,99
1539370816,99,85
1539372723,157,134
1539376562,96,96
1539380402,70,118
1539384244,69,100
1539388322,99,94
1539392163,62,90
1539394083,90,62
1539396015,62,90
1539397923,138,153
1539401763,95,120
1539405602,72,89
1539409445,95,71
1539413283,73,70
1539417122,90,48
1539420963,77,61
1539426722,141,130
1539430563,88,80
1539436322,86,75
1539438243,97,80
1539442082,79,83
1539446162,92,76
1539450016,82,85
1539451922,83,82
1539455762,84,82
1539459603,80,86
1539463444,78,88
1539467282,84,79
1539471122,53,110
1539474962,90,99
1539478811,54,85
1539480722,81,90
1539484562,69,90
1539486483,88,105
1539492243,67,93
1539496082,98,81
1539499922,77,50
1539501842,71,50
1539505923,78,56
1539509762,82,51
1539513602,90,60
1539517443,94,79
1539521282,76,71
1539523203,64,66
1539528963,71,63
1539532808,94,95
1539534724,107,71
1539538562,102,89
1539542402,105,85
1539546243,96,94
1539550082,80,105
1539553922,79,102
1539557763,66,126
1539561616,88,124
1539563523,59,90
1539567362,79,76
1539571202,65,94
1539575044,97,106
1539578885,93,94
1539582722,97,76
1539586563,99,74
1539590414,83,66
1539592562,76,67
1539596403,82,54
1539600245,68,53
1539604083,70,69
1539607923,81,72
1539611763,82,85
1539615613,80,85
1539617522,87,81
1539621603,99,78
1539625444,105,91
1539629522,96,79
1539633362,120,93
1539635286,85,121
1539641283,79,95
1539645122,65,128
1539647045,84,115
1539648963,57,82
1539650882,82,57
1539652803,57,82
1539654722,64,68
1539658562,79,86
1539662414,93,103
1539664322,82,97
1539668162,103,69
1539672002,95,61
1539675844,86,77
1539679682,74,69
1539683522,65,59
1539685442,85,59
1539691214,82,66
1539693123,74,56
1539696963,65,82
1539700803,64,73
1539704884,79,83
1539709215,103,62
1539711122,89,73
1539717123,114,75
1539719043,91,89
1539720962,89,91
1539722885,153,168
1539726963,84,125
1539731042,68,109
1539732962,89,124
1539736803,67,72
1539740643,76,77
1539742572,87,95
1539748322,89,129
1539750243,208,160
1539752162,208,258
1539756015,89,87
1539757923,168,150
1539759842,85,63
1539761762,82,65
1539765602,71,63
1539767523,72,52
1539773523,81,57
1539777363,77,49
1539781215,67,75
1539783122,71,69
1539786962,71,78
1539788883,78,71
1539791044,121,127
1539794882,95,78
1539798722,103,85
1539800643,106,86
1539804482,109,92
1539808323,86,78
1539810482,64,132
1539816244,74,125
1539820082,98,126
1539823922,55,93
1539827763,85,59
1539829923,77,99
1539831842,94,106
1539837602,89,100
1539841684,98,72
1539845523,88,60
1539849364,86,67
1539853215,77,74
1539855122,83,58
1539859203,59,64
1539863282,63,67
1539867122,75,60
1539870962,85,69
1539874812,66,75
1539876723,71,78
1539882723,84,78
1539884643,112,79
1539888486,91,81
1539892322,112,99
1539896162,88,115
1539901923,90,125
1539903842,83,125
1539906003,86,114
1539912003,115,130
1539917763,74,106
1539923522,164,187
1539925442,94,77
1539931202,92,85
1539935043,79,61
1539938883,96,76
1539942723,76,51
1539944642,76,59
1539950882,111,113
1539956643,80,60
1539960482,71,69
1539964565,81,88
1539966723,94,61
1539968642,61,94
1539970562,166,118
1539974402,92,86
1539976323,206,255
1539978243,279,239
1539982082,81,92
1539984005,77,99
1539989763,69,89
1539993614,80,116
1539995523,63,99
1539999363,73,76
1540003203,80,90
1540007043,90,107
1540011123,72,97
1540014963,94,70
1540017123,68,62
1540020962,66,52
1540024802,109,56
1540028643,72,72
1540032482,86,58
1540036324,93,76
1540040163,81,83
1540044014,91,91
1540045922,90,76
1540049762,84,83
1540053602,81,90
1540057444,95,77
1540061283,88,71
1540063203,87,85
1540068964,83,97
1540072816,65,105
1540074723,61,103
1540076643,90,92
1540082403,44,95
1540084323,0,3
1540086242,73,81
1540090082,77,91
1540093923,98,91
1540097763,82,77
1540101612,75,68
1540103523,57,54
1540107843,62,75
1540111682,83,58
1540115764,123,46
1540119612,89,79
1540121523,87,68
1540125362,88,73
1540129682,91,61
1540133523,71,80
1540135443,80,71
1540137363,136,116
1540139763,96,71
1540143602,85,83
1540147444,104,94
1540151282,92,92
1540155124,95,118
1540158963,83,122
1540162810,75,136
1540166642,86,124
1540168562,61,72
1540172403,67,80
1540176242,81,91
1540180082,83,95
1540183923,90,82
1540187763,82,90
1540189682,90,82
1540191606,160,144
1540193523,71,59
1540197362,78,63
1540201682,47,56
1540205523,74,51
1540209612,85,53
1540211523,93,68
1540215363,75,71
1540219202,69,82
1540223043,84,87
1540226882,121,77
1540230723,94,89
1540236482,97,85
1540238415,103,105
1540242243,84,102
1540244163,84,123
1540248002,61,129
1540251843,101,109
1540255683,54,96
1540259523,81,82
1540263363,81,90
1540265523,90,108
1540269363,83,91
1540273202,86,84
1540277043,96,77
1540278963,70,77
1540283042,575,388
1540284962,401,562
1540288807,71,46
1540290723,60,65
1540294563,90,62
1540298402,61,65
1540304163,78,67
1540308004,71,70
1540309922,103,73
1540311842,89,76
1540315923,111,81
1540321683,96,88
1540323602,111,86
1540329363,101,111
1540331283,76,123
1540337042,74,122
1540338963,91,105
1540340883,67,96
1540344723,77,83
1540346884,70,106
1540352643,93,99
1540356483,97,95
1540361044,84,71
1540362962,71,58
1540367042,81,61
1540371122,62,59
1540374963,75,76
1540379045,89,62
1540381203,59,58
1540385042,84,66
1540389123,72,71
1540391043,74,66
1540396816,91,97
1540398723,107,76
1540400644,110,78
1540406403,100,87
1540410242,94,96
1540414082,76,90
1540417922,76,113
1540422015,70,111
1540423922,87,121
1540428002,68,78
1540431842,77,75
1540435922,75,77
1540437843,194,226
1540441923,87,93
1540446002,101,83
1540449843,79,76
1540453682,83,67
1540457522,75,63
1540461362,65,64
