DateTime,Entries,UniqueIPs
1538730962,6219,6219
1538732883,6268,6268
1538734803,6268,6268
1538738642,6279,6279
1538744413,6294,6294
1538746323,6259,6259
1538750402,6272,6272
1538754243,6298,6298
1538758322,6281,6281
1538762163,6296,6296
1538764084,6339,6339
1538767922,6335,6335
1538771762,6327,6327
1538775602,6288,6288
1538781362,6246,6246
1538783283,6223,6223
1538787122,6187,6187
1538790963,6192,6192
1538794816,6167,6167
1538796723,6148,6148
1538800562,6146,6146
1538802483,6155,6155
1538806323,6181,6181
1538812084,6199,6199
1538814003,6220,6220
1538819763,6247,6247
1538823615,6295,6295
1538825523,6305,6305
1538829362,6290,6290
1538833443,6317,6317
1538837282,6322,6322
1538841123,6322,6322
1538844963,6313,6313
1538848818,6333,6333
1538850724,4613,4613
1538852642,6335,6335
1538854562,6369,6369
1538858403,6335,6335
1538860322,6312,6312
1538862244,6335,6335
1538864163,6276,6276
1538869922,6257,6257
1538874015,6220,6220
1538875922,6215,6215
1538880002,6194,6194
1538883843,6177,6177
1538887682,6174,6174
1538891522,6180,6180
1538895363,6188,6188
1538899215,6209,6209
1538903042,6232,6232
1538904963,6263,6263
1538908802,6303,6303
1538912644,6329,6329
1538916482,6348,6348
1538920322,6341,6341
1538922242,6336,6336
1538928017,6364,6364
1538929922,6382,6382
1538933762,6374,6374
1538937844,6400,6400
1538941682,6390,6390
1538943602,6351,6351
1538945522,6390,6390
1538947442,6294,6294
1538953214,6231,6231
1538955123,6238,6238
1538957042,6212,6212
1538963762,6217,6217
1538967618,6196,6196
1538969523,6178,6178
1538971442,6159,6159
1538977202,6174,6174
1538981043,6199,6199
1538984882,6228,6228
1538988722,6237,6237
1538992562,6258,6258
1538996447,6245,6245
1538998322,6243,6243
1539002163,6266,6266
1539006005,6278,6278
1539007922,6280,6280
1539013682,6304,6304
1539017522,6308,6308
1539021362,6329,6329
1539023282,6212,6212
1539025219,6351,6351
1539027122,6364,6364
1539029043,6351,6351
1539030962,6364,6364
1539033363,6333,6333
1539035283,6325,6325
1539039123,6256,6256
1539042963,6233,6233
1539044882,6256,6256
1539046818,6216,6216
1539048723,6216,6216
1539052562,6206,6206
1539056403,6193,6193
1539062164,6178,6178
1539064083,6180,6180
1539068162,6208,6208
1539072242,6234,6234
1539074164,6256,6256
1539078002,6249,6249
