DateTime,Entries,UniqueIPs
1539901231,702181,746171
1539901833,702185,746175
1539902434,702186,746176
1539902729,702187,746177
1539903326,702204,746194
1539903637,702207,746197
1539905433,702222,746212
1539906034,702256,746247
1539906637,702257,746248
1539907230,702258,746249
1539910536,702270,746261
1539912936,702273,746264
1539916535,702278,746269
1539917735,702285,746276
1539921935,702285,746277
1539923131,702286,746278
1539924026,702291,746283
1539929128,702308,746302
1539929729,702333,746327
1539930629,702334,746328
1539931232,702339,746333
1539932127,702343,746337
1539932727,702346,746340
1539933932,702347,746341
1539934529,702348,746342
1539935435,702350,746344
1539936035,702354,746348
1539937833,702357,746351
1539940236,702360,746354
1539947130,702361,746355
1539947735,702356,746349
1539948035,702353,746346
1539948936,702354,746347
1539953738,702365,746358
1539954637,702366,746359
1539957037,702367,746360
1539959735,702373,746366
1539961529,702381,746374
1539961834,702392,746387
1539962434,702408,746406
1539963328,702404,746401
1539963937,702403,746400
1539965737,702404,746402
1539967536,702405,746403
1539968733,702413,746411
1539970530,702427,746425
1539971431,702429,746427
1539972331,702430,746428
1539972931,702432,746430
1539973836,702440,746438
1539974436,702441,746439
1539974736,702442,746441
1539975334,702443,746442
1539976230,702444,746443
1539976832,702445,746444
1539977134,702446,746445
1539977731,702447,746446
1539978332,702522,746541
1539978637,702728,746756
1539979232,702879,746921
1539979536,702881,746923
1539981033,703000,747057
1539981336,703168,747238
1539981933,703197,747268
1539984333,703198,747269
1539988235,703201,747273
1539990931,703203,747275
1539993931,703206,747278
1539994528,703208,747280
1539995430,703210,747282
1539996029,703218,747290
1539996330,703331,747409
1540002334,703340,747418
1540003533,703343,747421
1540007727,703344,747422
1540008029,703345,747423
1540009835,703346,747424
1540010130,703367,747446
1540011329,703378,747457
1540012232,703388,747468
1540013727,703398,747481
1540014632,703400,747483
1540015526,703401,747484
1540017636,703403,747487
1540019431,703404,747488
1540020331,703412,747496
1540022729,703413,747497
1540023332,703414,747498
1540024828,703416,747500
1540027528,703422,747508
1540029932,703427,747513
1540031430,703435,747522
1540032927,703437,747524
1540037128,703441,747529
1540039832,703436,747524
