DateTime,AddedIPs,RemovedIPs
1535076026,379,0
1535076329,192,0
1535076929,399,0
1535077235,203,0
1535077833,398,0
1535078433,399,0
1535079031,395,0
1535079334,196,0
1535079631,202,0
1535079935,193,0
1535080232,202,0
1535080531,199,0
1535080831,191,0
1535081133,191,0
1535081433,194,0
1535082031,400,0
1535082333,199,0
1535082926,398,0
1535083229,201,0
1535083530,197,0
1535084127,397,0
1535084430,196,0
1535085025,362,0
1535085329,195,0
1535085626,201,0
1535085929,200,0
1535086233,196,0
1535086528,199,0
1535086832,194,0
1535087132,195,0
1535087430,196,0
1535088033,393,0
1535088330,195,0
1535088627,196,0
1535088929,188,0
1535089232,196,0
1535089830,393,0
1535090133,192,0
1535090433,198,0
1535090731,182,0
1535091036,191,0
1535091333,198,0
1535091634,190,0
1535091934,191,0
1535092227,192,0
1535092832,387,0
1535093131,194,0
1535093436,198,0
1535093731,193,0
1535094028,188,0
1535094332,192,0
1535094629,195,0
1535094933,193,0
1535095232,191,0
1535095529,190,0
1535095834,190,0
1535096128,186,0
1535096433,184,0
1535096731,186,0
1535097027,184,0
1535097327,183,0
1535097633,190,0
1535098227,385,0
1535098528,186,0
1535098830,187,0
1535099429,376,0
1535100030,374,0
1535100332,185,0
1535100630,189,0
1535100932,188,0
1535101228,186,0
1535101528,187,0
1535101830,184,0
1535102431,374,0
1535102732,183,0
1535103030,182,0
1535103326,186,0
1535103631,185,0
1535104233,368,0
1535104534,183,0
1535104832,183,0
1535105133,175,0
1535105732,368,0
1535106332,376,0
1535106632,184,0
1535106933,186,0
1535107231,199,0
1535107528,207,0
1535107827,203,0
1535108130,204,0
1535108426,203,0
1535109031,408,0
1535109330,206,0
1535109633,203,0
1535109926,206,0
1535110227,204,0
1535110533,201,0
1535110828,202,0
1535111130,203,0
1535111427,204,0
1535112030,383,0
1535112330,198,0
1535112632,207,0
1535112924,209,0
1535113525,410,0
1535113825,205,0
1535114130,204,0
1535114428,197,0
1535114731,206,0
1535115031,202,0
1535115331,201,0
1535115633,201,0
1535115933,203,0
1535116232,201,0
1535116529,204,0
1535116828,205,0
1535117433,403,0
1535117731,205,0
1535118033,207,0
1535118932,613,0
1535119229,208,0
1535119534,199,0
1535119825,199,0
1535120133,200,0
1535120427,207,0
1535120726,194,0
1535121324,413,0
1535121625,200,0
1535122224,400,0
1535122825,401,0
1535123124,196,0
1535123724,372,0
1535124025,186,0
1535124625,398,0
1535124928,194,0
1535125225,202,0
1535125825,406,0
1535126128,203,0
1535126426,196,0
1535126729,203,0
1535127025,207,0
1535127327,207,0
1535127629,200,0
1535127930,203,0
1535128226,201,0
1535128530,202,0
1535128826,206,0
1535129125,207,0
1535129732,403,0
1535130026,202,0
1535130628,401,0
1535131224,401,0
1535131829,404,0
1535132130,201,0
1535132726,409,0
1535133032,203,0
1535133326,201,0
1535133633,202,0
1535133933,200,0
1535134231,198,0
1535134531,200,0
1535134827,198,0
1535135132,199,0
1535135730,395,0
1535136032,197,0
1535136934,591,0
1535137231,201,0
1535137535,201,0
1535138133,393,0
1535138428,200,0
1535139033,398,0
1535139630,392,0
1535139933,197,0
1535140231,198,0
1535140536,196,0
1535140835,191,0
1535141435,379,0
1535141735,202,0
1535142032,200,0
1535142336,202,0
1535142629,190,0
1535142928,172,0
1535143535,340,0
1535144135,386,0
1535144734,390,0
1535145333,399,0
1535145638,202,0
1535145938,199,0
1535146230,204,0
1535146534,201,0
1535146835,199,0
1535147131,203,0
1535147435,198,0
1535147730,200,0
1535148037,204,0
1535148936,181,0
1535149228,370,0
1535149530,197,0
1535149830,199,0
1535151032,790,0
1535151631,387,0
1535152235,382,0
1535152836,400,0
1535153434,325,0
1535153733,177,0
1535154332,399,0
1535154935,395,0
1535155237,199,0
1535155836,394,0
1535156135,197,0
1535156736,392,0
1535157037,190,0
1535157335,197,0
1535157635,197,0
1535157936,199,0
1535158237,201,0
1535158534,200,0
1535158834,202,0
1535159434,390,0
1535159734,196,0
1535160034,199,0
1535160633,403,0
1535160931,202,0
1535161232,201,0
1535161535,199,0
1535161832,200,0
1535162134,194,0
1535162433,191,0
1535162731,199,0
1535163037,187,0
1535163335,186,0
1535163635,172,0
1535164535,586,0
1535164835,189,0
1535165135,197,0
1535165435,199,0
1535166036,399,0
1535166335,190,0
1535166933,390,0
1535167234,198,0
1535167833,390,0
1535168435,394,0
1535168735,200,0
1535169335,397,0
1535169634,199,0
1535170234,390,0
1535170532,196,0
1535170836,196,0
1535171136,196,0
1535171433,173,0
1535171726,198,0
1535172329,383,0
1535172624,187,0
1535173232,387,0
1535173533,190,0
1535174132,387,0
1535174431,193,0
1535175031,381,0
1535175333,192,0
1535175636,199,0
1535176235,392,0
1535176534,196,0
1535176833,194,0
1535177131,168,0
1535177428,197,0
1535178030,401,0
1535178337,201,0
1535178630,199,0
1535178928,199,0
1535179233,201,0
1535179834,401,0
1535180131,208,0
1535180435,208,0
1535180732,208,0
1535181035,205,0
1535181332,204,0
1535181636,205,0
1535181931,205,0
1535182235,204,0
1535182833,399,0
1535183135,202,0
1535183433,203,0
1535183728,205,0
1535184031,202,0
1535184626,400,0
1535185226,410,0
1535185529,203,0
1535185830,202,0
1535186126,199,0
1535186428,202,0
1535186728,200,0
1535187028,196,0
1535187632,404,0
1535187928,203,0
1535188530,409,0
1535188832,204,0
1535189431,402,0
1535190027,403,0
1535190333,201,0
1535190927,397,0
1535191527,393,0
1535191831,200,0
1535192431,395,0
1535192734,204,0
1535193033,192,0
1535193327,174,0
1535193630,181,0
1535194234,371,0
1535194530,200,0
1535194829,200,0
1535195427,399,0
1535195730,200,0
1535196029,201,0
1535196330,204,0
1535196631,204,0
1535196931,194,0
1535197226,197,0
1535197527,196,0
1535198129,392,0
1535198430,202,0
1535199035,397,0
1535199630,370,0
1535199927,196,0
1535200231,197,0
1535200528,199,0
1535201135,396,0
1535201426,200,0
1535202036,366,0
1535202333,181,0
1535202629,180,0
1535202928,179,0
1535203231,179,0
1535203832,383,0
1535204134,197,0
1535204432,193,0
1535205026,397,0
1535205330,203,0
1535205631,203,0
1535205931,200,0
1535206232,193,0
1535206831,396,0
1535207132,195,0
1535207731,382,0
1535208030,200,0
1535208629,403,0
1535209228,388,0
1535209531,192,0
1535210131,390,0
1535210734,385,0
1535211036,193,0
1535211634,382,0
1535211933,189,0
1535212529,388,0
1535212832,196,0
1535213431,389,0
1535214032,389,0
1535214631,387,0
1535214935,191,0
1535215238,197,0
1535215528,196,0
1535215835,195,0
1535216129,194,0
1535216433,186,0
1535216732,193,0
1535217333,388,0
1535217638,194,0
1535218535,575,0
1535218833,191,0
1535219732,577,0
1535220028,195,0
1535220629,381,0
1535220932,192,0
1535221236,190,0
1535221534,192,0
1535221827,184,0
1535222128,184,0
1535223331,755,0
1535223633,188,0
1535224226,377,0
1535224527,194,0
1535224826,201,0
1535225128,198,0
1535225427,201,0
1535225725,198,0
1535226028,188,0
1535226328,198,0
1535226630,196,0
1535227230,383,0
1535227528,192,0
1535228127,385,0
1535228426,199,0
1535229029,401,0
1535229636,402,0
1535229927,201,0
1535230233,198,0
1535230528,202,0
1535230828,200,0
1535231134,200,0
1535231434,200,0
1535232035,405,0
1535232335,197,0
1535232635,201,0
1535232935,196,0
1535233230,194,0
1535233834,395,0
1535234132,204,0
1535234431,199,0
1535234733,82,0
1535235331,75,0
1535235632,378,0
1535235932,201,0
1535236231,198,0
1535236835,392,0
1535237135,197,0
1535237736,385,0
1535238335,395,0
1535238635,196,0
1535238934,199,0
1535239236,198,0
1535239532,197,0
1535239829,198,0
1535240129,197,0
1535240430,198,0
1535240725,199,0
1535241031,196,0
1535241635,393,0
1535241933,199,0
1535242233,197,0
1535242535,197,0
1535242833,200,0
1535243433,392,0
1535243735,197,0
1535244029,198,0
1535244335,196,0
1535244636,197,0
1535244935,195,0
1535245232,201,0
1535245533,198,0
1535245835,193,0
1535246135,196,0
1535246434,199,0
1535246735,196,0
1535247333,391,0
1535247935,390,0
1535248228,195,0
1535248527,198,0
1535248835,196,0
1535249135,196,0
1535249435,184,0
1535249732,183,0
1535250035,182,0
1535250335,173,0
1535250632,173,0
1535250935,181,0
1535251235,180,0
1535251535,195,0
1535251836,195,0
1535252131,192,0
1535252435,191,0
1535252734,193,0
1535253034,200,0
1535253335,198,0
1535253635,196,0
1535254236,394,0
1535254534,197,0
1535254834,195,0
1535255134,198,0
1535255428,199,0
1535255735,196,0
1535256036,196,0
1535256334,194,0
1535256630,197,0
1535257235,395,0
1535257535,193,0
1535257831,172,0
1535258127,194,0
1535258431,196,0
1535259029,384,0
1535259326,194,0
1535259625,193,0
1535259924,194,0
1535260231,197,0
1535260528,194,0
1535260828,187,0
1535261133,187,0
1535261430,181,0
1535261727,187,0
1535262033,192,0
1535262628,386,0
1535263236,379,0
1535263532,82,0
1536144035,0,1
1537793433,0,1
1537815928,0,1
1538447732,0,1
1538684415,0,1
1539197134,0,1
1539200136,0,1
1539349232,0,1
1540305634,0,1
