DateTime,AddedIPs,RemovedIPs
1538771115,10,0
1538771713,16,0
1538772015,3,0
1538772614,12,0
1538773216,23,0
1538773514,9,0
1538773813,7,0
1538774113,6,0
1538774414,7,0
1538774714,7,0
1538775016,7,0
1538775613,14,0
1538775915,6,0
1538776514,13,0
1538776818,8,0
1538777414,2,0
1538777713,20,0
1538778014,3,0
1538778313,10,0
1538778615,9,0
1538778914,5,0
1538779213,4,0
1538779815,20,0
1538780416,17,0
1538780714,6,0
1538781314,21,0
1538781614,9,0
1538782214,23,0
1538782513,5,0
1538782815,9,0
1538783114,11,0
1538783713,9,0
1538784313,16,1
1538784616,7,0
1538785214,15,0
1538785515,6,0
1538786113,20,0
1538786414,7,0
1538787016,20,0
1538787614,15,0
1538787913,9,1
1538788513,14,0
1538789114,11,0
1538789416,11,0
1538790014,12,0
1538790313,6,0
1538790913,15,0
1538791216,8,0
1538791814,10,0
1538792115,10,0
1538792415,10,0
1538792713,7,0
1538793312,10,0
1538793615,6,0
1538794214,14,0
1538794814,20,0
1538795113,11,0
1538795713,8,0
1538796014,6,0
1538796615,14,0
1538797213,15,0
1538797513,9,0
1538798113,11,0
1538798414,11,0
1538799013,19,0
1538799614,17,0
1538799914,10,0
1538800514,15,0
1538800814,6,0
1538801414,18,0
1538801714,7,0
1538802016,11,0
1538802313,7,0
1538802913,13,0
1538803214,3,0
1538803815,13,0
1538804413,16,0
1538804715,6,0
1538805314,15,0
1538805614,6,0
1538806213,18,0
1538806814,10,0
1538807116,6,0
1538807714,12,0
1538808014,7,0
1538808615,14,0
1538809215,18,0
1538809513,7,0
1538810115,11,0
1538810414,8,0
1538811017,18,0
1538811614,19,0
1538811914,8,0
1538812513,14,0
1538812816,5,0
1538813414,10,0
1538814014,14,0
1538814313,11,0
1538814914,16,0
1538815214,10,0
1538815813,23,0
1538816415,13,0
1538816714,3,0
1538817314,14,0
1538817614,6,0
1538818215,19,0
1538818814,12,0
1538819113,6,0
1538819713,15,0
1538820314,14,0
1538820615,8,0
1538820913,4,0
1538821215,10,0
1538821513,5,0
1538821821,2,0
1538822113,5,0
1538822413,4,0
1538822714,10,0
1538823016,9,0
1538823314,8,0
1538823615,13,0
1538823914,9,0
1538824514,15,0
1538824814,7,0
1538825415,17,0
1538826014,18,0
1538826313,7,0
1538826915,21,0
1538827514,21,0
1538827814,11,0
1538828414,18,0
1538828714,2,0
1538829313,23,0
1538829614,15,0
1538830214,12,0
1538830515,11,0
1538830815,7,0
1538831114,11,0
1538831713,15,0
1538832014,7,0
1538832913,24,0
1538833216,5,0
1538833814,12,0
1538834415,18,0
1538834714,8,0
