DateTime,AddedIPs,RemovedIPs
1533609331,1,0
1533609632,2,0
1533610832,2,0
1533611431,1,0
1533611731,2,0
1533612931,1,0
1533613226,1,0
1533613527,1,0
1533614126,1,0
1533615624,3,0
1533615926,2,0
1533616829,3,0
1533617427,3,0
1533618031,4,0
1533618321,1,0
1533618631,1,0
1533618930,2,0
1533619228,1,0
1533620127,1,0
1533620725,1,0
1533621030,1,0
1533622232,1,0
1533622531,1,0
1533622831,1,0
1533623430,2,0
1533624331,2,0
1533624926,1,0
1533625229,1,0
1533625529,1,0
1533626731,3,0
1533628527,1,0
1533629431,4,0
1533629731,2,0
1533630331,1,0
1533630926,1,0
1533631530,2,0
1533631831,3,0
1533632127,1,0
1533632428,1,0
1533632729,1,0
1533633631,5,0
1533634231,3,0
1533634832,1,0
1533635429,2,0
1533635727,2,0
1533636028,2,0
1533636629,2,0
1533637224,2,0
1533637526,1,0
1533637830,3,0
1533638123,2,0
1533639023,1,0
1533639622,1,0
1533640224,2,0
1533640525,2,0
1533642021,1,0
1533643222,2,0
1533643821,4,0
1533644722,2,0
1533645021,1,0
1533645623,2,0
1533645923,2,0
1533646223,1,0
1533646524,2,0
1533647122,3,0
1533648021,1,0
1533649821,1,0
1533650425,1,0
1533650722,1,0
1533651023,2,0
1533655223,6,0
1533655821,2,0
1533656721,1,0
1533657031,2,0
1533657625,1,0
1533658525,16,0
1533658825,3,0
1533659425,1,0
1533660026,1,0
1533660326,1,0
1533660625,1,0
1533661225,1,0
1533662129,1,0
1533662429,1,0
1533662731,1,0
1533663629,2,0
1533664528,3,0
1533668731,262,0
1533675024,99,0
1533676225,0,2
1533680131,2,0
1533687024,16,0
1533715822,6,0
1533727521,0,1
1533744628,18,0
1533773432,22,0
1533802231,28,0
1533831030,14,0
1533852927,1,0
1533859831,13,0
1533888627,16,0
1533908723,1,0
1533917430,21,0
1533939321,2,0
1533946231,22,0
1533975024,11,0
1533978930,1,0
1534003827,15,0
1534032632,21,0
1534061431,11,0
1534083029,1,0
1534090227,15,0
1534112132,4,0
1534119031,24,0
1534140627,2,0
1534148127,15,0
1534151131,0,0
1534161629,0,1
1534176929,21,0
1534182632,0,1
1534205431,12,0
1534224624,3,0
1534226127,1,0
1534234223,9,0
1534291832,22,0
1534320624,13,0
1534349426,14,0
1534378224,9,0
1534391425,8,0
1534407029,6,0
1534422031,1,0
1534435832,18,0
1534464628,15,0
