DateTime,AddedIPs,RemovedIPs
1535308216,256,256
1535322633,256,256
1535329833,512,512
1535381444,1024,1024
1535386503,256,256
1535387426,256,256
1535394632,256,256
1535398588,256,256
1535409026,256,256
1535477913,1536,1536
1535479222,256,256
1535488220,256,256
1535502634,256,256
1535549419,1280,1280
1535676338,2816,2816
1535677555,512,512
1535679012,256,256
1535680993,768,768
1535682607,512,512
1535684694,256,256
1535686207,256,256
1535688246,256,256
1535689811,256,256
1535692502,768,768
1535693406,256,256
1535695204,512,512
1535697008,1024,1024
1535698804,512,512
1535700608,1024,1024
1535701577,768,768
1535704980,512,512
1535706903,768,768
1535707805,256,256
1535710504,256,256
1535711409,256,256
1535712387,512,512
1535715010,768,768
1535716903,768,768
1535718610,2304,2304
1535720410,256,256
1535722205,256,256
1535723524,256,256
1535725805,512,512
1535727221,256,256
1535729411,512,512
1535731205,256,256
1535733007,256,256
1535734909,512,512
1535736608,512,512
1535737909,256,256
1535740207,512,512
1535742011,256,256
1535743809,256,256
1535745604,512,512
1535747408,768,768
1535749213,512,512
1535751007,256,256
1535752557,256,256
1535754607,512,512
1535756705,512,512
1535758212,512,512
1535760904,512,512
1535761811,512,512
1535763188,512,512
1535766352,256,256
1535769574,512,512
1535770811,512,512
1535772965,512,512
1535774412,256,256
1535776206,512,512
1535778017,512,512
1535780169,512,512
1535781621,256,256
1535783410,256,256
1535785219,256,256
1535787009,512,512
1535788812,256,256
1535790608,256,256
1535792170,256,256
1535795653,256,256
1535797810,256,256
1535799622,256,256
1535801410,256,256
1535802429,256,256
1535805009,2048,2048
1535806810,256,256
1535809369,256,256
1535812209,256,256
1535813161,256,256
1535815808,256,256
1535816797,256,256
1535819405,256,256
1535820343,512,512
1535823450,256,256
1535827232,256,256
1535829303,256,256
1535832012,256,256
1535833806,256,256
1535834853,256,256
1535837408,512,512
1535839219,512,512
1535841389,256,256
1535843703,256,256
1535844606,256,256
1535846429,256,256
1535848204,256,256
1535850018,256,256
1535851802,256,256
1535853607,256,256
1535854883,256,256
1535857209,256,256
1535860809,256,256
1535861795,256,256
1535865303,512,512
1535865546,512,512
1535868021,256,256
1535869253,512,512
1535871610,256,256
1535872913,256,256
1535875210,512,512
1535877054,512,512
1535879704,512,512
1535880611,512,512
1535882409,256,256
1535883700,256,256
1535886007,512,512
1535887398,512,512
1535889615,256,256
1535891406,256,256
1535894604,2048,2048
1535896806,256,256
1535898603,512,512
1535901303,512,512
1535902204,512,512
1535905804,256,256
1535907608,256,256
1535911211,512,512
1535913003,256,256
1535914807,256,256
1535923231,512,512
1535925611,256,256
1535926856,256,256
1535931060,256,256
1535932808,256,256
1535934607,256,256
1535936455,256,256
1535937710,256,256
1535940009,256,256
1535941371,256,256
1535943606,256,256
1535947218,256,256
1535948532,256,256
1535950825,256,256
1535952604,256,256
1535954412,256,256
1535958009,256,256
1535961609,256,256
1535965207,256,256
1535967003,256,256
1535968812,256,256
1535970225,256,256
1535972417,256,256
1535974203,256,256
1535981404,256,256
1535983210,256,256
1535984451,2304,2304
1535986808,512,512
1535988647,256,256
1535991776,256,256
1535995808,512,512
1535997619,768,768
1535999012,256,256
1536001242,256,256
1536002641,256,256
1536004815,512,512
1536006210,2816,2816
1536008422,1024,1024
1536010214,1280,1280
1536012033,768,768
1536013819,512,512
1536016519,256,256
1536017443,512,512
1536020104,256,256
1536021049,256,256
1536069649,1280,1280
1536073320,256,256
1536076847,256,256
1536078635,512,512
1536085835,256,256
1536093341,256,256
1536166870,256,256
1536170430,1024,1024
1536172237,256,256
1536180021,256,256
1536247824,1280,1280
1536258615,256,256
1536259611,256,256
1536265827,256,256
1536267609,256,256
1536273035,256,256
1536280240,512,512
1536333792,1536,1536
1536337599,256,256
1536344333,256,256
1536366634,256,256
1536368447,256,256
1536375643,256,256
1536377434,256,256
1536420345,1024,1024
1536424026,256,256
1536431006,256,256
1536445522,256,256
1536447633,256,256
1536449415,256,256
1536509709,512,512
1536510625,256,256
1536512423,256,256
1536517370,256,256
1536525004,256,256
1536538999,256,256
1536593405,1536,1536
1536595225,256,256
1536600603,256,256
1536604345,256,256
1536606024,256,256
1536607384,256,256
1536610967,256,256
1536615003,256,256
1536618608,512,512
1536625803,512,512
1536633314,256,256
1536674437,256,256
1536675875,512,512
1536678905,256,256
1536690386,256,256
1536712815,256,256
1536719247,256,256
1536733600,256,256
1536762395,1280,1280
1536769809,256,256
1536777004,256,256
1536786903,256,256
1536789637,256,256
1536793244,256,256
1536798733,512,512
1536818441,256,256
1536852474,768,768
1536863403,256,256
1536877806,256,256
1536885229,256,256
1536899452,256,256
1536901237,256,256
1536919249,256,256
1536927667,256,256
1536931809,768,768
1536938867,256,256
1536964319,256,256
1536971762,256,256
1536987648,256,256
1537111803,1024,1024
1537114888,256,256
1537122016,256,256
1537137024,256,256
1537143638,256,256
1537194607,1024,1024
1537216202,256,256
1537223436,256,256
1537273829,256,256
1537288203,256,256
1537312503,256,256
1537313414,256,256
1537316147,256,256
1537376133,256,256
1537396383,256,256
1537403444,256,256
1537410172,256,256
1537453803,1024,1024
1537461007,256,256
1537467304,256,256
1537475402,256,256
1537480556,256,256
1537482627,256,256
1537543802,768,768
1537552837,256,256
1537554605,256,256
1537556447,256,256
1537561529,256,256
1537565032,256,256
1537568531,256,256
1537576080,256,256
1537633931,1024,1024
1537647749,512,512
1537655047,256,256
1537663860,256,256
1537716605,768,768
1537727248,256,256
1537748856,256,256
1537799409,768,768
1537801216,256,256
1537813812,256,256
1537828240,256,256
1537885808,256,256
1537914173,256,256
1537922086,256,256
1537964628,1024,1024
1537968603,256,256
1537986635,256,256
1537989749,256,256
1538073036,768,768
1538087444,256,256
1538094648,512,512
1538115303,256,256
1538148627,1024,1024
1538159408,256,256
1538173839,256,256
1538227831,256,256
1538231931,256,256
1538235340,256,256
1538236834,256,256
1538239107,512,512
1538244033,256,256
1538246096,256,256
1538253540,512,512
1538256756,256,256
1538260246,256,256
1538267857,512,512
1538287252,256,256
1538289917,256,256
1538294417,256,256
1538312409,256,256
1538327705,256,256
1538334003,256,256
1538335854,256,256
1538337605,256,256
1538339437,256,256
1538340809,256,256
1538344245,256,256
1538348417,256,256
1538350226,1024,1024
1538386228,256,256
1538392525,1536,1536
1538397024,256,256
1538404220,256,256
1538406020,256,256
1538407830,256,256
1538432322,256,256
1538440203,256,256
1538493307,512,512
1538579946,1280,1280
1538584227,256,256
1538591410,256,256
1538598636,256,256
1538605839,256,256
1538613044,256,256
1538666128,256,256
1538670627,256,256
1538692237,256,256
1538699404,256,256
1538752764,1024,1024
1538757003,256,256
1538758831,256,256
1538762429,256,256
1538764229,256,256
1538785845,512,512
1538838910,512,512
1538843403,256,256
1538935889,1024,1024
1538937029,256,256
1538940618,256,256
1538944223,512,512
1538951431,256,256
1538958274,512,512
1539008111,768,768
1539012622,256,256
1539016217,256,256
1539023423,256,256
1539030188,256,256
1539037044,256,256
1539045024,256,256
1539098103,1024,1024
1539109828,256,256
1539123437,256,256
1539129636,256,256
1539131434,256,256
1539195303,768,768
1539196225,256,256
1539203422,256,256
1539210625,256,256
1539218732,256,256
1539274508,1280,1280
1539275417,256,256
1539284423,256,256
1539296587,256,256
1539357311,1024,1024
1539367222,256,256
1539376218,256,256
1539382567,256,256
1539383423,256,256
1539390720,512,512
1539443704,768,768
1539446420,256,256
1539455417,256,256
1539477031,256,256
1539533706,768,768
1539534617,256,256
1539545422,256,256
1539556226,256,256
1539563429,256,256
1539570626,256,256
1539616175,768,768
1539621015,256,256
1539642623,256,256
1539702902,768,768
1539714623,256,256
1539716416,256,256
1539721820,256,256
1539729028,512,512
1539736243,256,256
1539756021,256,256
1539789672,1280,1280
1539799219,256,256
1539822632,256,256
1539879065,3584,3584
1539880219,256,256
1539882021,256,256
1539885631,1024,1024
1539887419,256,256
1539890243,256,256
1539892819,256,256
1539894625,256,256
1539896417,256,256
1539901820,256,256
1539903633,256,256
1539909003,1024,1024
1539910825,256,256
1539915306,256,256
1539916225,256,256
1539921631,256,256
1539923424,256,256
1539927025,256,256
1539934228,256,256
1539965495,2304,2304
1539972022,512,512
1539981024,256,256
1539986420,256,256
1539995430,768,768
1539997232,512,512
1539998526,256,256
1540001745,256,256
1540002130,256,256
1540008026,256,256
1540009829,256,256
1540020621,256,256
1540048667,2560,2560
1540051224,256,256
1540053022,256,256
1540055850,256,256
1540058425,768,768
1540062039,256,256
1540063288,512,512
1540077739,256,256
