DateTime,AddedIPs,RemovedIPs
1540149363,4,90
1540149723,6,0
1540150323,3,0
1540150923,2,0
1540151282,91,0
1540151526,9,0
1540152172,7,0
1540153324,3,0
1540154523,5,0
1540155125,84,76
1540155771,2,1
1540156324,3,0
1540156923,3,0
1540157523,1,0
1540158124,1,1
1540158964,67,219
1540159374,4,0
1540160524,1,0
1540161723,5,0
1540162810,73,0
1540162970,6,0
1540163524,2,0
1540165323,7,0
1540165923,3,0
1540166642,78,26
1540167608,0,218
1540167724,1,0
1540168562,61,0
1540170724,1,1
1540171324,2,0
1540172403,58,9
1540172524,4,0
1540173365,2,132
1540173772,3,1
1540174923,1,0
1540175523,2,0
1540176242,80,0
1540176723,3,0
1540177430,0,3
1540177923,20,0
1540178523,3,0
1540179725,6,0
1540180082,80,10
1540180323,2,0
1540180974,5,1
1540182007,10,85
1540182123,4,0
1540182724,6,0
1540183923,81,9
1540184574,1,1
1540185124,7,0
1540185723,15,0
1540186323,8,0
1540186802,0,160
1540186924,3,0
1540187763,85,0
1540188172,7,0
1540188724,95,14
1540189323,5,0
1540189682,14,78
1540189923,4,0
1540190523,3,0
1540191123,1,0
1540191606,75,82
1540191770,3,0
1540192325,6,0
1540192923,6,0
1540193523,61,17
1540194125,1,0
1540194723,3,0
1540195431,4,2
1540195923,2,0
1540196523,5,0
1540197124,1,0
1540197363,67,98
1540197723,4,0
1540199524,2,1
1540200124,4,0
1540200723,12,0
1540201323,9,0
1540201682,40,12
1540201924,3,0
1540202574,7,2
1540203607,0,99
1540203723,7,0
1540204323,2,0
1540204923,21,0
1540205523,75,0
1540206171,13,0
1540208525,28,0
1540209124,8,0
1540209612,72,13
1540209830,62,0
1540210569,39,72
1540210923,51,0
1540211523,92,0
1540212123,2,0
1540212724,1,0
1540213323,1,0
1540213924,6,1
1540214403,0,65
1540214523,5,0
1540215363,80,0
1540215723,3,0
1540216323,3,0
1540216923,3,0
1540217523,5,0
1540218125,2,0
1540219202,59,17
1540219323,5,0
1540219924,6,0
1540220574,7,2
1540222083,0,120
1540222324,4,0
1540223043,83,0
1540223523,3,0
1540224171,2,0
1540224724,2,0
1540225322,4,0
1540226523,2,0
1540226882,111,17
1540227123,7,0
1540227771,17,3
1540228323,4,0
1540228805,0,133
1540228923,12,0
1540229524,5,0
1540230123,5,0
1540230723,94,0
1540231324,6,0
1540231433,0,2
1540231923,4,0
1540232523,4,0
1540233724,3,0
1540234324,5,0
1540234563,83,75
1540234970,4,2
1540236123,3,0
1540236482,0,71
1540236724,2,0
1540237323,2,0
1540238415,101,0
1540238570,2,1
1540239124,2,0
1540239723,12,0
1540240923,3,0
1540241523,2,0
1540242244,72,186
1540243323,6,0
1540244163,84,0
1540244523,3,0
1540245123,2,0
1540245724,10,0
1540245772,1,0
1540246323,4,0
1540246923,4,0
1540248005,54,230
1540248123,10,0
1540248723,2,0
1540249377,0,1
1540249923,7,0
1540250523,4,0
1540251123,5,0
1540251843,99,0
1540252323,1,0
1540252976,3,1
1540254123,3,0
1540254723,8,0
1540255323,5,0
1540255684,46,195
1540256524,7,0
1540257124,9,0
1540257724,9,0
1540258923,5,0
1540259523,84,0
1540260171,6,1
1540261323,7,0
1540261923,3,0
1540262523,6,0
1540263364,77,72
1540263772,6,0
1540264323,1,0
1540264924,14,0
1540265523,85,13
1540266124,14,0
1540266723,4,0
1540267444,1,177
1540268523,20,0
1540269123,3,0
1540269363,80,0
1540269723,19,0
1540270322,6,0
1540271034,13,7
1540271524,9,0
1540272123,8,0
1540272723,12,0
1540273202,80,15
1540273323,12,2
1540273924,13,0
1540274571,2,3
1540275123,8,0
1540275723,23,0
1540276322,6,0
1540277043,90,29
