DateTime,AddedIPs,RemovedIPs
1539991708,316,0
1539991803,125,67
1539993647,100,164
1539995559,577,557
1539995786,75,89
1539997475,72,7
1539998526,73,94
1539999376,24,13
1539999903,90,139
1540001311,7,10
1540002130,147,89
1540003250,10,13
1540003503,76,102
1540005164,97,110
1540005304,29,0
1540007058,9,7
1540007104,110,128
1540007768,45,0
1540009219,11,16
1540009829,332,125
1540011133,137,175
1540011917,79,76
1540013058,12,16
1540014985,118,119
1540016103,95,101
1540017161,41,22
1540017902,148,110
1540019069,9,26
1540019704,183,116
1540020972,25,14
1540021503,117,367
1540022896,27,20
1540023303,100,134
1540024836,128,25
1540025109,47,163
1540025766,56,0
1540026762,18,12
1540027696,175,95
1540028655,7,13
1540029630,61,102
1540030590,91,956
1540031431,14,0
1540032493,34,28
1540033229,117,328
1540034413,362,0
1540035003,76,9
1540036337,95,193
1540038259,125,101
1540038912,85,113
1540040185,19,18
1540041306,151,172
1540042094,17,4
1540043103,94,187
1540044036,24,7
1540044903,84,65
1540045944,29,5
1540046107,75,128
1540046704,21,19
1540047869,22,13
1540048447,109,65
1540048667,504,0
1540049792,19,19
1540050127,83,151
1540051748,23,1038
1540052105,86,122
1540053022,282,0
1540053621,141,170
1540054849,103,128
1540055544,22,11
1540056007,93,0
1540057461,81,180
1540058166,72,49
1540058425,508,0
1540059383,13,26
1540060204,54,124
1540060507,55,129
1540061299,13,7
1540062039,255,0
1540062205,92,118
1540063215,26,26
1540065154,120,133
1540065367,58,1
1540067073,29,265
1540067418,81,119
1540068980,18,10
1540069234,59,139
1540070895,74,129
1540070899,46,0
1540072846,105,155
1540074740,57,87
1540075505,56,162
1540076675,353,0
1540077248,110,87
1540078586,74,24
1540079766,171,90
1540080514,8,11
1540081806,313,89
1540082441,11,15
1540084345,402,146
1540084691,86,71
1540086260,112,95
1540086306,33,32
1540088193,120,76
1540089029,7,250
1540089310,54,121
1540090097,3,7
1540092030,110,139
1540092603,27,0
1540093943,4,30
1540095303,126,213
1540095863,3,32
1540096204,12,0
1540097785,85,97
1540098023,51,24
1540099697,65,75
1540099829,39,0
1540101642,100,146
1540103548,127,79
1540104907,91,195
1540105716,10,18
1540106110,44,77
1540107858,6,18
1540107903,80,106
1540109790,130,136
1540110633,66,1
1540111696,21,11
1540112436,246,0
1540113855,140,248
1540115656,149,112
1540117691,162,923
1540117804,75,0
1540119625,319,1
1540120503,182,318
1540121543,69,15
1540121727,115,121
1540123471,28,3
1540125372,203,168
1540125903,169,451
1540127810,117,356
1540128292,70,0
1540129695,18,20
1540129807,82,140
1540131623,51,9
1540132203,97,164
1540132934,113,168
1540133535,28,8
1540133767,42,1
1540135473,21,2049
1540135803,59,107
1540136538,79,209
1540137372,41,12
1540137628,0,255
1540138583,72,100
1540139795,82,11
1540140967,99,164
1540141713,35,14
1540142103,0,241
1540143006,1399,68
1540143618,35,9
1540144327,110,136
1540145550,777,516
1540146195,80,151
1540146610,32,0
1540147458,10,11
1540148422,33,195
1540149383,23,263
1540150203,167,95
1540151297,12,32
1540152030,132,263
1540153211,15,29
1540153803,134,15
1540155136,8,17
1540155367,90,167
1540157054,6,10
1540157410,100,154
1540158986,12,7
1540159821,120,285
1540160891,10,21
1540161037,43,113
1540162835,286,0
1540163703,58,38
1540164741,56,89
1540165504,60,106
1540166659,5,4
1540167304,87,135
1540168583,24,11
1540169104,256,254
1540170512,105,125
1540170903,57,46
1540170920,41,89
1540172420,23,29
1540172703,63,133
1540174342,16,7
1540175288,130,122
1540176255,11,9
1540176908,69,107
1540178178,15,9
1540178887,110,124
1540180108,5,15
1540180824,92,203
1540182016,8,6
1540182621,112,86
1540183934,8,11
1540184434,37,160
1540185867,120,88
1540186220,44,0
1540187777,16,11
1540188905,205,301
1540189694,15,11
1540189828,56,0
1540191620,7,7
1540191629,87,196
1540192502,81,96
1540193543,75,18
1540195472,63,190
1540197374,125,104
1540197904,75,228
1540198567,54,0
1540199813,29,22
1540200603,129,75
1540201696,28,7
1540202442,70,104
1540203618,28,785
1540204209,82,76
1540205536,123,119
1540206226,78,146
1540206848,43,0
1540207469,292,0
1540207688,128,1
1540209667,482,207
1540211546,91,104
1540211708,59,130
1540213467,40,11
1540214103,52,48
1540215388,75,96
1540215607,71,93
1540215903,2,37
1540217298,23,10
1540218603,59,80
1540219214,25,6
1540219504,123,114
1540221147,94,103
1540221781,1050,0
1540222203,38,0
1540223060,19,5
1540223199,69,218
1540224984,30,6
1540225803,617,102
1540226912,19,2
1540228821,129,278
1540228957,0,1015
1540230739,23,12
1540232103,219,243
1540232658,88,3
1540233003,506,0
1540233613,61,119
1540234594,24,5
1540235107,73,93
1540236491,12,12
1540236792,64,0
1540237502,49,76
1540238440,14,15
1540240342,335,108
1540242268,19,18
1540242903,302,186
1540243804,539,9
1540244187,21,17
1540244533,542,96
1540245626,57,0
1540246116,25,16
1540247409,562,82
1540248015,22,23
1540248968,166,84
1540249965,245,0
1540251033,39,191
1540251854,17,15
1540252840,58,112
1540253778,31,13
1540254442,77,136
1540255696,11,7
1540256168,102,124
1540257632,9,19
1540258152,79,85
1540259533,14,10
1540259718,74,137
1540261455,7,11
1540261803,44,63
1540262108,61,70
1540263373,8,4
1540264507,73,101
1540264831,39,0
1540265551,5,8
1540266306,178,89
1540267470,18,4
1540267817,105,98
1540269393,10,2
1540269903,50,1
1540271310,63,115
1540271703,63,69
1540273225,9,17
1540273506,121,151
1540275165,22,6
1540275325,116,83
1540276094,49,0
1540277071,18,1
1540278030,37,73
1540279009,105,107
1540280901,79,15
1540281625,59,169
1540282503,78,58
1540283058,11,15
1540283201,20,0
1540285015,108,165
1540285510,96,65
1540286910,13,16
1540287913,147,89
1540288823,15,827
1540290739,118,130
1540290876,84,89
1540292680,310,0
1540293247,172,104
1540294596,33,12
1540294818,129,111
1540296527,20,6
1540296903,92,100
1540297215,85,6
1540297803,253,0
1540298436,18,14
1540300364,116,130
1540301406,93,125
1540302260,152,165
1540304205,21,17
1540305003,146,127
1540306101,82,131
1540306822,104,100
1540308022,82,22
1540308603,47,1780
1540309937,26,4
1540310084,104,112
1540311873,17,5
1540312203,111,122
1540314042,27,13
1540314903,119,309
1540315945,74,12
1540317863,15,13
1540318503,181,742
1540319802,23,12
1540320145,135,169
1540320967,46,256
1540321725,15,9
1540323003,72,595
1540323621,117,175
1540325544,102,9
1540326396,0,1014
1540327477,174,244
1540327502,21,31
1540328167,69,0
1540329400,14,24
1540330204,58,62
1540330419,58,71
1540331318,7,29
1540331545,57,27
1540332031,12,0
1540333242,59,324
1540335145,102,92
1540335375,43,0
1540337054,302,0
1540337403,65,95
1540338996,108,115
1540339240,52,35
1540340897,101,351
1540341938,43,1
1540342841,111,85
1540344744,118,130
1540346923,29,20
1540347311,121,170
1540348833,16,10
1540349103,37,0
1540350042,84,132
1540350762,32,16
1540351832,107,67
1540352663,21,6
1540354590,141,211
1540355409,255,0
1540356519,169,192
1540356977,48,0
1540358921,82,100
1540359003,45,0
1540361065,93,168
1540362988,96,108
1540363503,92,104
1540364435,41,0
1540365142,28,11
1540366206,93,107
1540367071,24,9
1540367103,91,117
1540369233,131,102
1540371139,104,144
1540371308,66,41
1540373057,12,23
1540373403,131,57
1540374987,21,25
1540375465,122,222
1540377036,30,806
1540377150,115,167
1540377752,24,124
1540379067,387,1
1540380605,126,378
1540381215,71,19
1540381503,61,136
1540382167,58,0
1540383221,26,22
1540383304,0,502
1540383692,56,72
1540385066,30,13
1540385767,205,123
1540387008,39,13
1540387802,81,62
1540389141,107,111
1540391051,7,255
1540391403,207,94
1540392991,9,10
1540393240,56,90
1540393508,88,109
1540394525,30,0
1540394891,12,5
1540395308,79,101
1540396839,15,15
1540397703,78,39
1540398737,813,92
1540399338,105,138
1540400716,11,7
1540401256,180,128
1540402585,19,13
1540402709,142,139
1540404019,255,0
1540404497,17,15
1540404903,106,93
1540405206,113,4
1540405803,248,0
