DateTime,Entries,UniqueIPs
1539571200,28980,47218
1539573635,28981,47219
1539577240,28983,47220
1539577809,28982,47219
1539578703,29018,47255
1539581222,29097,47281
1539584441,29099,47284
1539585600,29088,47273
1539588626,29087,47272
1539591517,29086,47271
1539591633,29089,47274
1539592021,29106,47284
1539592800,29107,47285
1539598032,29106,47284
1539598834,29108,47286
1539600000,29116,47295
1539600722,29102,47281
1539601535,29103,47282
1539603031,29162,47352
1539606931,29163,47353
1539607468,29152,47343
1539609303,29146,47336
1539610230,29143,47333
1539612027,29314,47508
1539613621,29326,47534
1539614400,29327,47535
1539616175,29281,47739
1539620183,29279,47737
1539620657,29276,47733
1539621600,29277,47734
1539624618,29267,47754
1539627629,29270,47757
1539628800,29286,47773
1539631229,29285,47772
1539635301,29287,47774
1539636000,29294,47800
1539641184,29296,47802
1539642031,29298,47804
1539643502,29296,47802
1539644404,29279,47784
1539646204,29327,47804
1539649230,29329,47806
1539650400,29367,47844
1539652504,29365,47842
1539656435,29367,47844
1539657026,29312,47743
1539657600,29272,47701
1539662045,29271,47700
1539663631,29272,47702
1539665103,29302,47732
1539667621,29351,47713
1539670828,29355,47716
1539672303,29359,47719
1539672304,29359,47719
1539678032,29369,47730
1539678604,29375,47740
1539679451,29374,47739
1539679503,29375,47740
1539682402,29368,47733
1539685227,29374,47738
1539686400,29383,47747
1539686704,29384,47748
1539687027,29366,47730
1539689221,29380,47744
1539692433,29383,47747
1539693411,29382,47746
1539694105,29371,47739
1539695059,29372,47740
1539695822,29369,47737
1539699303,29915,48282
1539699629,29915,48282
1539700229,29908,48285
1539700800,29900,48277
1539702902,29897,48525
1539704145,29895,48523
1539706839,29899,48528
1539708000,29898,48524
1539708736,29909,48533
1539711023,29904,48551
1539714030,29907,48553
1539715004,29905,48551
1539715200,29900,48546
1539721229,29901,48548
1539721820,29984,48629
1539722703,29997,48642
1539725728,29997,48642
1539728426,29999,48644
1539729028,29999,48892
1539729903,30002,48894
1539730804,29995,48887
1539732604,30014,48889
1539735633,30016,48891
1539736243,30011,49116
1539736800,30043,49148
1539742830,30044,49149
1539743440,29779,48910
1539744000,29769,48900
1539746652,29767,48898
1539750033,29771,48902
1539751200,29780,48911
1539754202,29716,48829
1539757233,29717,48830
1539757792,29722,48835
1539758400,29693,48806
1539764431,29697,48810
1539765028,29673,48780
1539765600,29667,48774
1539767775,29668,48775
1539768627,29667,48774
1539772800,29667,48775
1539773431,29647,48754
1539774339,29649,48756
1539775803,29679,48813
1539778924,29684,48818
1539780000,29676,48810
1539782670,29676,48810
1539783029,29676,48810
1539783904,29677,48811
1539785396,30128,49287
1539785705,30128,49032
1539786032,30132,49036
1539786421,30147,49052
1539787200,30148,49053
1539790084,30149,49054
1539793229,30150,49055
1539794400,30153,49058
1539797297,30166,49071
1539797421,30208,49133
1539800424,30210,49135
1539801015,30203,49128
1539801600,30208,49133
1539807303,30207,48877
1539807627,30214,48884
1539808225,30241,48901
1539808800,30238,48898
1539810955,30234,48894
1539811941,30234,48894
1539815729,30240,48900
1539816000,30240,48900
1539817204,30226,48885
1539819003,30258,48901
1539821950,30255,48898
1539822028,30258,48901
1539822632,30257,49155
1539823200,30320,49218
1539829233,30325,49223
1539829827,30309,49231
1539830400,30258,49179
1539833001,30258,49179
1539836430,30260,49182
1539837600,30280,49204
1539840632,30329,49225
1539841504,30330,49226
1539843307,30333,49229
1539843633,30338,49233
1539843749,30336,49231
1539844800,30345,49241
1539851228,30346,49243
