DateTime,AddedIPs,RemovedIPs
1540090923,4,0
1540091523,4,0
1540092124,1,0
1540092723,1,0
1540093923,8,0
1540094523,5,0
1540095123,4,0
1540095724,1,0
1540096323,5,0
1540096922,5,0
1540097523,4,0
1540098124,2,0
1540098724,2,0
1540099925,12,0
1540100523,5,0
1540101724,3,1
1540102325,5,0
1540102924,3,0
1540103523,3,0
1540104123,1,0
1540104723,3,0
1540105323,2,0
1540105926,2,0
1540106524,6,0
1540107124,2,0
1540107724,5,0
1540108324,3,0
1540108923,3,0
1540109524,7,0
1540110123,3,0
1540110723,5,0
1540111323,1,0
1540111923,6,0
1540112523,3,0
1540113124,1,0
1540113724,2,0
1540114923,2,0
1540117322,10,0
1540117922,4,0
1540118524,4,0
1540119724,8,0
1540120324,5,0
1540120923,2,0
1540122123,11,0
1540123323,2,0
1540124524,1,0
1540125723,2,0
1540127523,1,0
1540128723,3,0
1540129323,5,0
1540129923,3,0
1540130523,2,0
1540131124,2,0
1540131723,4,0
1540132923,4,0
1540133524,2,0
1540134124,2,0
1540134723,2,0
1540135324,2,0
1540135923,4,0
1540136523,3,0
1540137723,4,1
1540138324,3,0
1540138924,2,0
1540140123,1,0
1540141923,2,0
1540142523,6,0
1540143723,1,0
1540144323,6,0
1540144923,7,0
1540145523,1,0
1540146124,2,0
1540146723,4,0
1540147324,2,0
1540148523,1,1
1540149124,4,0
1540149723,6,0
1540150323,3,0
1540150923,2,0
1540151526,9,0
1540152124,7,0
1540153324,3,0
1540154523,5,0
1540155123,2,0
1540155723,2,0
1540156324,3,0
1540156923,3,0
1540157523,1,0
1540158124,1,1
1540159323,4,0
1540160524,1,0
1540161723,5,0
1540162923,6,0
1540163524,2,0
1540165323,7,0
1540165923,3,0
1540166525,2,0
1540167724,1,0
1540168323,5,0
1540170724,1,1
1540171324,2,0
1540172524,4,0
1540173123,2,0
1540173724,3,0
1540174923,1,0
1540175523,2,0
1540176123,1,0
1540176723,3,0
1540177923,20,0
1540178523,3,0
1540179725,6,0
1540180323,2,0
1540180924,5,0
1540182123,4,0
1540182724,6,0
1540184523,1,0
1540185124,7,0
1540185723,15,0
1540186323,8,0
1540186924,3,0
1540187523,5,0
1540188123,4,0
1540189323,5,0
1540189923,4,0
1540190523,3,0
1540191123,1,0
1540191724,3,0
1540192325,6,0
1540192923,6,0
1540194125,1,0
1540194723,3,0
1540195324,4,0
1540195923,2,0
1540196523,5,0
1540197124,1,0
1540197723,4,0
1540199524,1,0
1540200124,4,0
1540200723,12,0
1540201323,9,0
1540201924,3,0
1540202522,6,0
1540203723,7,0
1540204323,2,0
1540204923,21,0
1540205523,2,0
1540206123,13,0
1540208525,28,0
1540209124,8,0
