DateTime,AddedIPs,RemovedIPs
1533239529,2,4
1533248172,1,0
1533263772,2,0
1533299046,0,1
1533299527,1,0
1533311527,1,0
1533325929,4,2
1533329766,1,0
1533342728,0,1
1533343206,1,0
1533351126,9,0
1533394818,2,0
1533401767,0,1
1533402245,1,0
1533411845,4,2
1533438488,2,0
1533452886,0,1
1533453365,1,0
1533457205,0,1
1533457687,1,0
1533464408,0,1
1533464884,1,0
1533482181,3,0
1533486249,1,0
1533498488,2,2
1533516727,1,0
1533526805,0,1
1533527287,1,0
1533559929,0,1
1533568566,1,0
1533584647,2,1
1533608884,0,2
1533609365,0,1
1533609846,0,2
1533610818,5,0
1533615615,341,248
1533656908,2,0
1533670565,1,0
1533671530,4,5
1533696247,0,1
1533696728,1,0
1533700579,1,0
1533707285,1,0
1533728896,1,0
1533730816,2,0
1533757687,2,2
1533764404,0,1
1533764886,1,0
1533787937,2,0
1533829925,0,1
1533830415,1,0
1533844087,3,2
1533875553,2,0
1533899048,0,1
1533899525,1,0
1533919213,2,0
1533930244,3,4
1533965766,0,1
1533966248,1,0
1533999603,1,0
1534006576,2,0
1534016644,4,1
1534088703,1,0
1534103288,2,5
1534137858,1,0
1534151354,0,0
1534189927,5,6
1534230486,0,1
1534230964,1,0
1534263609,2,0
1534266965,1,0
1534269126,3,0
1534273225,0,1
1534273686,1,0
1534276087,3,5
1534311848,0,1
1534312326,1,0
1534328168,1,0
1534350007,1,0
1534362967,6,2
1534400193,2,0
1534403047,0,1
1534403525,1,0
1534443846,1,0
1534448886,2,2
1534486805,3,0
1534510329,1,0
1534531213,11,0
1534535287,3,3
1534574916,1,0
1534610884,0,1
1534611369,1,0
1534611846,0,1
1534612327,1,0
1534618588,1,0
1534621688,3,4
1534627929,1,0
1534662965,0,1
1534663449,1,0
1534663927,0,1
1534664887,1,0
1534669226,0,1
1534669687,1,0
1534708087,1,2
1534749622,1,0
1534759248,0,1
1534759686,1,0
1534793550,2,0
1534794488,3,1
1534825928,1,0
1534837209,1,0
1534880904,1,6
1534924578,5,0
1534932725,0,1
1534933208,1,0
1534941603,297,329
1534941845,0,1
1534942328,1,0
1534959125,1,0
1534967526,6,3
1534968273,5,0
1535050565,1,0
1535053685,2,1
1535094904,1,0
1535140088,2,1
1535143636,2,0
1535223852,1,0
1535226246,2,5
1535231299,2,0
1535254329,0,1
1535254805,1,0
1535267287,0,1
1535267765,1,0
1535274979,11,0
1535307373,1,0
1535312703,3,2
1535347209,1,0
1535372169,1,0
1535386087,0,1
1535387050,1,0
1535397127,0,1
1535397607,1,0
1535399048,3,3
1535406038,2,0
1535426885,0,1
1535427366,1,0
1535444169,1,0
1535485928,5,4
1535486417,0,1
1535486890,1,0
1535537083,1,0
1535540646,0,1
1535541130,1,0
1535541610,1,0
1535553003,1,0
1535572089,4,6
1535581007,2,0
1535599929,0,1
1535600411,1,0
1535624166,1,0
1535628006,0,1
1535628489,1,0
1535658246,5,3
1535668350,2,0
1535692576,238,310
1535693528,0,1
1535694008,1,0
1535708645,0,1
1535709132,1,0
1535711050,0,1
1535711528,1,0
1535712009,1,0
1535744648,4,3
1535755699,2,0
1535772966,0,1
1535773448,1,0
1535799385,1,0
1535831286,3,4
1535843316,4,0
1535859128,0,1
1535859620,1,0
1535917447,4,4
1535930928,1,0
1535971927,1,0
1535979126,1,0
1536004088,2,3
1536062453,1,0
1536090489,1,3
1536106342,1,0
1536129132,1,0
1536146653,1,0
1536150290,2,1
1536151690,1,0
1536177365,3,2
1536193939,1,0
1536237630,1,0
1536259930,1,0
1536263285,4,3
1536318247,1,0
1536334565,0,1
1536336726,1,0
1536349691,4,2
1536368667,1,0
1536390246,1,0
1536410405,0,1
1536412349,1,0
1536419050,1,0
1536436567,2,6
1536499949,2,0
1536520326,0,1
1536522246,1,0
1536522725,6,3
1536582603,1,0
1536598823,1,0
1536608888,3,5
1536662889,1,0
1536674916,2,0
1536695286,4,3
1536723129,0,1
1536723608,1,0
1536729370,1,0
1536782167,4,1
1536784566,2,0
1536803285,1,0
1536804249,1,0
1536806184,1,0
1536807622,1,0
1536809529,1,1
1536810004,1,0
1536811448,2,0
1536828485,1,0
1536834730,1,0
1536850109,1,0
1536868326,1,8
1536878166,0,1
1536880087,1,0
1536887766,1,0
1536893047,1,0
1536894034,1,0
1536894966,0,1
1536902164,1,0
1536906005,1,0
1536914890,236,266
1536920169,3,0
1536929045,1,0
1536933126,0,1
1536937726,1,0
1536954726,8,5
1536965288,1,0
1536966969,0,1
1536972245,1,0
1536979452,0,1
1536981403,1,0
1536986166,1,0
1537002727,0,1
1537004646,1,0
1537020250,2,0
1537024570,1,0
1537041130,3,1
1537047847,0,1
1537053126,1,0
1537068747,1,0
1537074725,0,1
1537076645,1,0
1537112436,2,0
1537120330,0,1
1537121528,1,0
1537127287,1,3
1537156337,1,0
1537168326,0,1
1537170247,1,0
1537173606,0,1
1537175052,1,0
1537200024,1,0
1537210090,1,0
1537211529,0,1
1537213448,1,0
1537213926,5,4
1537236728,0,1
1537238165,1,0
1537288366,2,0
1537297210,1,0
1537300086,4,4
1537303929,1,0
1537326726,0,1
1537327205,1,0
1537330085,0,1
1537332015,1,0
1537369453,1,0
1537379530,1,0
1537386486,2,4
1537415300,0,1
1537416728,1,0
1537419659,3,0
1537436165,1,0
1537436645,0,1
1537438566,1,0
1537460166,0,1
1537465445,1,0
1537473126,5,1
1537481287,0,1
1537483205,1,0
1537511528,1,0
1537517290,0,1
1537519215,1,0
1537551143,1,0
1537559285,3,5
1537560724,0,1
1537562166,1,0
1537574648,1,0
1537587129,0,1
1537587611,1,0
1537605848,0,1
1537607767,1,0
1537632725,0,1
1537634169,1,0
1537637528,0,1
1537638497,1,0
1537639449,1,0
1537645685,5,4
1537682187,1,0
1537702805,0,1
1537704726,1,0
1537727403,1,0
1537732085,3,2
1537769793,3,0
1537789930,1,0
1537791368,0,1
1537795688,0,1
1537798087,0,1
1537800007,0,1
1537806741,1,0
1537813474,1,0
1537818727,1,3
1537819205,1,0
1537857145,1,0
1537892407,1,0
1537895767,1,0
1537896729,1,0
1537898648,2,0
1537899606,1,0
1537902486,1,0
1537904887,4,1
1537966812,1,0
1537976885,1,0
1537988428,1,0
1537991289,1,3
1538032605,3,0
1538036172,1,0
1538052488,1,0
1538076248,3,0
1538077926,3,2
1538120195,3,0
1538154251,252,250
1538163859,1,5
1538208968,1,0
1538228885,1,0
1538250485,6,5
1538251463,1,0
1538337128,3,0
1538372410,2,0
1538382731,1,0
1538423046,1,1
1538426425,1,0
1538458088,0,1
1538458564,1,0
1538470355,1,0
1538483524,1,0
1538484488,1,0
1538501765,1,0
1538504166,1,0
1538509926,3,2
1538557721,1,0
1538579047,1,0
1538596086,3,5
1538607125,1,0
1538647231,1,0
1538648169,1,0
1538661851,2,0
1538662326,1,0
1538666166,1,0
1538672886,1,0
1538678648,0,1
1538679126,1,0
1538682965,3,1
1538688739,2,0
1538697853,1,0
1538724726,1,0
