DateTime,Entries,UniqueIPs
1539490336,2720,2720
1539492270,2734,2734
1539494191,2790,2790
1539496095,2789,2789
1539498030,2779,2779
1539499948,2782,2782
1539501856,2778,2778
1539503908,2769,2769
1539505940,2770,2770
1539507870,2758,2758
1539509772,2740,2740
1539511696,1214,1214
1539513617,1228,1228
1539515539,1821,1821
1539517466,1819,1819
1539519387,1827,1827
1539521294,1817,1817
1539523218,1811,1811
1539525132,1798,1798
1539527056,1793,1793
1539528980,1779,1779
1539530891,1766,1766
1539532831,1763,1763
1539534741,1769,1769
1539536669,1764,1764
1539538572,1764,1764
1539540496,1767,1767
1539542417,1757,1757
1539544342,1743,1743
1539546257,1743,1743
1539548196,1718,1718
1539550099,1705,1705
1539552018,1703,1703
1539553933,1698,1698
1539555855,1699,1699
1539557784,1683,1683
1539559695,2226,2226
1539561654,2218,2218
1539563564,2215,2215
1539565477,2204,2204
1539567395,2184,2184
1539569313,2164,2164
1539571222,2160,2160
1539573153,2142,2142
1539575055,2129,2129
1539577002,2128,2128
1539578916,2125,2125
1539580838,2120,2120
1539582743,2129,2129
1539584667,2138,2138
1539586572,2122,2122
1539588507,2112,2112
1539590455,2101,2101
1539592581,2100,2100
1539594523,2104,2104
1539596426,2134,2134
1539598355,1149,1149
1539600255,1133,1133
1539602197,1575,1575
1539604113,1598,1598
1539606043,1610,1610
1539607945,1612,1612
1539609868,1623,1623
1539611778,1637,1637
1539613698,1639,1639
1539615651,1654,1654
1539617545,1656,1656
1539619739,1656,1656
1539621614,1663,1663
1539623553,1682,1682
1539625468,1681,1681
1539627387,1696,1696
1539629552,1699,1699
1539631469,1693,1693
1539633371,1721,1721
1539635303,1778,1778
1539637464,1815,1815
1539639384,1847,1847
1539641315,1866,1866
1539643213,1836,1836
1539645141,2215,2215
1539647060,2230,2230
1539648985,2277,2277
1539650894,2281,2281
1539652823,2303,2303
1539654738,2311,2311
1539656665,2310,2310
1539658585,2318,2318
1539660489,2329,2329
1539662434,2336,2336
1539664338,2350,2350
1539666258,2364,2364
1539668185,2374,2374
1539670096,2400,2400
1539672016,2406,2406
1539673937,2406,2406
1539675857,2413,2413
1539677779,2411,2411
1539679693,2415,2415
1539681630,2418,2418
1539683553,2432,2432
1539685474,1530,1530
1539687375,1546,1546
1539689290,2004,2004
1539691265,2016,2016
1539693135,2033,2033
1539695055,2043,2043
1539696981,2064,2064
1539698911,2082,2082
1539700827,2090,2090
1539703009,2108,2108
1539704908,2114,2114
1539707308,2121,2121
1539709234,2127,2127
1539711136,2133,2133
1539713323,2138,2138
1539715226,2161,2161
1539717151,2187,2187
1539719053,2228,2228
1539720992,2288,2288
1539722909,2292,2292
1539725054,2291,2291
1539727005,2282,2282
1539729139,2263,2263
1539731067,2688,2688
1539732997,2714,2714
1539734921,2729,2729
1539736832,2730,2730
1539738746,2731,2731
1539740667,2742,2742
1539742598,2743,2743
1539744509,2753,2753
1539746438,2759,2759
1539748391,2768,2768
1539750258,2763,2763
1539752172,2776,2776
1539754109,2798,2798
1539756032,2820,2820
1539757976,2849,2849
1539759871,2859,2859
1539761785,2862,2862
1539763723,2857,2857
1539765617,2853,2853
1539767535,2844,2844
1539769465,2841,2841
1539771380,1579,1579
1539773555,1585,1585
1539775464,2228,2228
1539777373,2221,2221
1539779305,2198,2198
1539781236,2183,2183
1539783139,2180,2180
1539785075,2176,2176
1539786995,2179,2179
1539788919,2187,2187
1539791060,2189,2189
1539793000,2200,2200
1539794893,2198,2198
1539796819,2205,2205
1539798751,2201,2201
1539800668,2199,2199
1539802574,2204,2204
1539804508,2215,2215
1539806438,2220,2220
1539808356,2219,2219
1539810514,2218,2218
1539812428,2217,2217
1539814342,2206,2206
1539816261,2214,2214
1539818189,2788,2788
1539820100,2776,2776
1539822018,2740,2740
1539823971,2723,2723
1539825854,2711,2711
1539827789,2697,2697
1539829935,2680,2680
1539831860,2681,2681
1539833796,2675,2675
1539835718,2657,2657
1539837626,2644,2644
1539839556,2642,2642
1539841700,2651,2651
1539843636,2661,2661
1539845541,2676,2676
1539847474,2692,2692
1539849373,2696,2696
1539851310,2705,2705
1539853399,2721,2721
1539855618,2718,2718
1539857541,1379,1379
1539859464,1358,1358
1539861385,1952,1952
1539863293,1951,1951
1539865229,1955,1955
1539867143,2010,2010
1539869054,2043,2043
1539870983,2085,2085
1539872894,2087,2087
1539874848,2100,2100
1539876738,2113,2113
1539878668,2118,2118
1539880571,2113,2113
1539882760,2095,2095
1539884655,2087,2087
1539886603,2068,2068
1539888516,2064,2064
1539890432,2070,2070
1539892341,2073,2073
1539894271,2058,2058
1539896200,2059,2059
1539898097,2053,2053
1539900039,2030,2030
1539901957,2004,2004
1539903876,2570,2570
1539906045,2572,2572
1539908186,2576,2576
1539910109,2585,2585
1539912010,2586,2586
1539913945,2589,2589
1539915858,2581,2581
1539917805,2580,2580
1539919693,2583,2583
1539921678,2590,2590
1539923540,2603,2603
1539925465,2592,2592
1539927381,2565,2565
1539929300,2569,2569
1539931216,2573,2573
1539933141,2571,2571
1539935054,2572,2572
1539936989,2564,2564
1539938897,2559,2559
1539940941,2556,2556
1539942747,2570,2570
1539944671,1408,1408
1539946569,1448,1448
1539948759,1989,1989
1539950916,2028,2028
1539952822,2061,2061
1539954753,2102,2102
1539956666,2128,2128
1539958596,2145,2145
1539960501,2146,2146
1539962430,2147,2147
1539964612,2146,2146
1539966742,2152,2152
1539968659,2154,2154
1539970589,2146,2146
1539972525,2135,2135
1539974430,2150,2150
1539976361,2129,2129
1539978274,2121,2121
1539980192,2120,2120
1539982110,2115,2115
1539984041,2116,2116
1539985956,2127,2127
1539987872,2151,2151
1539989773,2171,2171
1539991708,2631,2631
1539993647,2625,2625
1539995559,2622,2622
1539997475,2626,2626
1539999376,2647,2647
1540001311,2643,2643
1540003250,2642,2642
1540005164,2647,2647
1540007058,2651,2651
1540009219,2647,2647
1540011133,2637,2637
1540013058,2633,2633
1540014985,2610,2610
1540017161,2598,2598
1540019069,2570,2570
1540020972,2581,2581
1540022896,2599,2599
1540024836,2590,2590
1540026762,2596,2596
1540028655,2592,2592
1540030590,1382,1382
1540032493,1390,1390
1540034413,1986,1986
1540036337,1972,1972
1540038259,1968,1968
1540040185,1970,1970
1540042094,1982,1982
1540044036,2000,2000
1540045944,2019,2019
1540047869,2019,2019
1540049792,2011,2011
1540051748,2007,2007
1540053621,1995,1995
1540055544,2029,2029
1540057461,2026,2026
1540059383,2003,2003
1540061299,2006,2006
1540063215,2010,2010
1540065154,2035,2035
1540067073,2069,2069
1540068980,2089,2089
1540070895,2085,2085
1540072846,2080,2080
1540074740,2060,2060
1540076675,2578,2578
1540078586,2568,2568
1540080514,2556,2556
1540082441,2550,2550
1540084345,2556,2556
1540086260,2579,2579
1540088193,2595,2595
1540090097,2592,2592
1540092030,2574,2574
1540093943,2545,2545
1540095863,2512,2512
1540097785,2508,2508
1540099697,2517,2517
1540101642,2503,2503
1540103548,2495,2495
1540105716,2482,2482
1540107858,2469,2469
1540109790,2473,2473
1540111696,2481,2481
1540113855,2477,2477
1540115656,2469,2469
1540117691,1265,1265
1540119625,1727,1727
1540121543,1742,1742
1540123471,1785,1785
1540125372,1805,1805
1540127810,1831,1831
1540129695,1834,1834
1540131623,1884,1884
1540133535,1915,1915
1540135473,1927,1927
1540137372,1959,1959
1540139795,1980,1980
1540141713,2010,2010
1540143618,2042,2042
1540145550,2046,2046
1540147458,2046,2046
1540149383,2066,2066
1540151297,2039,2039
1540153211,2024,2024
1540155136,2011,2011
1540157054,2001,2001
1540158986,2004,2004
1540160891,1990,1990
1540162835,2385,2385
1540164741,2383,2383
1540166659,2384,2384
1540168583,2390,2390
1540170512,2404,2404
1540172420,2397,2397
1540174342,2409,2409
1540176255,2410,2410
1540178178,2415,2415
1540180108,2407,2407
1540182016,2405,2405
1540183934,2405,2405
1540185867,2404,2404
1540187777,2409,2409
1540189694,2415,2415
1540191620,2419,2419
1540193543,2407,2407
1540195472,2380,2380
1540197374,2364,2364
1540199813,2363,2363
1540201696,2379,2379
1540203618,1328,1328
1540205536,1331,1331
1540207469,1758,1758
1540209667,1764,1764
1540211546,1777,1777
1540213467,1813,1813
1540215388,1809,1809
1540217298,1826,1826
1540219214,1849,1849
1540221147,1863,1863
1540223060,1879,1879
1540224984,1908,1908
1540226912,1927,1927
1540228821,1919,1919
1540230739,1929,1929
1540232658,1947,1947
1540234594,1969,1969
1540236491,1968,1968
1540238440,1967,1967
1540240342,1965,1965
1540242268,1968,1968
1540244187,1973,1973
1540246116,1983,1983
1540248015,1989,1989
1540249965,2347,2347
1540251854,2348,2348
1540253778,2371,2371
1540255696,2373,2373
1540257632,2358,2358
1540259533,2359,2359
1540261455,2353,2353
1540263373,2360,2360
1540265551,2356,2356
1540267470,2374,2374
1540269393,2384,2384
1540271310,2374,2374
1540273225,2370,2370
1540275165,2385,2385
1540277071,2406,2406
1540279009,2425,2425
1540280901,2427,2427
1540283058,2426,2426
1540285015,2415,2415
1540286910,2413,2413
1540288823,1288,1288
1540290739,1269,1269
1540292680,1715,1715
1540294596,1744,1744
1540296527,1765,1765
1540298436,1768,1768
1540300364,1783,1783
1540302260,1780,1780
1540304205,1786,1786
1540306101,1791,1791
1540308022,1804,1804
1540309937,1831,1831
1540311873,1840,1840
1540314042,1866,1866
1540315945,1865,1865
1540317863,1867,1867
1540319802,1880,1880
1540321725,1887,1887
1540323621,1897,1897
1540325544,1912,1912
1540327477,1911,1911
1540329400,1900,1900
1540331318,1881,1881
1540333242,1874,1874
1540335145,1870,1870
1540337054,2270,2270
1540338996,2285,2285
1540340897,2298,2298
1540342841,2321,2321
1540344744,2330,2330
1540346923,2339,2339
1540348833,2343,2343
1540350762,2367,2367
1540352663,2380,2380
1540354590,2408,2408
1540356519,2416,2416
1540358921,2438,2438
1540361065,2454,2454
1540362988,2471,2471
1540365142,2489,2489
1540367071,2505,2505
1540369233,2516,2516
