DateTime,AddedIPs,RemovedIPs
1532979131,3,0
1532993778,4,1
1533008650,6,1
1533023286,2,2
1533038189,5,0
1533053069,4,1
1533067930,3,0
1533082811,6,1
1533097449,1,2
1533112090,7,1
1533126732,5,0
1533170665,3,0
1533185534,0,3
1533200453,1,1
1533215066,3,2
1533229707,0,2
1533244347,9,2
1533258982,5,1
1533273604,1,0
1533288255,3,1
1533302889,10,0
1533317542,5,0
1533332168,8,1
1533347064,9,3
1533361946,5,0
1533376835,8,1
1533391461,5,1
1533406088,8,3
1533420970,1,0
1533435605,9,0
1533450251,2,0
1533464898,7,0
1533479527,8,1
1533494173,8,0
1533509060,6,1
1533523699,8,0
1533538330,1,0
1533553224,4,0
1533568095,9,1
1533582747,6,0
1533597868,8,0
1533612743,1,1
1533627613,1,0
1533642251,5,0
1533656899,1,2
1533671564,4,2
1533686167,5,3
1533700817,6,0
1533715459,1,0
1533730337,4,1
1533744978,6,1
1533759607,3,0
1533774247,3,0
1533788904,3,1
1533803530,2,1
1533818180,5,2
1533832825,5,2
1533847450,6,0
1533862112,4,5
1533876725,4,1
1533891385,5,1
1533906260,4,0
1533921141,5,1
1533936020,5,1
1533950646,4,0
1533965287,7,2
1533979925,7,0
1533994585,4,0
1534009208,2,0
1534023852,9,1
1534038735,3,0
1534053372,1,0
1534068256,5,0
1534082892,3,0
1534097546,4,0
1534112183,4,0
1534127061,6,0
1534141687,3,0
1534156341,2,0
1534170967,1,0
1534185613,4,1
1534200267,8,1
1534215143,4,1
1534230050,2,1
1534244647,1,0
1534259288,2,0
1534273930,4,0
1534288573,5,0
1534303224,6,1
1534317848,4,0
1534332490,4,1
1534347131,0,1
1534361765,10,0
1534376653,2,0
1534391548,2,0
1534406164,4,1
1534420844,4,1
1534435450,6,1
1534450343,5,0
1534464965,5,0
1534479609,0,1
1534494247,6,0
1534508887,2,1
1534538167,10,2
1534552804,1,2
1534567469,1,0
1534582092,7,0
1534597012,3,0
1534611870,2,0
1534626488,7,0
1534641134,3,1
1534655785,8,1
1534670416,3,0
1534685064,2,0
1534699687,5,0
1534714345,7,2
1534728967,8,0
1534743618,4,0
1534758254,5,1
1534774112,9,0
1534788728,3,0
1534803373,10,1
1534818009,9,0
1534832669,2,1
1534847543,10,0
1534862168,2,1
1534876807,2,0
1534891454,7,1
1534906086,1,1
1534920728,8,0
1534935624,4,0
1534950251,4,1
1534964891,2,0
1534979777,6,0
1534994667,2,0
1535009536,1,0
1535024407,9,0
1535039051,4,0
1535053700,3,0
1535068345,4,0
1535083234,12,0
1535098113,3,0
1535112730,5,0
1535127369,5,0
1535142008,3,0
1535156647,10,0
1535171299,2,0
1535185932,5,0
1535200585,8,0
1535215453,10,0
1535230105,2,0
1535244727,6,0
1535259377,1,0
1535274022,3,0
1535288658,5,0
1535303288,6,0
1535317930,2,0
1535332565,6,0
1535347213,3,0
1535361850,3,0
1535376489,4,0
1535391390,3,0
1535406028,2,0
1535420652,12,0
1535435537,4,0
1535450168,2,2
1535465055,5,2
1535479705,3,0
1535494573,4,1
1535509215,6,2
1535523863,4,1
1535538489,2,0
1535553138,5,0
1535567784,9,0
1535582914,8,0
1535597545,16,0
1535612175,12,0
1535626819,7,1
1535641710,11,2
1535656347,12,1
1535670982,3,0
1535685619,9,1
1535700254,6,0
1535715133,4,0
1535729778,9,0
1535744655,10,1
1535759286,7,3
1535773929,8,1
1535788830,5,1
1535803452,6,1
1535818100,4,1
1535832742,5,0
1535847610,1,2
1535862247,6,0
1535876904,2,0
1535891546,4,0
1535906424,4,1
1535921048,3,5
1535935693,3,0
1535950341,17,2
1535964975,9,1
1535979622,3,1
1535994247,9,0
1536008896,4,2
1536023544,7,1
1536038415,9,2
1536053048,9,1
1536067695,10,1
1536082343,17,2
1536097226,12,4
1536111850,13,0
1536126525,7,2
1536141140,9,1
1536156033,9,2
1536170653,11,2
1536185285,16,2
1536200179,6,0
1536215084,8,2
1536229949,5,0
1536244825,11,1
1536259452,9,0
1536274344,5,0
1536288982,10,2
1536303867,10,0
1536318735,3,0
1536333620,5,1
1536348253,5,2
1536362915,6,0
1536377530,9,1
1536392186,8,0
1536406805,6,1
1536421465,5,0
1536436087,13,2
1536450987,6,2
1536465871,3,0
1536480490,5,0
1536510268,3,2
1536525146,6,0
1536539766,3,1
1536554428,5,0
1536569054,7,1
1536583700,4,0
1536598337,3,1
1536614436,6,2
1536629047,1,2
1536658341,2,0
1536672985,2,0
1536687608,6,0
1536702506,7,1
1536717147,7,1
1536731771,5,1
1536746673,7,0
1536761532,4,3
1536776167,8,1
1536790811,4,1
1536805460,2,0
1536820104,3,0
1536834746,3,1
1536849610,6,1
1536864509,4,1
1536879660,5,0
1536894263,1,5
1536909146,1,1
1536924030,8,3
1536938910,6,0
1536953784,16,0
1536968409,34,0
1536983316,15,0
1536997952,14,3
1537012857,14,0
1537027503,24,1
1537042097,17,0
1537056973,20,2
1537071865,24,0
1537086739,15,0
1537101374,17,0
1537116258,8,0
1537131134,11,1
1537146038,9,0
1537160651,2,0
1537175545,4,1
1537190421,8,0
1537205047,1,0
1537219693,2,0
1537234330,3,1
1537249210,4,2
1537264110,2,1
1537278989,3,1
1537293865,3,1
1537308745,4,1
1537323368,7,1
1537338017,2,1
1537352666,1,0
1537367539,5,1
1537382167,7,0
1537397057,5,0
1537411949,20,1
1537426832,13,0
1537441458,8,1
1537456343,12,0
1537471213,8,1
1537486106,8,1
1537500742,17,0
1537515372,12,0
1537530022,9,3
1537544648,8,0
1537559288,13,4
1537574174,4,1
1537589052,5,0
1537603685,9,1
1537618349,3,3
1537633222,18,0
1537647847,7,0
1537662489,11,0
1537677141,13,0
1537691787,3,0
1537706404,10,1
1537721053,9,1
1537735688,9,0
1537750582,259,0
1537765215,18,2
1537779863,7,1
1537794748,13,0
1537809386,14,0
1537824007,7,2
1537838661,10,1
1537853292,10,2
1537867930,5,1
1537882813,5,3
1537897451,7,3
1537912092,4,0
1537927000,7,0
1537941856,4,0
1537956743,7,2
1537971625,7,0
1537986503,5,0
1538001384,10,0
1538016263,8,1
1538031135,12,1
1538045771,5,2
1538060668,6,0
1538075536,10,0
1538090420,9,1
1538105452,5,0
1538120184,3,1
1538135051,5,0
1538149948,7,1
1538164565,9,1
1538179225,6,0
1538194106,15,0
1538208729,15,2
1538223379,7,1
1538238010,7,2
1538252661,5,2
1538267291,11,0
1538282175,10,0
1538296805,13,0
1538311448,10,0
1538326089,5,1
1538340988,8,1
1538355605,5,1
1538384901,7,1
1538399531,3,1
1538414178,4,0
1538429056,4,0
1538443934,5,0
1538458573,3,2
1538473210,4,0
1538487855,2,1
1538502735,6,1
1538517367,4,0
1538532264,1,0
1538547142,2,0
1538561764,7,1
1538576423,7,0
1538591064,3,1
1538605692,7,1
1538620352,2,4
1538635223,9,1
1538649850,6,1
1538664500,5,3
1538679131,3,0
1538694040,7,0
1538708667,2,1
1538723787,3,0
1538738419,9,0
1538753049,2,0
1538767955,3,1
1538782582,4,2
1538797227,2,0
1538812113,5,1
1538826976,3,1
1538841613,1,1
1538856507,3,2
1538871373,4,0
1538886259,2,0
1538900885,6,0
1538915543,6,2
1538930426,3,2
1538945052,2,1
1538959716,7,0
1538974346,2,0
1538989232,1,2
1539003848,7,1
1539018500,1,1
1539033392,2,0
1539048286,3,3
1539062885,1,1
1539077549,2,3
1539092195,2,1
1539106808,2,0
1539121452,2,1
1539136106,9,1
1539150724,6,0
1539165382,8,0
1539180018,12,1
1539194647,7,3
1539209288,6,0
1539223943,9,1
1539238566,2,1
1539253222,4,4
1539267862,5,1
1539282493,6,2
1539297126,6,2
1539311773,5,2
1539326664,3,5
1539341540,5,0
1539356194,1,1
1539370835,6,1
1539385946,5,4
1539400581,2,1
1539415215,1,0
1539429850,4,5
1539444744,8,1
1539459366,4,1
1539474007,2,0
1539488660,1,1
1539503291,0,2
1539517952,2,3
1539532566,4,4
1539547218,3,2
1539562095,1,1
1539576987,1,0
1539591511,2,0
1539620654,0,2
1539635296,2,3
1539649944,1,0
1539664842,1,1
1539679449,5,3
1539694101,6,0
1539708733,9,0
1539723629,9,0
1539738262,9,1
1539753131,6,1
1539767769,3,2
1539782663,5,1
1539797294,7,4
1539811933,3,0
1539826566,4,2
1539841223,9,0
1539870976,1,2
1539885630,4,1
1539900247,7,1
1539914897,2,1
1539929790,5,0
1539944667,3,4
1539959544,13,2
1539974423,6,0
1539989047,10,0
1540003692,3,2
1540018342,3,2
1540032988,6,3
1540047857,3,1
1540062745,2,1
1540077366,6,1
1540092021,2,0
1540106891,1,2
1540121535,10,1
1540136179,3,2
1540150821,3,2
1540165447,2,0
1540180101,5,0
1540194738,3,0
1540209659,0,1
1540224509,6,0
1540239373,2,1
1540254010,4,0
1540268663,1,0
1540283547,3,0
1540298429,2,2
1540327951,3,1
1540342832,2,1
1540357463,2,0
1540372110,0,1
1540386995,4,0
1540401633,2,2
1540416509,2,1
1540431145,3,0
1540446016,2,1
1540460891,2,1
