DateTime,Entries,UniqueIPs
1506399966,3300,880147
1506486423,3296,887993
1507351025,3292,821771
1507437485,3303,887248
1507523949,3299,855516
1507610405,3299,887834
1507696865,3295,888524
1507783328,3304,888031
1507869841,3302,887836
1507956303,3303,888509
1508042767,3294,886963
1508129225,3301,883709
1508215685,3293,880177
1508302143,3301,886574
1508388606,3291,833921
1508475068,3296,887354
1508561524,3298,887276
1508647987,3300,888361
1508734444,3305,888359
1508820904,3304,886847
1508907365,3298,888553
1508993827,3303,888603
1509080285,3298,883611
1509166745,3294,887588
1509253202,3302,888379
1509339667,3301,887407
1509426124,3303,888270
1509512586,3295,888562
1509599066,3294,884422
1509685506,3300,884024
1509771963,3296,883884
1509858435,3297,888358
1509944885,3296,883969
1510031346,3295,887070
1510117807,3298,888498
1510204265,3301,886229
1510290725,3302,888236
1510377184,3294,883914
1510463648,3293,888485
1510550101,3290,886171
1510636503,3300,884193
1510722965,3299,884456
1510809425,3304,888031
1510895885,3303,887968
1510982345,3296,888358
1511068805,3300,888054
1511155263,3304,822590
1511241725,3298,887279
1511328185,3301,879411
1511414646,3296,888319
1511501106,3302,885952
1511587567,3293,888143
1511674025,3299,887576
1511760485,3300,884316
1511846946,3295,861689
1511933402,3304,888605
1512019866,3294,888453
1512106382,3302,888633
1512192845,3303,887029
1512279304,3297,887584
1512365766,3302,888307
1512452226,3300,888363
1512538682,3289,873176
1512625146,3302,887926
1512711661,3304,886550
1512798126,3293,884440
1512884587,3305,888374
1512971045,3300,888344
1513057502,3302,885548
1513143965,3299,887818
1513230426,3293,885941
1513316941,3296,888025
1513403405,3296,886804
1513489922,3303,888371
1513576385,3304,868240
1513662845,3296,887537
1513749305,3300,886748
1513835766,3295,887025
1513922282,3301,871173
1514008745,3302,887038
1514095201,3301,888156
1514181663,3294,888565
1514268124,3293,886503
1514354641,3301,884466
1514441112,3300,888631
1514527571,3308,867621
1514614024,3292,888612
1514700487,3303,888285
1514786945,3298,885492
1514873410,3304,888225
1514959872,3302,888377
1515046382,3301,887357
1515132852,3294,887211
1515219302,3294,879836
1515305771,3296,887995
1515392228,3297,888335
1515478691,3296,887891
1515565151,3293,887517
