DateTime,AddedIPs,RemovedIPs
1491153305,1010,732
1491239965,942,1053
1491326594,1005,807
1491413055,993,623
1491499779,844,748
1491586204,775,639
1491759792,1705,1742
1491846302,984,1536
1491932782,1096,850
1492019514,1089,764
1492106121,1085,855
1492192700,860,719
1492279193,917,705
1492365615,1177,785
1492452069,980,1080
1492538536,751,890
1492624987,755,749
1492711462,781,718
1492797941,359,754
1492884425,1314,992
1493057648,1390,2940
1493144103,702,1369
1493230996,580,1129
1493317493,708,673
1493490605,3191,1602
1493664086,2964,1758
1493750537,1485,711
1493836998,1145,618
1493923503,1165,845
1494010205,908,729
1494096727,1126,1020
1494183325,851,636
1494269993,829,1130
1494356406,704,894
1494442866,721,956
1494529339,318,917
1494615794,3,998
1494788720,1225,2268
1494875266,710,1153
1494962105,745,1457
1495048597,622,1108
1495135394,646,33
1495221933,684,319
1495308379,1205,1015
1495395004,268,591
1495481559,345,8355
1495568240,8509,259
1495654731,578,602
1495741354,945,624
1495827795,822,578
1495914302,847,593
1496001056,834,560
1496087739,1020,978
1496174391,1143,793
1496260805,884,833
1496347264,697,560
1496433734,677,626
1496520185,773,678
1496606685,650,692
1496693160,753,836
1496779569,682,968
1496866503,702,1048
1496953393,856,700
1497039860,1048,625
1497126345,682,466
1497212775,627,569
1497385803,1301,1331
1497472496,603,622
1497559105,584,900
1497645794,604,640
1497732302,532,615
1497819324,533,644
1497905956,489,997
1497992409,642,814
1498078865,674,729
1498165333,668,690
1498251790,363,762
1498338265,1192,531
1498424708,912,448
1498597818,1566,1307
1498771346,1584,1127
1498857793,817,725
1498944412,927,613
1499031008,1975,573
1499117761,1469,792
1499204246,18879,764
1499290779,12868,602
1499377399,21412,819
1499463890,7226,742
1499550309,1230,930
1499637181,1122,1952
1499723700,580,7323
1499810109,1135,14191
1499896606,1759,11066
1499983100,5678,7719
1500242530,14108,9275
1500415464,2285,3959
1500501919,3248,3044
1500674953,6174,6911
1500761428,1628,5080
1500847890,5300,2585
1500934360,1463,2296
1501020917,933,2760
1501107571,1166,2579
1501194030,1040,3400
1501280595,950,2463
1501453520,1569,5991
1501540070,1006,2286
1501626531,1093,1987
1501712967,1286,1621
1501972697,2427,3817
1502059192,911,1362
1502232266,1141,1389
1502318706,651,1648
1502405200,978,1636
1502491658,962,1689
1502578128,622,1672
1502751329,853,1425
1502837818,986,2462
1502924316,692,1327
1503010761,666,1335
1503097208,590,1556
1503270142,587,1566
1503356601,968,4897
1503443201,326,9
1503529806,413,1859
1503702904,778,2934
1504048905,1002,4459
1504654700,2565,3600
1504914304,2983,884
1505260520,1810,1820
1505347076,0,0
1505869265,2264,4262
1506215250,1102,2447
1506474817,9329,2934
1506561303,4018,4034
1506647770,3690,3678
1506734243,3845,3825
1506820711,3499,3499
1506907244,3225,3237
1506993792,3333,3337
1507080289,3454,3430
1507166734,3613,3657
1507253218,3418,3414
1507339796,3494,3478
1507426214,3518,3510
1507513097,3642,3646
1507599621,3517,3521
1507686194,3750,3746
1507772703,3898,3910
1507859216,4187,4211
1507945665,3880,3848
1508032383,4003,4023
1508118860,3781,3777
1508205322,3615,3607
1508291861,3895,3895
1508378339,3623,3683
1508464756,3762,3770
1508551206,3633,3565
1508637668,3427,3431
1508724148,3120,3128
1508810593,2918,2910
1508897073,3325,3321
1508983630,3190,3222
1509070167,3030,3018
1509156889,2803,2791
1509243305,2888,2884
1509329796,3884,3880
1509416228,3600,3600
1509502755,3313,3305
1509589290,3209,3217
1509675793,3397,3385
1509762266,4860,4852
1509848895,5747,5759
1509935462,4892,4884
1510021923,4141,4145
1510108499,3752,3720
1510194903,3061,3081
1510281450,2712,2736
1510367901,2653,2645
1510454443,2430,2430
1510540995,2504,2512
1510627490,2522,2514
1510713902,2740,2732
1510800459,3275,3367
1510887255,3352,3284
1510973721,3180,3180
1511060387,3534,3510
