DateTime,AddedIPs,RemovedIPs
1491604355,0,31
1491794669,28,0
1491809303,0,27
1492131727,23,0
1492248774,25,0
1492380540,0,28
1492526908,26,0
1492644075,26,0
1492688176,18,0
1492820452,23,44
1492923158,30,0
1493025630,21,0
1493098613,20,0
1493113296,0,20
1493127849,21,0
1493157411,10,0
1493172083,1,0
1493297573,27,67
1493341734,17,0
1493371031,29,0
1493414952,11,0
1493429561,1,0
1493488145,18,20
1493532101,2,22
1493679132,0,18
1493745373,0,30
1493833228,29,24
1493899314,27,0
1493914131,15,27
1493958036,0,20
1494031229,28,27
1494045883,0,24
1494119076,0,4
1494192268,23,0
1494236184,26,0
1494309421,17,0
1494324119,26,0
1494338722,11,0
1494367938,17,26
1494514330,24,37
1494543725,22,0
1494617068,12,20
1494631719,16,0
1494676108,5,0
1494749334,20,0
1494793212,24,27
1494807872,0,19
1494895706,22,23
1494910348,6,0
1494939761,0,35
1494954281,0,20
1494998181,0,26
1495086277,23,0
1495130331,32,19
1495174621,0,14
1495262669,0,21
1495291933,0,19
1495306614,31,0
1495365152,0,24
1495453476,32,29
1495526917,0,9
1495556189,31,0
1495644038,0,31
1495702585,26,29
1495893898,22,0
1495923413,25,32
1495996571,0,31
1496011242,27,0
1496113961,29,0
1496172501,0,29
1496318905,0,28
1496335044,32,0
1496409861,20,0
1496484092,0,21
1496499197,31,23
1496601624,29,29
1496660188,0,28
1496704131,30,0
1496748035,21,0
1496806602,27,0
1496923936,0,30
1496953246,0,24
1496982504,26,0
1497070338,26,0
1497128923,0,29
1497158189,0,30
1497275333,0,28
1497348508,30,21
1497407055,24,25
1497451222,32,0
1497466380,23,0
1497510287,21,0
1497554193,27,0
1497568843,0,28
1497612784,0,26
1497818192,29,0
1497921189,0,26
1497950473,18,0
1498023645,0,25
1498038527,0,25
1498097085,0,30
1498111726,0,26
1498126394,0,26
1498199780,19,0
1498273033,14,0
1498360854,0,26
1498581185,0,18
1498771731,29,0
1498801013,0,23
1498830518,28,0
1498896769,0,18
1499087342,31,0
1499336425,0,28
1499424992,29,26
1499623470,0,31
1499711312,32,0
1499772584,28,0
1499876911,28,0
1499965247,0,32
1500016845,20,0
1500208130,27,0
1500295947,0,24
1500369374,27,30
1500472370,0,26
1500582978,24,22
1500641540,25,0
1500729626,28,0
1500802811,16,23
1500817475,26,0
1500876079,19,0
1500905336,0,26
1501037553,27,0
1501140268,0,25
1501243373,0,22
1501324343,0,29
1501338984,23,0
1501368632,0,17
1501412929,0,22
1501515386,0,25
1501559340,24,23
1501691548,26,0
1501764980,32,0
1501838446,22,0
1501853073,22,0
1501882368,12,0
1501970693,29,29
1502132200,0,21
1502161737,27,0
1502235391,26,0
1502279541,31,21
1502367928,29,29
1502455989,20,50
1502485718,0,12
1502588948,14,26
1502706034,29,0
1502765065,0,30
1502838276,0,24
1502867559,0,27
1502955882,0,31
1502970505,29,0
1503029543,0,26
1503059123,26,0
1503103260,21,19
1503309142,0,28
1503345858,28,0
1503610610,29,26
1503669149,28,27
1503698418,13,24
1503756989,25,0
1503932670,32,24
1504035874,32,0
1504153239,29,31
1504226661,0,24
1504314998,0,19
1504373768,0,29
1504535307,0,32
1504623376,32,31
1504682444,0,31
1504785388,32,0
1505168202,0,32
1505374598,32,0
1505389221,0,32
1505418508,0,0
1505624660,30,0
1505830813,28,0
1505919378,13,32
1505992577,31,0
1506080420,24,0
1506227294,27,28
1506344889,27,0
1506389082,0,26
1506447860,0,14
1506551059,0,27
1506624276,28,0
1506713550,0,26
1506757460,0,27
1506890432,30,0
1506949215,0,30
1506963857,28,0
1507212985,0,29
1507374517,30,0
1507433560,1,31
1507580725,0,27
1507889076,29,0
1507977610,0,30
1508080578,31,1
1508226966,32,0
1508241647,17,0
1508505881,28,30
1508593962,0,29
1508756471,32,0
1508874036,26,47
1508947984,22,0
1509006756,22,0
1509065571,0,28
1509109707,31,0
1509286127,0,31
1509359554,28,0
1509389066,0,24
1509403714,18,0
1509447636,29,0
1509491545,22,19
1509521062,12,0
1509565213,0,23
1509638656,18,0
1509697461,0,24
1509785781,32,0
1509800441,29,0
1509991578,24,31
1510006348,0,23
1510065156,0,23
1510094659,22,28
1510182984,26,10
1510256441,0,21
1510344734,23,0
1510491876,25,50
1510565553,32,32
1510728286,28,49
1510831254,30,0
1510890033,0,27
1510993239,23,26
1511140852,0,30
1511257975,0,31
1511272594,28,0
1511524593,27,51
1511686851,28,0
1511791089,30,0
1511864446,0,31
1511879056,30,0
1512040600,28,26
1512216890,28,0
