DateTime,Entries,UniqueIPs
1510012694,2260685,2260685
1510099093,2269396,2269396
1510185501,2262406,2262406
1510271878,2152475,2152475
1510358288,2168919,2168919
1510444703,2195797,2195797
1510531110,2184479,2184479
1510617512,2192269,2192269
1510703893,2233505,2233505
1510833531,2261019,2261019
1510919910,2241488,2241488
1511006311,2165059,2165059
1511092733,2080960,2080960
1511179133,2138339,2138339
1511265513,2193004,2193004
1511351943,2292970,2292970
1511438338,2354864,2354864
1511524752,2388218,2388218
1511611110,2387953,2387953
1511697542,2381334,2381334
1511783924,2349410,2349410
1511870317,2293452,2293452
1511956704,2183937,2183937
1512043092,2040316,2040316
1512129507,1917788,1917788
1512215865,1779200,1779200
1512302249,1675013,1675013
1512388639,1556204,1556204
1512475050,1573981,1573981
1512561473,1577109,1577109
1512647850,1565423,1565423
1512734241,1419299,1419299
1512820629,1274003,1274003
1512906992,1110057,1110057
1512993395,987563,987563
1513079793,1033347,1033347
1513166213,1052371,1052371
1513252623,1064402,1064402
1513338997,1069181,1069181
1513425449,1072972,1072972
1513511810,1068390,1068390
1513598198,1066654,1066654
1513684628,1070362,1070362
1513771003,1059215,1059215
1513857409,1041618,1041618
1513943787,950155,950155
1514030250,910757,910757
1514116609,749427,749427
1514202973,745378,745378
1514289376,748043,748043
1514375771,785414,785414
1514462179,829544,829544
1514548593,878433,878433
1514635025,872483,872483
1514721373,860560,860560
1514807786,846067,846067
1514894192,844468,844468
1514980592,829282,829282
1515066992,779390,779390
1515153376,762046,762046
1515239812,732614,732614
1515326193,703093,703093
1515412581,695022,695022
1515498992,695314,695314
1515585365,695932,695932
1515671797,652929,652929
1515758161,668932,668932
1515844598,642776,642776
1515930977,704038,704038
1516017392,801014,801014
1516103820,950786,950786
1516190232,1108150,1108150
1516276642,1254952,1254952
1516363050,1262918,1262918
1516449534,1207989,1207989
1516535815,1177266,1177266
1516622213,1145305,1145305
1516708648,1145997,1145997
1516795051,1146255,1146255
1516881424,1146747,1146747
1516967846,1116072,1116072
1517054232,1072239,1072239
1517140639,1076797,1076797
1517227063,1234306,1234306
1517313516,1387331,1387331
1517399886,1534047,1534047
1517486285,1663888,1663888
1517572706,1740235,1740235
1517659188,1809236,1809236
1517745487,1853231,1853231
1517831903,1867420,1867420
1517918298,1869632,1869632
1518004698,1869811,1869811
1518091133,1872739,1872739
1518177711,1872744,1872744
1518264150,1871175,1871175
1518350316,1844981,1844981
1518436683,1843235,1843235
1518523169,1775185,1775185
1518609516,1681659,1681659
1518695879,1548387,1548387
1518782287,1383778,1383778
1518868762,1229484,1229484
1518955038,1170504,1170504
1519020436,1167355,1167355
1519106210,1161702,1161702
1519192647,1153600,1153600
1519279054,1144145,1144145
1519365496,1175338,1175338
1519451861,1174244,1174244
1519538265,1172880,1172880
1519624660,1172279,1172279
1519711087,1179418,1179418
1519797471,1040457,1040457
1519883852,863323,863323
1519970269,684379,684379
1520056662,527163,527163
1520143042,429922,429922
1520229440,354813,354813
1520315844,312975,312975
1520348325,302767,302767
1521305869,241862,241862
1521392251,243460,243460
1521478653,246063,246063
1521565053,249250,249250
1521651382,227460,227460
1521737835,232098,232098
1521824205,241734,241734
1521910598,249671,249671
1521994930,247578,247578
1522079811,250721,250721
1522166211,265009,265009
1522252635,259303,259303
1522339081,264017,264017
1522425415,274030,274030
1522511796,283722,283722
1522598256,291270,291270
1522684618,315924,315924
1522771000,350174,350174
1522857412,360150,360150
1522943817,357033,357033
1523030223,357543,357543
1523116601,353041,353041
1523202989,352216,352216
1523289403,351284,351284
1523375773,352210,352210
1523462224,354572,354572
1523548571,344501,344501
1523634970,342860,342860
1523721345,338308,338308
1523807743,332660,332660
1523894139,332226,332226
1523980537,335998,335998
1524066932,335210,335210
1524153329,332219,332219
1524239754,328726,328726
1524326132,326256,326256
1524412525,324142,324142
1524498930,324687,324687
1524585330,329008,329008
1524671857,332979,332979
1524758131,323199,323199
1524844526,328982,328982
1524930927,333595,333595
1525017329,333096,333096
1525103725,336022,336022
1525190126,339310,339310
1525276551,329525,329525
1525362924,308926,308926
1525449327,363242,363242
1525535727,368330,368330
1525622130,373258,373258
1525708537,377653,377653
1525794930,384528,384528
1525881326,386305,386305
1525967727,387668,387668
1526054124,385814,385814
1526140527,386008,386008
1526226941,392001,392001
1526313330,395523,395523
1526399727,390731,390731
1526486127,392640,392640
1526572527,394757,394757
1526658927,399059,399059
1526745326,400971,400971
1526831726,401560,401560
1526918127,402356,402356
1527004525,403286,403286
1527090929,402601,402601
1527177329,398876,398876
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527263723,391591,391591
1527350122,388034,388034
1527350122,388034,388034
1527350122,388034,388034
1527350122,388034,388034
1527350122,388034,388034
1527350122,388034,388034
1527350122,388034,388034
1527350122,388034,388034
1527350122,388034,388034
1527350122,388034,388034
1527350122,388034,388034
1527350122,388034,388034
1527350122,388034,388034
1527350122,388034,388034
1527350122,388034,388034
1527350122,388034,388034
1527350122,388034,388034
1527350122,388034,388034
1527350122,388034,388034
1527350122,388034,388034
1527350122,388034,388034
1527350122,388034,388034
