DateTime,AddedIPs,RemovedIPs
1540004404,668,553
1540005304,821,713
1540006205,694,616
1540007105,644,582
1540008005,719,550
1540008905,803,609
1540009805,806,769
1540010705,741,746
1540011605,827,844
1540012505,992,1024
1540013405,929,833
1540014305,849,701
1540015205,828,750
1540016105,774,669
1540017005,910,849
1540017905,674,740
1540018804,685,712
1540019705,610,659
1540020605,619,629
1540021505,610,569
1540022405,628,590
1540023304,615,600
1540024204,771,927
1540025105,627,701
1540026004,692,755
1540026905,750,786
1540028704,1578,2100
1540029605,634,799
1540030505,627,818
1540031405,634,778
1540032305,584,756
1540033204,501,588
1540034105,520,672
1540035004,530,724
1540035905,626,934
1540036805,571,554
1540037705,545,488
1540038605,584,647
1540039505,661,749
1540040405,646,690
1540041305,624,604
1540042205,587,600
1540043105,657,597
1540044005,623,538
1540044904,730,596
1540045805,746,663
1540046705,658,635
1540047604,633,660
1540048505,674,821
1540049405,661,731
1540050304,672,705
1540051205,609,613
1540052105,624,582
1540053005,675,539
1540053904,646,721
1540054804,626,747
1540055704,681,840
1540056605,591,741
1540057504,611,617
1540058405,829,767
1540059305,851,669
1540060205,649,520
1540061104,610,556
1540062005,602,510
1540062904,657,522
1540063804,653,547
1540064704,518,635
1540065605,547,554
1540066505,628,840
1540067405,612,672
1540068305,585,720
1540069204,632,716
1540070105,652,773
1540071005,805,1164
1540071905,673,1795
1540072804,644,1609
1540073705,664,1688
1540074604,693,2129
1540075507,648,1802
1540076406,625,1681
1540077306,624,2016
1540078207,580,2092
1540079107,600,1549
1540080007,532,1492
1540080907,619,1527
1540081807,611,971
1540082707,623,598
1540083608,579,525
1540084506,601,664
1540085407,622,654
1540086308,605,1054
1540087208,679,381
1540088107,663,627
1540089007,678,648
1540089908,673,655
1540090807,678,732
1540091709,728,757
1540092608,719,905
1540093509,662,633
1540094409,609,634
1540095309,719,681
1540096208,856,723
1540097108,772,738
1540098008,731,639
1540098909,791,856
1540099809,790,898
1540100708,714,841
1540101609,676,744
1540102510,773,604
1540103409,773,680
1540104310,719,645
1540105209,827,837
1540106109,746,844
1540107010,652,705
1540109711,2080,1969
1540110610,714,747
1540111511,714,718
1540112411,696,765
1540113310,861,832
1540114211,921,760
1540116011,1412,1411
1540116912,868,610
1540117811,845,674
1540118711,758,706
1540119611,658,576
1540120512,758,729
1540121411,833,852
1540122312,757,725
1540123210,557,928
1540124113,384,680
1540125011,783,662
1540125911,670,741
1540126812,672,447
1540127710,709,366
1540128612,747,555
1540129511,754,556
1540130410,706,529
1540131311,714,559
1540132211,771,481
1540133111,697,666
1540134011,686,534
1540134912,759,414
1540135808,791,339
1540136710,694,362
1540137610,646,563
1540139411,1471,1564
1540140311,619,1037
1540141210,904,763
1540142111,735,590
1540143011,724,538
1540143911,688,925
1540144810,631,758
1540145709,804,673
1540146611,713,872
1540147510,574,624
1540148411,716,905
1540149310,700,569
1540150210,649,431
1540151110,657,415
1540152009,600,584
1540152909,653,591
1540153809,643,864
1540154709,633,826
1540155608,578,1022
1540156508,586,1105
1540157409,664,678
1540158309,742,809
1540159211,690,648
1540160110,772,694
1540161009,806,798
1540161910,674,934
1540162810,604,621
1540163710,729,716
1540164608,757,535
1540165508,718,627
1540166408,614,555
1540167309,633,499
1540168209,669,407
1540169109,723,887
1540170009,685,659
1540170909,679,740
1540171809,663,793
1540172709,701,720
1540173609,794,1015
1540174509,786,1136
1540175408,761,952
1540176309,721,866
1540177209,750,711
1540178109,746,650
1540179008,792,696
1540179910,735,705
1540180809,685,582
1540181709,768,617
1540182610,815,759
1540183511,823,732
1540184409,762,624
1540185308,827,720
1540186210,871,617
1540187110,861,693
1540188009,794,637
1540188910,760,828
1540189809,901,752
1540190709,824,722
1540191610,812,768
1540192509,808,924
1540193409,855,1041
1540194310,691,753
1540195209,677,603
1540196109,697,741
1540197010,665,843
1540197909,644,788
1540198810,678,793
1540199710,800,789
1540200610,999,876
1540201511,831,737
1540202410,885,720
1540203309,985,479
1540204210,817,348
1540205109,697,261
1540206009,825,310
1540206909,971,322
1540207810,1016,422
1540208709,915,335
1540209608,846,397
1540210509,893,493
1540211409,803,359
1540212309,675,283
1540213209,967,357
1540214109,748,431
1540215008,725,193
1540215908,724,257
1540216809,821,290
1540217708,759,368
1540218609,794,340
1540219508,1099,462
1540220409,732,259
1540221309,837,532
1540222208,791,524
1540223109,915,525
1540224008,840,509
1540224907,767,705
1540225808,825,868
1540226708,751,844
1540227609,872,886
1540228508,749,870
1540229407,787,978
1540230308,708,787
1540231207,807,836
1540232107,800,879
1540233007,870,823
1540233908,718,722
1540234807,725,877
1540235708,688,1970
1540236606,804,2205
1540237507,854,1118
1540238408,885,1151
1540239307,929,1975
1540240207,879,752
1540241107,787,749
1540242006,816,734
1540242907,824,910
1540243807,733,665
1540244707,630,726
1540245606,610,732
1540246506,692,687
1540247405,744,673
1540248307,692,846
1540249206,748,683
1540251007,1530,6908
1540251908,836,4241
1540252808,912,1152
1540253708,847,685
1540254607,737,769
1540255507,687,598
1540256408,787,677
1540257309,787,725
1540258209,791,120
1540259109,656,49
1540260009,682,97
1540260908,703,100
1540261808,695,63
1540262708,624,100
1540263609,709,137
1540264508,731,97
1540265408,672,80
1540266308,650,90
1540267208,711,87
1540268108,784,100
1540269008,793,89
1540269908,755,77
1540270808,819,126
1540271708,777,126
1540272609,967,112
1540273508,858,134
1540274410,874,145
1540275308,848,225
1540276208,842,403
1540278008,1622,1433
1540278909,899,757
1540279808,844,799
1540280708,808,808
1540282509,1889,1623
1540283408,852,781
1540284308,807,609
1540285208,997,795
1540286107,825,858
1540287008,823,859
1540287906,746,747
1540288806,780,722
1540289708,802,1057
1540290607,806,1116
1540291508,785,1286
1540292407,790,1178
1540293308,816,1268
1540294207,983,1112
1540295107,948,1176
1540296006,940,1180
1540296906,971,1269
1540297806,1208,1255
1540298706,984,1155
1540299606,1133,1232
1540300507,1066,1376
1540301406,1024,1028
1540302306,1039,1111
1540303205,1104,1055
1540304106,1089,1078
1540305006,1125,1063
1540305906,1196,833
1540306806,966,735
1540307706,990,835
1540308607,963,594
1540309507,859,737
1540310406,928,733
1540311306,1034,965
1540312206,976,919
1540313105,868,762
1540314007,1069,825
1540314905,1884,1396
1540315806,1149,855
1540316706,998,740
1540317606,1035,787
1540318507,1040,993
1540319406,962,1082
1540320306,843,766
1540321207,866,789
1540322106,836,812
1540323008,921,692
1540323907,914,668
1540324806,876,746
1540325706,818,732
1540326606,816,742
1540327507,752,601
1540328405,782,715
1540329307,895,913
1540330206,850,657
1540331106,822,547
1540332007,765,657
1540332906,838,749
1540333806,782,538
1540334706,727,504
1540335607,843,681
1540336506,826,679
1540337405,758,666
1540338306,725,733
1540339207,788,809
1540340105,840,1010
1540341006,799,716
1540341906,794,687
1540342805,843,736
1540343707,871,703
1540344606,912,688
1540345507,788,548
1540346406,926,668
1540347306,824,558
1540348207,808,567
1540349106,701,593
1540350006,812,703
1540350905,806,642
1540351805,824,684
1540352705,751,723
1540353605,891,777
1540354505,839,655
1540355405,778,611
1540356305,715,549
1540357205,778,586
1540359004,1772,1201
1540359905,788,478
1540360805,921,612
1540361705,971,656
1540362605,894,849
1540363505,768,673
1540364405,1122,827
1540365305,1063,1047
1540366205,997,975
1540367104,969,891
1540368005,1074,958
1540368905,919,941
1540369804,939,859
1540370705,811,673
1540371605,859,888
1540372505,796,823
1540373404,789,716
1540374305,572,493
1540375204,548,551
1540376105,504,703
1540377004,576,768
1540377905,630,782
1540378805,538,680
1540379704,744,933
1540380605,889,1078
1540381505,1484,1421
1540382405,935,1184
1540383304,1087,1396
1540384204,1334,1560
1540385104,1304,1570
1540386004,908,1190
1540386905,872,1228
1540387804,842,1114
1540388704,831,1152
1540389604,691,1009
1540390503,705,1103
1540391404,860,1200
1540392304,1398,1593
1540393205,1309,1666
1540394104,1092,1362
1540395005,1112,1329
1540395905,1031,1403
1540396805,807,1491
1540397705,862,977
1540398605,1046,1225
1540399506,982,1114
1540400405,901,1175
1540401305,793,1048
1540402205,789,955
1540403105,860,1041
1540404006,916,1128
1540404906,900,1069
1540405806,1010,1043
1540406705,883,929
1540407605,1162,1160
1540408505,1059,1075
1540409405,1051,1055
1540410306,1150,1146
1540411205,995,1400
1540412106,753,1090
1540413006,733,1024
1540413906,647,1029
1540414806,686,1040
1540415706,731,882
1540416606,683,944
1540417506,651,981
1540418406,588,963
1540419305,481,937
1540420206,552,968
1540421107,485,829
1540422005,413,771
1540422906,466,847
1540423806,504,849
1540424706,621,973
1540425605,971,1096
