DateTime,Entries,UniqueIPs
1540004404,21880,21880
1540005304,21988,21988
1540006205,22066,22066
1540007105,22128,22128
1540008005,22297,22297
1540008905,22491,22491
1540009805,22528,22528
1540010705,22523,22523
1540011605,22506,22506
1540012505,22474,22474
1540013405,22570,22570
1540014305,22718,22718
1540015205,22796,22796
1540016105,22901,22901
1540017005,22962,22962
1540017905,22896,22896
1540018804,22869,22869
1540019705,22820,22820
1540020605,22810,22810
1540021505,22851,22851
1540022405,22889,22889
1540023304,22904,22904
1540024204,22748,22748
1540025105,22674,22674
1540026004,22611,22611
1540026905,22575,22575
1540028704,22053,22053
1540029605,21888,21888
1540030505,21697,21697
1540031405,21553,21553
1540032305,21381,21381
1540033204,21294,21294
1540034105,21142,21142
1540035004,20948,20948
1540035905,20640,20640
1540036805,20657,20657
1540037705,20714,20714
1540038605,20651,20651
1540039505,20563,20563
1540040405,20519,20519
1540041305,20539,20539
1540042205,20526,20526
1540043105,20586,20586
1540044005,20671,20671
1540044904,20805,20805
1540045805,20888,20888
1540046705,20911,20911
1540047604,20884,20884
1540048505,20737,20737
1540049405,20667,20667
1540050304,20634,20634
1540051205,20630,20630
1540052105,20672,20672
1540053005,20808,20808
1540053904,20733,20733
1540054804,20612,20612
1540055704,20453,20453
1540056605,20303,20303
1540057504,20297,20297
1540058405,20359,20359
1540059305,20541,20541
1540060205,20670,20670
1540061104,20724,20724
1540062005,20816,20816
1540062904,20951,20951
1540063804,21057,21057
1540064704,20940,20940
1540065605,20933,20933
1540066505,20721,20721
1540067405,20661,20661
1540068305,20526,20526
1540069204,20442,20442
1540070105,20321,20321
1540071005,19962,19962
1540071905,18840,18840
1540072804,17875,17875
1540073705,16851,16851
1540074604,15415,15415
1540075507,14261,14261
1540076406,13205,13205
1540077306,11813,11813
1540078207,10301,10301
1540079107,9352,9352
1540080007,8392,8392
1540080907,7484,7484
1540081807,7124,7124
1540082707,7149,7149
1540083608,7203,7203
1540084506,7140,7140
1540085407,7108,7108
1540086308,6659,6659
1540087208,6957,6957
1540088107,6993,6993
1540089007,7023,7023
1540089908,7041,7041
1540090807,6987,6987
1540091709,6958,6958
1540092608,6772,6772
1540093509,6801,6801
1540094409,6776,6776
1540095309,6814,6814
1540096208,6947,6947
1540097108,6981,6981
1540098008,7073,7073
1540098909,7008,7008
1540099809,6900,6900
1540100708,6773,6773
1540101609,6705,6705
1540102510,6874,6874
1540103409,6967,6967
1540104310,7041,7041
1540105209,7031,7031
1540106109,6933,6933
1540107010,6880,6880
1540109711,6991,6991
1540110610,6958,6958
1540111511,6954,6954
1540112411,6885,6885
1540113310,6914,6914
1540114211,7075,7075
1540116011,7076,7076
1540116912,7334,7334
1540117811,7505,7505
1540118711,7557,7557
1540119611,7639,7639
1540120512,7668,7668
1540121411,7649,7649
1540122312,7681,7681
1540123210,7310,7310
1540124113,7014,7014
1540125011,7135,7135
1540125911,7064,7064
1540126812,7289,7289
1540127710,7632,7632
1540128612,7824,7824
1540129511,8022,8022
1540130410,8199,8199
1540131311,8354,8354
1540132211,8644,8644
1540133111,8675,8675
1540134011,8827,8827
1540134912,9172,9172
1540135808,9624,9624
1540136710,9956,9956
1540137610,10039,10039
1540139411,9946,9946
1540140311,9528,9528
1540141210,9669,9669
1540142111,9814,9814
1540143011,10000,10000
1540143911,9763,9763
1540144810,9636,9636
1540145709,9767,9767
1540146611,9608,9608
1540147510,9558,9558
1540148411,9369,9369
1540149310,9500,9500
1540150210,9718,9718
1540151110,9960,9960
1540152009,9976,9976
1540152909,10038,10038
1540153809,9817,9817
1540154709,9624,9624
1540155608,9180,9180
1540156508,8661,8661
1540157409,8647,8647
1540158309,8580,8580
1540159211,8622,8622
1540160110,8700,8700
1540161009,8708,8708
1540161910,8448,8448
1540162810,8431,8431
1540163710,8444,8444
1540164608,8666,8666
1540165508,8757,8757
1540166408,8816,8816
1540167309,8950,8950
1540168209,9212,9212
1540169109,9048,9048
1540170009,9074,9074
1540170909,9013,9013
1540171809,8883,8883
1540172709,8864,8864
1540173609,8643,8643
1540174509,8293,8293
1540175408,8102,8102
1540176309,7957,7957
1540177209,7996,7996
1540178109,8092,8092
1540179008,8188,8188
1540179910,8218,8218
1540180809,8321,8321
1540181709,8472,8472
1540182610,8528,8528
1540183511,8619,8619
1540184409,8757,8757
1540185308,8864,8864
1540186210,9118,9118
1540187110,9286,9286
1540188009,9443,9443
1540188910,9375,9375
1540189809,9524,9524
1540190709,9626,9626
1540191610,9670,9670
1540192509,9554,9554
1540193409,9368,9368
1540194310,9306,9306
1540195209,9380,9380
1540196109,9336,9336
1540197010,9158,9158
1540197909,9014,9014
1540198810,8899,8899
1540199710,8910,8910
1540200610,9033,9033
1540201511,9127,9127
1540202410,9292,9292
1540203309,9798,9798
1540204210,10267,10267
1540205109,10703,10703
1540206009,11218,11218
1540206909,11867,11867
1540207810,12461,12461
1540208709,13041,13041
1540209608,13490,13490
1540210509,13890,13890
1540211409,14334,14334
1540212309,14726,14726
1540213209,15336,15336
1540214109,15653,15653
1540215008,16185,16185
1540215908,16652,16652
1540216809,17183,17183
1540217708,17574,17574
1540218609,18028,18028
1540219508,18665,18665
1540220409,19138,19138
1540221309,19443,19443
1540222208,19710,19710
1540223109,20100,20100
1540224008,20431,20431
1540224907,20493,20493
1540225808,20450,20450
1540226708,20357,20357
1540227609,20343,20343
1540228508,20222,20222
1540229407,20031,20031
1540230308,19952,19952
1540231207,19923,19923
1540232107,19844,19844
1540233007,19891,19891
1540233908,19887,19887
1540234807,19735,19735
1540235708,18453,18453
1540236606,17052,17052
1540237507,16788,16788
1540238408,16522,16522
1540239307,15476,15476
1540240207,15603,15603
1540241107,15641,15641
1540242006,15723,15723
1540242907,15637,15637
1540243807,15705,15705
1540244707,15609,15609
1540245606,15487,15487
1540246506,15492,15492
1540247405,15563,15563
1540248307,15409,15409
1540249206,15474,15474
1540251007,10096,10096
1540251908,6691,6691
1540252808,6451,6451
1540253708,6613,6613
1540254607,6581,6581
1540255507,6670,6670
1540256408,6780,6780
1540257309,6842,6842
1540258209,7513,7513
1540259109,8120,8120
1540260009,8705,8705
1540260908,9308,9308
1540261808,9940,9940
1540262708,10464,10464
1540263609,11036,11036
1540264508,11670,11670
1540265408,12262,12262
1540266308,12822,12822
1540267208,13446,13446
1540268108,14130,14130
1540269008,14834,14834
1540269908,15512,15512
1540270808,16205,16205
1540271708,16856,16856
1540272609,17711,17711
1540273508,18435,18435
1540274410,19164,19164
1540275308,19787,19787
1540276208,20226,20226
1540278008,20415,20415
1540278909,20557,20557
1540279808,20602,20602
1540280708,20602,20602
1540282509,20868,20868
1540283408,20939,20939
1540284308,21137,21137
1540285208,21339,21339
1540286107,21306,21306
1540287008,21270,21270
1540287906,21269,21269
1540288806,21327,21327
1540289708,21072,21072
1540290607,20762,20762
1540291508,20261,20261
1540292407,19873,19873
1540293308,19421,19421
1540294207,19292,19292
1540295107,19064,19064
1540296006,18824,18824
1540296906,18526,18526
1540297806,18479,18479
1540298706,18308,18308
1540299606,18209,18209
1540300507,17899,17899
1540301406,17895,17895
1540302306,17823,17823
1540303205,17872,17872
1540304106,17883,17883
1540305006,17945,17945
1540305906,18308,18308
1540306806,18539,18539
1540307706,18694,18694
1540308607,19063,19063
1540309507,19185,19185
1540310406,19380,19380
1540311306,19449,19449
1540312206,19506,19506
1540313105,19612,19612
1540314007,19856,19856
1540314905,20344,20344
1540315806,20638,20638
1540316706,20896,20896
1540317606,21144,21144
1540318507,21191,21191
1540319406,21071,21071
1540320306,21148,21148
1540321207,21225,21225
1540322106,21249,21249
1540323008,21478,21478
1540323907,21724,21724
1540324806,21854,21854
1540325706,21940,21940
1540326606,22014,22014
1540327507,22165,22165
1540328405,22232,22232
1540329307,22214,22214
1540330206,22407,22407
1540331106,22682,22682
1540332007,22790,22790
1540332906,22879,22879
1540333806,23123,23123
1540334706,23346,23346
1540335607,23508,23508
1540336506,23655,23655
1540337405,23747,23747
1540338306,23739,23739
1540339207,23718,23718
1540340105,23548,23548
1540341006,23631,23631
1540341906,23738,23738
1540342805,23845,23845
1540343707,24013,24013
1540344606,24237,24237
1540345507,24477,24477
1540346406,24735,24735
1540347306,25001,25001
1540348207,25242,25242
1540349106,25350,25350
1540350006,25459,25459
1540350905,25623,25623
1540351805,25763,25763
1540352705,25791,25791
1540353605,25905,25905
1540354505,26089,26089
1540355405,26256,26256
1540356305,26422,26422
1540357205,26614,26614
1540359004,27185,27185
1540359905,27495,27495
1540360805,27804,27804
1540361705,28119,28119
1540362605,28164,28164
1540363505,28259,28259
1540364405,28554,28554
1540365305,28570,28570
1540366205,28592,28592
1540367104,28670,28670
1540368005,28786,28786
1540368905,28764,28764
1540369804,28844,28844
1540370705,28982,28982
1540371605,28953,28953
1540372505,28926,28926
1540373404,28999,28999
1540374305,29078,29078
1540375204,29075,29075
1540376105,28876,28876
1540377004,28684,28684
1540377905,28532,28532
1540378805,28390,28390
1540379704,28201,28201
1540380605,28012,28012
1540381505,28075,28075
1540382405,27826,27826
1540383304,27517,27517
1540384204,27291,27291
1540385104,27025,27025
1540386004,26743,26743
1540386905,26387,26387
1540387804,26115,26115
1540388704,25794,25794
1540389604,25476,25476
1540390503,25078,25078
1540391404,24738,24738
1540392304,24543,24543
1540393205,24186,24186
1540394104,23916,23916
1540395005,23699,23699
1540395905,23327,23327
1540396805,22643,22643
1540397705,22528,22528
1540398605,22349,22349
1540399506,22217,22217
1540400405,21943,21943
1540401305,21688,21688
1540402205,21522,21522
1540403105,21341,21341
1540404006,21129,21129
1540404906,20960,20960
1540405806,20927,20927
1540406705,20881,20881
1540407605,20883,20883
1540408505,20867,20867
1540409405,20863,20863
1540410306,20867,20867
1540411205,20462,20462
1540412106,20125,20125
1540413006,19834,19834
1540413906,19452,19452
1540414806,19098,19098
1540415706,18947,18947
1540416606,18686,18686
1540417506,18356,18356
1540418406,17981,17981
1540419305,17525,17525
1540420206,17109,17109
1540421107,16765,16765
1540422005,16407,16407
1540422906,16026,16026
1540423806,15681,15681
1540424706,15329,15329
1540425605,15204,15204
1540426506,15025,15025
1540427407,14885,14885
1540428306,14884,14884
1540429207,14840,14840
1540430106,14744,14744
1540431006,14717,14717
1540431906,14771,14771
1540432806,14860,14860
1540433706,15140,15140
1540434606,15400,15400
1540436405,15990,15990
1540437306,16266,16266
1540438206,16648,16648
1540439106,17127,17127
1540440005,17507,17507
1540440906,17802,17802
1540441807,18179,18179
1540442706,18485,18485
1540443606,18619,18619
1540444507,18687,18687
1540445407,18673,18673
1540446307,18724,18724
1540447207,18715,18715
1540448106,18578,18578
1540449006,18374,18374
1540449907,18264,18264
1540450806,18229,18229
1540451707,18413,18413
1540452607,18479,18479
1540453506,18440,18440
1540454406,18439,18439
1540455305,18374,18374
1540456206,18402,18402
1540457106,18368,18368
1540458006,18324,18324
1540458905,18226,18226
1540459806,18484,18484
1540460706,18643,18643
1540461606,18696,18696
1540462506,18718,18718
