DateTime,AddedIPs,RemovedIPs
1512623538,197,4845
1512709977,5496,110
1512796630,3646,4070
1512882655,3269,3760
1512969443,3436,3271
1513054931,3318,3510
1513142018,3287,3282
1513228632,3527,3209
1513314756,2958,3337
1513401417,2589,3170
1513487812,2499,2742
1513573965,2485,2584
1513660370,2828,2524
1513746798,2822,2695
1513833184,2647,2778
1513919589,2691,2651
1514006233,2550,2683
1514092597,2423,2631
1514178694,2255,2373
1514265317,2591,2312
1514351757,2615,2445
1514438022,2627,2530
1514524373,2504,2677
1514610775,2548,2518
1514697092,2380,2577
1514783594,2116,2449
1514869990,2177,2290
1514956352,2567,2225
1515042745,2556,2330
1515129206,2296,2577
1515215664,2596,2324
1515302217,2335,2586
1515388387,2126,2396
1515475203,2691,2194
1515561264,2678,2519
1515647609,2622,2602
1515733973,2610,2567
1517651102,3122,3527
1517721261,2225,2433
1517807607,2258,2305
1517894241,2672,2231
1517980385,2648,2580
1518066773,3870,2566
1518153424,2574,3851
1518240021,2542,2577
1518326477,2511,2662
1518412877,2591,2591
1518499029,2477,2580
1518585671,2302,2450
1518671802,2367,2378
1518758220,2276,2376
1518844630,2157,2299
1518930833,2172,2183
1519017431,2035,2170
1519103593,2170,2114
1519189972,2098,2134
1519276622,2181,2062
1519362635,2352,2196
1519449109,2179,2249
1519535822,2066,2075
1519622031,1987,2113
1519708524,2376,1961
1519794824,2071,2234
1519881459,2183,2112
1519967608,2545,2142
1520054258,2962,2516
1520140397,1894,3116
1520226827,3896,1984
1520313200,2367,3865
1520399876,2125,2195
1520486030,2329,2108
1520572418,2228,2278
1520658862,2359,2304
1520745203,1977,2384
1520831871,2087,2086
1520917996,2447,2012
1521004280,2228,2286
1521091051,2147,2245
1521177166,2021,2192
1521263601,2043,2155
1521350014,1954,2106
1521436395,1934,2023
1521522820,2238,1929
1521609171,2150,2058
1521695566,2158,2131
1521781978,3511,2162
1521868373,2262,3305
1521954851,2521,2301
1522041243,2846,2603
1522127839,3637,2935
1522214334,3373,3689
1522300625,3206,3381
1522386840,3192,3251
1522473272,3194,3237
1522559604,2879,3213
1522646000,2661,2840
1522732389,2894,2542
1522818796,3839,2803
1522905184,1944,3829
1522991569,2417,2283
1523078011,2628,2356
1523164368,2148,2586
1523251021,2322,2245
1523337193,2342,2273
1523423575,2496,2301
1523510216,2918,2314
1523596379,2366,2918
1523682768,2347,2462
1523769431,2333,2447
1523855431,1894,2430
1523942244,2296,1906
1524028640,2103,2062
1524093954,0,0
1524097451,0,0
1524114789,2068,2121
1524124419,0,0
1524201350,2150,2107
1524287684,2243,2116
1524374229,2373,2324
1524460232,2000,2449
1524546760,2493,2024
1524633333,2111,2302
1524720025,2331,2131
1524806247,2323,2279
1524892390,2173,2382
1524979088,2034,2193
1525065196,1951,2159
1525151812,1949,1981
1525238004,1921,1918
1525324650,2376,1988
1525411058,2261,2141
1525497201,1954,2287
1525584009,1916,1993
1525669979,2335,2044
1525756619,2843,2343
1525842798,2646,2818
1525929433,2743,2724
1526015569,2469,2817
1526101883,2555,2375
1526188596,2371,2671
1526275324,2128,2469
1526309744,0,0
1526361421,2406,2156
1526447911,2153,2240
1526534023,2165,2137
1526966081,4226,2273
1527052392,2050,3879
1527138788,2598,2143
1527225063,2556,2440
1527291366,0,0
1527293567,0,0
1527295616,0,0
1527298174,0,0
1527299622,0,0
1527300924,0,0
1527302281,0,0
1527303236,0,0
1527304648,0,0
1527305675,0,0
1527306924,0,0
1527311257,0,0
1527312724,2479,2598
1527314177,0,0
1527315476,0,0
1527316688,0,0
1527317574,0,0
1527318601,0,0
1527319694,0,0
1527320972,0,0
1527322916,0,0
1527325328,0,0
1527336905,0,0
1527338233,0,0
1527339173,0,0
1527340399,0,0
1527341666,0,0
1527342566,0,0
1527343556,0,0
1527344858,0,0
1527346523,0,0
1527347876,0,0
