DateTime,Entries,UniqueIPs
1535975431,1868,1868
1535981431,1907,1907
1535986832,1920,1920
1535992831,1924,1924
1536000631,1901,1901
1536007833,1788,1788
1536013832,1818,1818
1536019831,1806,1806
1536024632,1820,1820
1536030630,1827,1827
1536037231,1784,1784
1536043231,1801,1801
1536051036,1800,1800
1536057632,1812,1812
1536064832,1799,1799
1536069031,1929,1929
1536075633,2002,2002
1536082243,2006,2006
1536087632,2030,2030
1536093633,2047,2047
1536100233,2066,2066
1536106231,2061,2061
1536112832,2099,2099
1536118831,2110,2110
1536123632,2083,2083
1536129032,2134,2134
1536134439,2198,2198
1536142851,1982,1982
1536150032,1897,1897
1536156631,1912,1912
1536163232,2035,2035
1536168633,2106,2106
1536174632,2116,2116
1536183631,1884,1884
1536191432,1908,1908
1536198032,1956,1956
1536206431,1877,1877
1536213031,1817,1817
1536219631,1793,1793
1536226831,1832,1832
1536234031,1879,1879
1536240632,2012,2012
1536246038,2043,2043
1536251432,2043,2043
1536257432,2088,2088
1536264033,2120,2120
1536270632,1985,1985
1536277231,1940,1940
1536283831,1950,1950
1536289831,1970,1970
1536297633,1883,1883
1536304234,1956,1956
1536309031,1980,1980
1536315032,2013,2013
1536323432,1911,1911
1536328831,1905,1905
1536334832,1983,1983
1536342032,2075,2075
1536349233,2071,2071
1536357032,1984,1984
1536364231,1952,1952
1536370231,2007,2007
1536376232,1993,1993
1536383431,1996,1996
1536390032,2054,2054
1536396033,2078,2078
1536402634,2068,2068
1536407448,2158,2158
1536413432,2188,2188
1536418831,2166,2166
1536424232,2183,2183
1536429632,2222,2222
1536435632,2265,2265
1536441032,2306,2306
1536446432,2284,2284
1536453631,2255,2255
1536460831,2246,2246
1536468632,2184,2184
1536475231,2219,2219
1536483032,2204,2204
1536490833,2127,2127
1536496233,2645,2645
1536503433,2723,2723
1536510034,2758,2758
1536517836,2744,2744
1536525034,2687,2687
1536531634,2796,2796
1536540039,4767,4767
1536555042,4697,4697
1536566439,4737,4737
1536577241,4863,4863
1536589839,4695,4695
1536601240,4682,4682
1536613239,4689,4689
1536623440,4741,4741
1536634257,4760,4760
1536645640,4730,4730
1536657039,4419,4419
1536665440,4593,4593
1536676839,4674,4674
1536689439,4573,4573
1536702039,4493,4493
1536712838,4555,4555
1536724839,4562,4562
1536735039,4617,4617
1536746439,4473,4473
1536757239,4384,4384
1536768038,4369,4369
1536779438,4237,4237
1536791437,4165,4165
1536802836,4080,4080
1536814836,4037,4037
1536824437,4099,4099
1536835237,4117,4117
1536846037,4042,4042
1536855638,4007,4007
1536865237,3995,3995
1536874837,4013,4013
1536885036,4035,4035
1536894636,4005,4005
1536904837,4112,4112
1536913236,4272,4272
1536922838,4256,4256
1536932437,4173,4173
1536942038,4109,4109
1536952257,4147,4147
1536960042,4148,4148
1536968436,4308,4308
1536979236,4256,4256
1536988239,4228,4228
1536996639,4222,4222
1537006836,4065,4065
1537017636,4032,4032
1537027237,4086,4086
1537036237,4112,4112
1537045236,4063,4063
1537053040,4957,4957
1537065042,5495,5495
1537076442,5477,5477
1537087843,5587,5587
1537099843,5545,5545
1537113042,5401,5401
1537125043,5423,5423
1537137043,5517,5517
1537148442,5490,5490
1537159841,5340,5340
1537170642,5522,5522
1537183242,5443,5443
1537195243,5342,5342
1537208441,5238,5238
1537219242,5348,5348
1537230641,5275,5275
1537241442,5238,5238
1537252241,5247,5247
1537263041,5194,5194
1537275040,5088,5088
1537287641,4938,4938
1537299641,4911,4911
1537311641,4922,4922
1537323639,4838,4838
1537335640,4748,4748
1537347639,4805,4805
1537357241,4859,4859
1537368641,4872,4872
1537379440,4888,4888
1537389639,4944,4944
1537401041,4975,4975
1537411841,5022,5022
1537422640,4996,4996
1537433440,5010,5010
1537443642,5072,5072
1537453240,5019,5019
1537463441,5095,5095
1537474839,4953,4953
1537485041,4971,4971
1537495841,5006,5006
1537506647,5014,5014
1537517443,5203,5203
1537526442,5142,5142
1537537841,5109,5109
1537549245,4978,4978
1537560639,4740,4740
1537572040,4770,4770
1537582856,4709,4709
1537592440,4738,4738
1537602039,4610,4610
1537612838,4534,4534
1537623638,4472,4472
1537634440,4451,4451
1537644646,4547,4547
1537654239,4552,4552
1537664442,4571,4571
1537674037,4485,4485
1537682441,4476,4476
1537693251,4325,4325
1537702839,4290,4290
1537713637,4271,4271
1537725636,4174,4174
1537735236,4113,4113
1537745437,4165,4165
1537755038,4217,4217
1537763437,4267,4267
1537771837,4259,4259
1537781438,4248,4248
1537791037,4139,4139
1537803635,3705,3705
1537813836,3623,3623
1537822836,3616,3616
1537831235,3620,3620
1537839035,3666,3666
1537846834,3675,3675
1537855243,3729,3729
1537863035,3668,3668
1537871440,3648,3648
1537878035,3668,3668
1537885835,3743,3743
1537893655,3676,3676
1537901436,3552,3552
1537909835,3442,3442
1537919434,3364,3364
1537929033,3204,3204
1537938632,3131,3131
1537947041,3161,3161
1537955434,3128,3128
1537963234,3229,3229
1537970434,3263,3263
1537977035,3309,3309
1537984234,3300,3300
1537990834,3258,3258
1537998033,3269,3269
1538005233,3286,3286
1538013033,3239,3239
1538020834,3114,3114
1538027433,3135,3135
1538034638,3100,3100
1538041834,3096,3096
1538048447,3159,3159
1538056250,3156,3156
1538063452,3221,3221
1538070660,3267,3267
1538077837,3246,3246
1538084451,3258,3258
1538091652,3275,3275
1538098247,3303,3303
1538104245,3295,3295
1538111445,3220,3220
1538118675,3408,3408
1538125284,3362,3362
1538131255,3352,3352
1538139044,3262,3262
1538148049,3183,3183
1538155851,3182,3182
1538163052,3207,3207
1538170852,3096,3096
1538179249,3072,3072
1538187043,3046,3046
1538194850,3102,3102
1538201452,3143,3143
1538209249,3198,3198
1538217055,3108,3108
1538224856,2950,2950
1538232657,3040,3040
1538239258,3061,3061
1538247659,3054,3054
1538254263,3002,3002
1538262039,3015,3015
1538268634,2999,2999
1538275234,3015,3015
1538282435,2994,2994
1538289646,3009,3009
1538296247,2961,2961
1538303457,2905,2905
1538310649,2889,2889
1538317248,2892,2892
1538323850,2991,2991
1538331649,2965,2965
1538339450,2851,2851
1538346649,2826,2826
1538353249,2857,2857
1538359845,2863,2863
1538367050,2869,2869
1538374249,2882,2882
1538380849,2796,2796
1538387451,2710,2710
1538394649,2715,2715
1538401840,2685,2685
1538407846,2769,2769
1538414444,2781,2781
1538421043,2776,2776
1538428247,2790,2790
1538434846,2819,2819
1538439644,2881,2881
1538446247,2891,2891
1538451045,2905,2905
1538456443,2884,2884
1538467848,2909,2909
1538475045,2900,2900
1538482252,2905,2905
1538487634,2855,2855
1538494835,2804,2804
1538501434,2861,2861
1538507434,2911,2911
1538512234,2949,2949
