DateTime,AddedIPs,RemovedIPs
1534965027,165,56
1534979425,97,63
1534987225,29,70
1535001625,35,115
1535013027,49,45
1535026826,59,23
1535041226,105,226
1535055626,67,58
1535068225,54,32
1535083225,67,49
1535097027,89,61
1535109027,68,140
1535118627,43,210
1535129426,43,133
1535142626,75,124
1535153425,36,233
1535164825,141,0
1535176224,73,71
1535187027,67,33
1535198427,110,27
1535211026,127,62
1535221827,177,94
1535235026,56,80
1535256626,36,227
1535268627,60,59
1535281827,94,121
1535292627,98,76
1535319025,112,126
1535329825,101,96
1535342425,87,106
1535353227,50,0
1535364626,86,138
1535377226,48,113
1535389226,76,160
1535400026,53,0
1535410825,131,86
1535422224,58,84
1535434225,47,33
1535445027,77,42
1535455827,56,75
1535466627,88,107
1535477426,55,122
1535488226,94,136
1535498425,35,68
1535510424,56,87
1535521824,83,93
1535533227,101,105
1535544027,68,63
1535556626,46,53
1535567426,95,55
1535577626,89,57
1535590225,84,90
1535601625,74,98
1535611825,196,74
1535623828,82,65
1535637626,59,85
1535648427,127,90
1535659226,103,90
1535669426,44,76
1535682024,40,69
1535694024,82,40
1535704826,85,77
1535715026,62,106
1535727625,88,101
1535739626,66,74
1535753425,67,68
1535765424,82,74
1535776224,107,120
1535787026,55,100
1535797226,43,53
1535809226,72,87
1535818826,101,68
1535830826,84,109
1535842825,92,75
1535853624,80,86
1535864425,60,46
1535874626,75,63
1535886027,100,78
1535898026,274,75
1535910026,117,87
1535918425,43,55
1535931625,96,45
1535938824,71,53
1535946625,78,0
1535961026,86,47
1535975426,77,73
1535986826,74,160
1536000625,78,73
1536013826,126,142
1536024624,94,57
1536037224,53,87
1536051026,80,212
1536064826,91,102
1536075626,184,139
1536087626,84,178
1536100226,76,61
1536112824,92,0
1536123624,98,162
1536134427,173,85
1536142826,87,0
1536156626,60,72
1536168626,71,45
1536174626,46,45
1536183625,60,85
1536198024,116,0
1536206424,47,80
1536219627,65,92
1536234026,75,88
1536246026,66,128
1536257426,126,71
1536270626,120,121
1536283824,58,170
1536297625,64,0
1536309026,109,192
1536323427,110,59
1536334826,107,123
1536349226,110,95
1536357025,47,75
1536370224,50,0
1536383424,121,205
1536396025,98,0
1536407426,62,151
1536418825,99,0
1536429625,132,57
1536441025,144,73
1536453623,82,76
1536460823,60,164
1536475223,94,41
1536483026,33,37
1536496226,548,81
1536510026,207,86
1536517826,44,63
1536531626,169,66
1536540024,1774,42
1536566426,614,129
1536577227,170,85
1536589826,118,118
1536601226,65,55
1536613225,57,115
1536623425,161,56
1536634224,125,312
1536645624,56,0
1536657026,43,112
1536665426,401,159
1536676825,203,91
1536689425,146,163
1536702025,90,141
1536712824,84,135
1536724824,85,90
1536735023,26,357
1536746427,94,223
1536757227,116,104
1536768026,49,131
1536779426,157,109
1536791424,315,81
1536802824,115,70
1536814824,112,73
1536824426,79,199
1536835226,70,184
1536846025,62,131
1536855626,21,313
1536865225,82,340
1536874824,96,0
1536885024,98,146
1536894623,64,117
1536904823,270,77
1536913226,258,103
1536922826,174,76
1536932425,82,65
1536942025,78,0
1536952225,73,132
1536960027,66,199
1536968423,57,0
1536979223,85,70
1536988223,70,216
1536996627,49,143
1537006825,125,121
1537017625,45,86
1537027225,133,101
1537036225,216,60
1537045225,120,67
1537053024,888,21
1537065024,783,48
1537076423,271,100
1537087826,125,230
1537099826,73,97
1537113025,54,209
1537125026,92,240
1537137025,125,158
1537148424,41,96
1537159823,277,114
1537170626,211,106
1537183225,294,99
1537195226,109,108
1537208424,105,148
1537219225,92,100
1537230623,35,106
1537241424,62,369
1537252223,85,150
1537263026,111,298
1537275025,62,129
1537287626,276,116
1537299625,153,85
1537311625,272,55
1537323623,136,91
1537335624,74,133
1537347626,79,139
1537357226,28,157
1537368626,69,415
1537379425,123,179
1537389624,72,262
1537401024,70,141
1537411824,283,85
1537422623,151,74
1537433426,261,53
1537443625,140,0
1537453225,126,262
1537463425,53,0
1537474824,72,83
1537485025,25,77
1537495823,56,227
1537506623,204,160
1537517426,226,232
1537526426,62,85
1537537825,228,108
1537549226,138,71
1537560625,208,95
1537572024,128,47
1537582823,72,195
1537592423,65,112
1537602026,26,0
1537612826,12,123
1537623626,47,500
1537634426,122,0
1537644625,149,359
1537654225,44,146
1537664424,201,101
1537674023,116,83
1537682423,202,75
1537693226,97,67
1537702826,90,126
1537713626,69,221
1537725625,46,80
1537735225,16,107
1537745425,45,241
1537755024,83,130
1537763424,143,201
1537771824,43,140
1537781426,84,133
1537791026,186,77
1537803625,92,85
1537813826,161,56
1537822825,67,76
1537831224,85,93
1537839023,40,0
1537846823,50,130
1537855224,20,66
1537863027,19,126
1537871427,46,229
1537885826,163,276
1537893625,30,310
1537901425,34,119
1537909826,88,110
1537919424,123,67
1537929024,67,54
1537938623,114,42
1537947033,85,55
1537955426,61,93
1537963226,47,153
1537977026,63,55
1537990825,28,88
1538005224,81,333
1538013023,91,135
1538027423,46,146
1538041827,132,183
1538056239,175,148
1538070645,208,106
1538084439,117,143
1538098235,88,83
1538111434,24,86
1538125246,32,198
1538139034,118,146
1538148036,34,127
1538155836,21,103
1538163035,94,0
1538170836,61,66
1538179229,65,0
1538187027,73,41
1538201431,87,65
1538209235,41,149
1538217039,34,0
1538224842,16,60
1538239235,86,0
1538247639,58,161
1538262026,105,86
1538275224,46,205
1538289634,109,132
1538303442,99,62
1538317234,133,65
1538331636,83,120
1538339437,43,136
1538353229,70,63
1538367035,32,135
1538380838,69,131
1538394637,65,137
1538407837,78,83
1538421034,115,68
1538434835,119,56
1538446236,103,71
1538456429,93,112
1538467836,49,136
1538482238,56,117
1538494827,36,147
1538507425,94,97
1538517625,112,62
1538529025,54,0
1538541023,103,52
1538552427,106,39
1538563828,144,56
1538577626,87,62
1538584826,53,69
1538592626,29,62
1538607026,47,0
1538614225,52,134
1538628625,45,0
1538635824,75,191
1538643627,30,0
1538658027,62,75
1538671826,101,26
1538679026,85,91
1538693426,609,0
1538703025,1774,128
1538715625,307,105
1538725826,116,41
1538736627,66,132
1538747426,43,184
1538756427,53,103
1538766626,130,0
1538775626,47,183
1538785225,965,0
1538800226,1967,175
1538814628,300,0
1538827227,191,95
1538841627,604,67
1538857226,276,298
1538886625,116,333
1538900426,57,770
1538914828,90,169
1538931026,209,1210
1538944226,177,0
1538956825,170,904
1538968225,101,0
1538981425,325,204
1538995227,137,252
1539007226,64,455
1539019825,45,0
1539032426,46,518
1539043825,129,271
1539057023,82,454
1539069028,189,227
1539080428,103,156
1539090027,107,0
1539100226,119,111
1539110426,177,120
1539121226,349,168
1539131426,135,147
1539140425,74,235
1539150625,61,0
1539160828,39,98
1539171628,58,114
1539181827,79,138
