DateTime,AddedIPs,RemovedIPs
1539846489,10,10
1539846968,14,5
1539847445,4,6
1539847929,7,7
1539848405,8,9
1539848887,9,9
1539849367,9,7
1539849849,5,6
1539850325,9,8
1539850811,5,7
1539851286,11,7
1539851766,3,2
1539852248,1,3
1539852739,3,1
1539853222,1,0
1539855612,0,1
1539856570,1,1
1539857050,1,0
1539863286,0,1
1539865686,1,0
1539870008,0,1
1539870966,1,0
1539878412,0,1
1539879126,1,1
1539879611,1,0
1539886087,0,1
1539887048,1,0
1539896166,0,1
1539896648,1,0
1539903846,0,1
1539904330,1,0
1539910569,0,1
1539911527,6,11
1539912006,9,7
1539912496,11,14
1539912968,12,8
1539913451,9,11
1539913928,11,9
1539914413,11,11
1539914890,10,11
1539915376,8,9
1539915848,8,9
1539916327,8,9
1539916805,9,8
1539917286,5,8
1539917766,11,11
1539918251,7,9
1539918726,10,8
1539919212,6,8
1539919688,7,7
1539920165,14,11
1539920645,7,7
1539921128,7,9
1539921653,9,10
1539922087,7,4
1539922566,4,5
1539923055,6,8
1539923528,6,6
1539924010,7,8
1539924485,8,8
1539924970,9,6
1539925447,7,8
1539925926,7,6
1539926408,5,7
1539927127,7,8
1539927846,10,9
1539928325,7,11
1539928813,16,13
1539929286,7,9
1539929770,10,8
1539930244,9,10
1539930727,9,9
1539931206,9,9
1539931690,8,3
1539932166,19,7
1539932647,6,7
1539933125,13,13
1539933619,7,5
1539934084,7,5
1539934578,6,8
1539935046,11,10
1539935529,8,9
1539936017,7,11
1539936488,13,7
1539936970,5,6
1539937445,8,10
1539937929,7,7
1539938405,5,2
1539939851,1,0
1539941288,0,1
1539941768,1,0
1539950888,0,1
1539951858,1,0
1539958091,0,1
1539958566,1,0
1539963365,0,1
1539963847,1,0
1539972965,0,1
1539974406,1,1
1539974895,1,0
1539981609,0,1
1539982567,1,0
1539997928,2,13
1539998411,14,7
1539998888,3,7
1539999367,11,11
1539999844,8,7
1540000330,8,8
1540000808,9,6
1540001291,10,9
1540001766,8,11
1540002245,7,6
1540002727,9,11
1540003207,9,7
1540003688,5,6
1540004168,5,8
1540004646,9,10
1540005129,9,5
1540005604,6,10
1540006087,10,11
1540006564,11,7
1540007047,4,5
1540007525,4,10
1540008018,12,6
1540008487,5,5
1540009209,8,10
1540009929,8,7
1540010405,6,7
1540010884,8,6
