DateTime,AddedIPs,RemovedIPs
1530769502,10,0
1530772202,1,0
1530772502,0,9
1530772802,0,2
1530774902,0,1
1530775501,0,1
1530776102,0,1
1530839702,7,0
1530840002,1,0
1530841802,1,0
1530842402,1,0
1530842702,3,0
1530845402,0,1
1530845702,0,1
1530846002,0,9
1530846601,0,1
1530847802,1,0
1530849002,3,0
1530849302,7,0
1530849602,1,0
1530853502,0,1
1530854102,0,1
1530854702,0,1
1530855002,0,1
1530855302,0,8
1530855602,0,1
1530858002,3,0
1530858301,8,0
1530858602,1,0
1530858902,0,1
1530861002,0,2
1530861302,0,5
1530864002,0,4
1530875702,3,0
1530878702,0,3
1530890102,1,0
1530893402,0,1
1530908402,4,0
1530910802,0,4
1530925502,1,0
1530925802,0,1
1530926102,1,0
1530926702,1,0
1530927301,1,0
1530927602,2,0
1530927901,8,0
1530932701,1,1
1530945302,0,1
1530946802,0,1
1530947402,0,1
1530947702,0,5
1530948302,0,5
1530980102,3,0
1530983102,0,3
1531005302,10,0
1531006802,1,0
1531007702,2,0
1531016402,1,1
1531020002,1,1
1531031702,0,1
1531033202,0,1
1531033802,0,1
1531034102,0,8
1531034402,0,1
1531037102,0,1
1531098902,2,0
1531100101,9,0
1531102502,1,0
1531102802,1,0
1531118402,0,1
1531119002,0,1
1531120202,0,11
1531176902,1,0
1531177502,11,0
1531179003,1,0
1531198502,0,1
1531199401,0,10
1531199702,0,1
1531201202,0,1
1531369502,1,1
1531372802,1,1
1531513502,1,1
1531517102,1,1
1531678502,1,0
1531732202,1,0
1531809002,1,0
1531822201,1,0
1531826402,1,0
1531827902,0,1
1531828202,1,0
1531830302,0,1
1531830602,1,0
1531832102,0,1
1531832702,1,0
1531912202,0,1
1531912802,1,0
1531947902,0,1
1531949102,1,0
1531986902,0,1
1531987502,1,0
1531989301,0,1
1531989902,1,0
1531991702,0,1
1531992301,1,0
1532012702,0,1
1532013002,1,0
1532022902,0,1
1532023202,1,0
1532118301,0,1
1532118902,1,0
1532121302,0,1
1532121602,1,0
