DateTime,Entries,UniqueIPs
1510977542,10262,10262
1511063942,10257,10257
1511150342,10314,10314
1511236742,10429,10429
1511323142,10501,10501
1511409541,10594,10594
1511495942,10646,10646
1511582342,10756,10756
1511668741,10902,10902
1511755142,10954,10954
1511841542,10987,10987
1511927942,10959,10959
1512014342,10916,10916
1512100742,10796,10796
1512187142,10915,10915
1512273542,11103,11103
1512359941,11158,11158
1512446342,11136,11136
1512532742,11096,11096
1512619142,11069,11069
1512705542,11420,11420
1512791942,11605,11605
1512878342,11581,11581
1512964742,11545,11545
1513051142,11534,11534
1513137543,11510,11510
1513223942,11455,11455
1513310342,11411,11411
1513396742,11411,11411
1513483142,11307,11307
1513569542,11258,11258
1513655942,11273,11273
1513742341,11201,11201
1513828741,11095,11095
1513915142,11113,11113
1514001542,11107,11107
1514087942,11103,11103
1514174341,11136,11136
1514260742,11056,11056
1514347142,10983,10983
1514433542,11247,11247
1514519942,11401,11401
1514606342,11445,11445
1514692741,11533,11533
1514779142,11478,11478
1514865542,11385,11385
1514951943,11295,11295
1515038341,11195,11195
1515124742,10716,10716
1515211142,10668,10668
1515297542,10699,10699
1515383942,10610,10610
1515470342,10560,10560
1515556742,10504,10504
1515643142,10527,10527
1515729542,10503,10503
1515815942,10467,10467
1515902342,10432,10432
1515988742,10396,10396
1516075142,9798,9798
1516161542,9832,9832
1516247942,9847,9847
1516334342,9826,9826
1516420742,9850,9850
1516507142,9878,9878
1516593542,9829,9829
1516679942,9744,9744
1516766342,9697,9697
1516852742,9738,9738
1516939142,9700,9700
1517025542,9636,9636
1517111942,9405,9405
1517198342,9528,9528
1517284742,9678,9678
1517371142,9793,9793
1517457542,9893,9893
1517543942,9931,9931
1517630343,10103,10103
1517716742,10296,10296
1517803142,10459,10459
1517889542,10642,10642
1517975942,10718,10718
1518062342,10825,10825
1518148742,10816,10816
1518235142,10746,10746
1518321542,10784,10784
1518407942,10744,10744
1518494342,10697,10697
1518580742,10753,10753
1518667142,10680,10680
1518753542,10600,10600
1518839942,10668,10668
1518926342,10689,10689
1519012742,10654,10654
1519099142,10795,10795
1519185542,10784,10784
1519271942,10678,10678
1519358342,10723,10723
1519444742,10885,10885
1519531142,10760,10760
1519617542,10663,10663
1519703942,10516,10516
1519790342,10550,10550
1519876742,10035,10035
1519963142,9855,9855
1520049542,9596,9596
1520135942,9619,9619
1520222342,9474,9474
1520308742,9187,9187
1520395142,8898,8898
1520481542,8677,8677
1520567942,8633,8633
1520654342,8732,8732
1520740742,8917,8917
1520827142,9015,9015
1520913542,8972,8972
1520999942,8974,8974
1521086341,8889,8889
1521172742,8952,8952
