DateTime,AddedIPs,RemovedIPs
1540097523,8,34
1540098124,5,53
1540098724,3,0
1540099323,1,20
1540099925,27,24
1540100523,5,0
1540101724,7,77
1540102325,11,0
1540102924,4,10
1540103523,8,53
1540104123,5,0
1540104723,8,33
1540105323,3,51
1540105926,4,20
1540106524,6,0
1540107124,5,15
1540107724,4,27
1540108324,4,27
1540108923,5,0
1540109524,9,51
1540110123,3,0
1540110723,7,24
1540111323,10,9
1540111923,10,0
1540112523,3,54
1540113124,3,0
1540113724,5,45
1540114923,2,25
1540116122,5,47
1540117322,13,59
1540117922,5,56
1540118524,11,0
1540119724,10,17
1540120324,10,67
1540120923,3,28
1540122123,18,25
1540123323,5,45
1540124524,3,16
1540125723,4,47
1540127523,4,52
1540128123,3,24
1540128723,3,0
1540129323,3,0
1540129923,4,10
1540130523,6,55
1540131124,5,0
1540131723,10,33
1540132923,3,56
1540133524,2,0
1540134124,2,18
1540134723,6,21
1540135324,2,17
1540135923,5,16
1540136523,4,0
1540137723,5,70
1540138324,6,0
1540138924,1,46
1540139523,1,34
1540140123,3,10
1540141323,1,0
1540141923,2,6
1540142523,8,0
1540143723,3,63
1540144323,5,0
1540144923,2,17
1540146124,7,26
1540146723,6,0
1540147324,7,12
1540148523,3,18
1540149124,4,0
1540149723,10,12
1540150323,4,0
1540150923,4,0
1540151526,22,28
1540152124,9,11
1540153324,2,0
1540154523,6,34
1540155123,3,29
1540155723,5,0
1540156324,5,55
1540156923,3,0
1540157523,0,17
1540158124,5,18
1540159323,9,16
1540160524,0,29
1540161123,2,20
1540161723,6,22
1540162923,6,29
1540163524,4,0
1540164123,1,15
1540165323,10,39
1540165923,7,72
1540166525,4,0
1540167724,6,25
1540168323,3,0
1540170123,2,31
1540170724,1,21
1540171324,7,24
1540172524,3,14
1540173123,2,26
1540173724,3,28
1540174923,3,25
1540175523,3,60
1540176123,2,0
1540176723,3,22
1540177323,0,18
1540177923,23,0
1540178523,6,47
1540179725,4,15
1540180323,7,25
1540180924,6,16
1540182123,6,25
1540182724,11,0
1540183324,4,0
1540184523,2,46
1540185124,9,0
1540185723,10,18
1540186924,4,46
1540187523,3,22
1540188123,4,0
1540189323,3,16
1540189923,3,15
1540190523,3,31
1540191724,6,33
1540192325,4,24
1540192923,11,15
1540194125,4,22
1540194723,5,29
1540195324,6,32
1540196523,3,83
1540197723,3,18
1540198323,3,43
1540199524,5,69
1540200124,5,0
1540200723,10,15
1540201323,4,17
1540201924,3,0
1540202522,6,27
1540203723,5,0
1540204323,3,23
1540204923,20,23
1540205523,6,13
1540206123,10,30
1540207323,1,16
1540208525,26,33
1540209124,11,20
1540209723,61,38
1540210323,44,0
1540210923,54,25
1540212123,1,12
1540213323,3,24
1540213924,8,33
1540214523,13,67
1540215123,3,0
1540215723,6,10
1540216323,1,0
1540216923,9,11
1540217523,5,29
1540218125,3,26
1540219323,11,65
1540219924,15,0
1540220523,10,9
1540221123,4,0
1540221724,2,20
1540222324,6,16
1540222924,5,0
1540224124,0,111
1540224724,2,0
1540225322,6,18
1540226523,5,17
1540227123,5,14
1540227724,4,0
1540228923,6,48
1540229524,8,27
1540230123,0,21
1540231324,6,27
1540231923,10,37
1540232523,11,0
1540233724,2,30
1540234324,8,9
1540234924,3,33
1540236123,4,28
1540236724,3,11
1540237323,2,10
1540238524,2,20
1540239124,6,30
1540239723,9,23
1540240923,3,0
1540241523,3,23
1540242123,4,0
1540243323,2,52
1540244523,4,97
1540245123,3,0
1540245724,9,0
1540246323,8,17
1540246923,10,14
1540248123,10,19
1540248723,3,23
1540249323,3,27
1540249923,8,0
1540250523,3,72
1540251123,7,0
1540251722,7,13
1540252323,3,43
1540252925,2,0
1540254123,7,47
1540254723,9,0
1540255323,6,29
1540256524,3,21
1540257124,13,17
1540257724,5,20
1540258923,1,69
1540259523,10,0
1540260123,8,44
1540261323,5,17
1540261923,4,27
1540262523,6,0
1540263724,11,26
1540264323,1,63
1540264924,19,28
1540266124,13,35
1540266723,3,36
1540267322,7,26
1540268523,20,44
1540269123,4,25
1540269723,18,0
1540270322,11,22
1540270923,20,14
1540271524,14,24
1540272123,14,0
1540272723,13,36
1540273323,10,25
1540273924,15,18
1540274523,2,0
1540275123,6,24
1540275723,22,0
1540276322,7,43
1540276923,13,31
1540278123,5,60
1540278723,0,25
1540279323,5,0
1540280523,11,18
1540281123,11,23
1540281724,6,55
1540282324,7,0
1540282924,5,20
1540284123,9,9
1540284723,6,55
1540285323,6,0
1540285924,7,24
1540286523,5,47
1540287123,2,0
1540287724,8,0
1540288923,10,28
1540289524,6,29
1540290122,8,0
1540291324,12,27
1540292523,11,48
1540293123,8,0
1540293723,5,67
1540294323,4,0
1540294924,7,18
1540295523,3,0
1540296123,4,21
1540296724,5,17
1540297323,8,27
1540298523,2,29
1540299124,14,0
1540299723,5,0
1540300923,5,40
1540302123,5,41
1540302723,8,0
1540303324,3,22
1540303924,9,26
1540304523,14,14
1540305124,8,0
1540305725,7,26
1540306324,7,0
1540306923,6,25
1540307524,2,0
1540308125,8,34
1540308723,6,18
1540309324,5,0
1540309923,3,11
1540310523,5,46
1540311124,2,0
1540311723,11,20
1540312923,2,36
1540313523,4,0
1540314124,12,15
1540314723,5,13
1540315323,8,0
1540315923,10,34
1540316524,5,28
1540317125,5,0
1540317723,4,26
1540318924,10,0
1540319523,4,10
1540320123,14,0
1540320723,8,20
1540321323,7,18
1540321925,18,19
1540322524,6,0
1540323723,1,70
1540324323,3,0
1540324924,6,0
1540326124,3,80
1540326724,3,0
1540327323,5,17
1540327923,1,0
1540328523,3,19
1540329124,7,17
1540329723,4,31
1540330323,7,27
1540330923,6,26
1540331523,8,0
1540332124,4,26
1540332723,7,0
1540333324,3,21
1540333924,5,23
1540334523,2,25
1540335724,8,7
1540336325,5,0
1540336924,6,25
1540338123,22,23
1540338723,3,43
1540339324,5,0
1540339923,5,9
1540340523,3,54
1540341124,2,0
1540341722,4,10
1540342323,2,0
1540342924,6,36
1540343524,3,0
1540344123,7,24
1540344723,3,0
1540345322,14,15
1540346524,7,17
1540347124,10,26
1540347723,9,25
1540348324,9,0
1540348924,5,0
1540349524,2,64
1540350123,6,54
1540350724,11,0
1540351323,5,13
1540351924,8,0
1540352523,10,29
1540353723,9,20
1540354324,2,50
1540354924,2,20
1540355523,9,0
1540356123,5,49
1540356723,6,17
1540357323,4,17
1540358523,6,21
1540359122,3,28
1540359725,5,38
1540360323,12,16
1540360923,2,4
1540362123,9,50
1540362724,1,0
1540363323,2,0
1540363923,7,3
1540364524,5,33
1540365123,4,23
1540365724,3,36
1540366323,1,0
1540366923,2,14
1540368123,7,56
1540368724,3,29
1540369323,8,67
1540369923,4,0
1540370523,11,0
1540371724,1,57
1540372324,1,0
1540372923,7,0
1540374123,5,63
1540375323,9,19
1540376523,13,29
1540377123,3,14
1540377723,8,49
1540378323,4,41
1540378923,3,29
1540379523,6,0
1540380123,5,26
1540380723,6,0
1540381324,5,17
1540381924,11,0
1540382522,7,0
1540383723,3,36
1540384923,7,21
1540385524,9,12
1540386123,7,0
1540386723,11,53
1540387323,5,5
1540388522,6,18
1540389723,7,25
1540390324,7,29
1540390924,13,14
1540391523,9,35
1540392123,6,0
1540393323,5,45
1540394524,4,46
1540395723,7,61
1540396324,2,16
1540396924,7,0
1540397524,8,27
1540398124,6,10
1540399323,6,9
1540400523,4,17
1540401123,3,19
1540401723,3,30
1540402323,9,17
1540402925,7,22
1540404124,12,30
1540404723,9,25
1540405324,1,15
1540406523,6,23
1540407123,5,0
1540407723,7,0
1540408923,3,30
1540409524,4,13
1540410124,4,19
1540411324,6,47
1540411924,5,27
1540412523,7,0
1540413123,4,29
1540413725,5,0
1540414323,1,39
1540414923,6,43
1540416123,3,38
1540416723,2,21
1540417323,6,15
