DateTime,AddedIPs,RemovedIPs
1540098124,80,80
1540098724,79,79
1540099323,80,80
1540099925,80,80
1540100523,80,80
1540101724,80,80
1540102325,80,80
1540102924,80,80
1540103523,80,80
1540104123,80,80
1540104723,80,80
1540105323,80,80
1540105926,80,80
1540106524,80,80
1540107124,80,80
1540107724,80,80
1540108324,80,80
1540108923,79,79
1540109524,80,80
1540110123,80,80
1540110723,80,80
1540111323,80,80
1540111923,80,80
1540112523,80,80
1540113124,79,79
1540113724,80,80
1540114923,80,80
1540116122,80,80
1540117322,80,80
1540117922,79,79
1540118524,80,80
1540119724,79,79
1540120324,80,80
1540120923,80,80
1540122123,80,80
1540123323,80,80
1540124524,80,80
1540125723,80,80
1540127523,80,80
1540128123,80,80
1540128723,80,80
1540129323,80,80
1540129923,80,80
1540130523,80,80
1540131124,80,80
1540131723,80,80
1540132923,80,80
1540133524,80,80
1540134124,80,80
1540134723,80,80
1540135324,80,80
1540135923,80,80
1540136523,80,80
1540137723,80,80
1540138324,80,80
1540138924,80,80
1540139523,80,80
1540140123,79,79
1540141323,80,80
1540141923,80,80
1540142523,80,80
1540143723,80,80
1540144323,80,80
1540144923,80,80
1540146124,80,80
1540146723,79,79
1540147324,80,80
1540148523,80,80
1540149124,80,80
1540149723,80,80
1540150323,80,80
1540150923,79,79
1540151526,80,80
1540152124,80,80
1540153324,80,80
1540154523,80,80
1540155123,80,80
1540155723,80,80
1540156324,80,80
1540156923,80,80
1540157523,80,80
1540158124,80,80
1540159323,80,80
1540160524,80,80
1540161123,80,80
1540161723,80,80
1540162923,80,80
1540163524,79,79
1540164123,80,80
1540165323,80,80
1540165923,80,80
1540166525,80,80
1540167724,80,80
1540168323,80,80
1540168924,80,80
1540170123,80,80
1540170724,80,80
1540171324,80,80
1540172524,80,80
1540173123,80,80
1540173724,80,80
1540174923,80,80
1540175523,80,80
1540176123,80,80
1540176723,80,80
1540177323,80,80
1540177923,80,80
1540178523,80,80
1540179725,80,80
1540180323,80,80
1540180924,80,80
1540182123,80,80
1540182724,80,80
1540183324,80,80
1540184523,80,80
1540185124,80,80
1540185723,80,80
1540186924,80,80
1540187523,80,80
1540188123,80,80
1540189323,80,80
1540189923,80,80
1540190523,80,80
1540191724,80,80
1540192325,80,80
1540192923,80,80
1540194125,80,80
1540194723,80,80
1540195324,80,80
1540196523,80,80
1540197723,80,80
1540198323,80,80
1540199524,80,80
1540200124,80,80
1540200723,80,80
1540201323,80,80
1540201924,79,79
1540202522,79,79
1540203723,80,80
1540204323,80,80
1540204923,80,80
1540205523,80,80
1540206123,80,80
1540207323,80,80
1540208525,80,80
1540209124,80,80
1540209723,80,80
1540210323,80,80
1540210923,80,80
1540212123,80,80
1540213323,80,80
1540213924,79,79
1540214523,80,80
1540215123,80,80
1540215723,80,80
1540216323,80,80
1540216923,80,80
1540217523,80,80
1540218125,80,80
1540219323,80,80
1540219924,80,80
1540220523,80,80
1540221123,80,80
1540221724,80,80
1540222324,80,80
1540222924,80,80
1540224124,80,80
1540224724,80,80
1540225322,80,80
1540226523,80,80
1540227123,80,80
1540227724,80,80
1540228923,79,79
1540229524,79,79
1540230123,80,80
1540231324,80,80
1540231923,80,80
1540232523,79,79
1540233724,80,80
1540234324,80,80
1540234924,79,79
1540236123,80,80
1540236724,80,80
1540237323,80,80
1540238524,80,80
1540239124,80,80
1540239723,80,80
1540240923,80,80
1540241523,80,80
1540242123,80,80
1540243323,70,70
1540244523,80,80
1540245123,80,80
1540245724,80,80
1540246323,80,80
1540246923,80,80
1540248123,80,80
1540248723,80,80
1540249323,80,80
1540249923,80,80
1540250523,79,79
1540251123,80,80
1540251722,80,80
1540252323,80,80
1540252925,80,80
1540254123,77,77
1540254723,80,80
1540255323,80,80
1540256524,80,80
1540257124,80,80
1540257724,80,80
1540258923,80,80
1540259523,80,80
1540260123,80,80
1540261323,80,80
1540261923,80,80
1540262523,80,80
1540263724,80,80
1540264323,80,80
1540264924,80,80
1540266124,80,80
1540266723,80,80
1540267322,80,80
1540268523,80,80
1540269123,80,80
1540269723,80,80
1540270322,80,80
1540270923,80,80
1540271524,80,80
1540272123,80,80
1540272723,80,80
1540273323,80,80
1540273924,80,80
1540274523,80,80
1540275123,80,80
1540275723,80,80
1540276322,80,80
1540276923,80,80
1540278123,80,80
1540278723,80,80
1540279323,80,80
1540280523,80,80
1540281123,80,80
1540281724,80,80
1540282324,80,80
1540282924,80,80
1540284123,80,80
1540284723,79,79
1540285323,80,80
1540285924,76,76
1540286523,80,80
1540287123,80,80
1540287724,80,80
1540288923,80,80
1540289524,79,79
1540290122,80,80
1540291324,80,80
1540292523,80,80
1540293123,80,80
1540293723,80,80
1540294323,80,80
1540294924,80,80
1540295523,80,80
1540296123,79,79
1540296724,80,80
1540297323,80,80
1540298523,80,80
1540299124,80,80
1540299723,80,80
1540300923,80,80
1540302123,80,80
1540302723,80,80
1540303324,80,80
