DateTime,AddedIPs,RemovedIPs
1540054323,2,7
1540054923,3,8
1540056123,4,15
1540056723,0,12
1540057324,2,0
1540058524,3,3
1540059124,6,0
1540059723,1,1
1540060322,1,23
1540060923,8,0
1540061523,4,18
1540063323,2,26
1540064523,2,35
1540065123,2,14
1540066922,1,4
1540068124,9,1
1540068724,7,10
1540069323,16,12
1540069925,5,0
1540070523,2,9
1540071122,3,2
1540071723,1,0
1540072323,2,5
1540072923,7,0
1540073524,1,16
1540074122,10,0
1540075323,3,10
1540075923,6,27
1540076523,7,14
1540077723,7,7
1540078323,0,22
1540080124,1,8
1540080723,0,5
1540081323,0,8
1540081923,1,0
1540082523,0,16
1540083723,0,8
1540084924,6,34
1540085523,3,0
1540086123,4,12
1540086722,1,2
1540087323,2,0
1540087923,1,1
1540088523,4,0
1540089723,1,7
1540090323,1,12
1540090923,1,4
1540091523,0,7
1540092124,3,17
1540092723,3,0
1540093323,2,0
1540093923,4,14
1540094523,3,13
1540095123,2,13
1540095723,0,6
1540096323,1,0
1540096922,1,0
1540098124,1,12
1540099323,2,14
1540099924,2,5
1540100523,5,0
1540101723,7,12
1540102325,4,0
1540102924,2,3
1540103523,3,22
1540104123,1,0
1540104723,3,11
1540105322,2,21
1540105925,1,0
1540106524,1,0
1540107124,3,24
1540107723,3,0
1540108324,3,16
1540108923,2,0
1540109524,2,10
1540110123,1,0
1540110723,9,8
1540111323,0,2
1540111922,4,0
1540112523,2,6
1540113124,2,0
1540113723,4,20
1540114923,3,25
1540116122,0,14
1540117322,2,7
1540117922,0,8
1540119123,0,5
1540119724,1,0
1540120324,0,3
1540120923,0,11
1540122123,1,0
1540123323,1,9
1540124523,0,5
1540125723,0,3
1540126323,5,1
1540127523,1,20
1540128122,1,4
1540129323,8,7
1540129923,2,3
1540130523,0,10
1540131123,4,0
1540131723,0,1
1540132922,2,40
1540134124,3,8
1540135324,4,10
1540135923,3,13
1540136523,2,0
1540137723,2,19
1540138923,1,34
1540139523,0,5
1540140123,0,5
1540141323,1,6
1540141923,4,14
1540142523,3,0
1540143723,0,18
1540144323,5,0
1540144923,10,2
1540145523,4,4
1540146123,4,20
1540147324,0,22
1540147923,0,10
1540148523,4,10
1540149124,3,0
1540149723,1,11
1540151525,1,11
1540152124,2,0
1540153323,2,3
1540154523,4,8
1540155723,0,12
1540156323,3,12
1540156923,4,0
1540157523,2,3
1540158124,2,4
1540159323,2,4
1540160523,2,15
1540161123,1,4
1540161723,0,4
1540162323,1,10
1540162923,0,10
1540164123,0,5
1540165322,0,17
1540165923,0,20
1540167724,2,8
1540168323,7,0
1540168924,1,0
1540170123,1,21
1540170724,0,22
1540171323,0,13
1540171923,1,0
1540173123,0,6
1540173723,1,12
1540175523,3,14
1540176123,3,0
1540177323,0,22
1540178523,1,10
1540179725,4,28
1540180323,2,0
1540180923,1,9
1540182123,0,5
1540184523,9,6
1540185124,4,0
1540185723,10,0
1540186323,11,0
1540186924,5,0
1540187523,10,0
1540188123,4,0
1540189323,7,0
1540189923,5,4
1540190523,2,1
1540191123,1,30
1540191723,0,40
1540192324,6,9
1540192923,4,7
1540194125,4,11
1540194723,2,14
1540195324,1,0
1540195923,2,20
1540196523,3,0
1540197124,1,6
1540197723,5,7
1540199524,0,7
1540200124,4,0
1540200723,15,13
1540201323,13,9
1540201924,6,0
1540202522,6,12
1540203723,14,0
1540204922,6,0
1540206123,6,2
1540206723,3,0
1540208524,2,14
1540209723,2,5
1540210323,1,0
1540212123,1,0
1540212724,2,0
1540213323,1,0
1540213924,9,3
1540214523,5,20
1540215123,5,0
1540215723,0,1
1540216323,3,0
1540216923,2,2
1540217523,3,3
1540218125,3,26
1540219323,4,17
1540219923,4,0
1540220523,1,1
1540221724,1,0
1540222323,0,16
1540222923,1,0
1540223523,3,2
1540224123,3,25
1540224724,1,0
1540225322,1,24
1540226523,4,20
1540227123,11,26
1540227723,23,0
1540228323,7,7
1540228923,17,14
1540229524,6,0
1540230123,10,5
1540230723,1,0
1540231323,0,7
1540231923,4,11
1540233724,8,23
1540234924,8,32
1540236122,3,17
1540236723,1,34
1540237323,0,22
1540238524,0,20
1540239124,0,17
1540239723,8,19
1540241523,0,10
1540242123,4,0
1540243322,10,9
1540244522,6,26
1540245724,6,0
1540246322,1,16
1540246923,1,25
1540248123,3,24
1540248723,1,18
1540249323,2,10
1540249923,7,0
1540250523,4,24
1540251722,2,10
1540252323,0,24
1540252925,1,0
1540254122,3,11
1540254723,2,0
1540255323,1,0
1540256523,6,14
1540257124,6,12
1540257723,9,11
1540258923,6,27
1540260123,2,8
1540261323,8,3
1540261923,1,15
1540262523,1,0
1540263122,1,24
1540263723,1,0
1540264323,4,20
1540264924,4,0
1540266123,9,27
1540266722,3,36
1540267322,0,7
1540268523,7,4
1540269123,1,0
1540269722,4,0
1540270923,0,10
1540271524,2,11
1540273323,4,23
1540273924,2,7
1540274523,3,0
1540275123,2,11
1540275723,9,0
1540276322,0,24
1540276923,5,18
1540278123,7,16
1540278723,1,2
1540280523,0,29
1540281123,4,1
1540281724,8,28
1540282323,4,16
1540282924,8,7
1540284123,8,2
1540284723,5,12
1540285323,4,0
1540285924,1,7
1540286523,0,35
1540287123,0,17
1540287724,1,0
1540288923,5,15
1540289524,8,9
1540290122,4,0
1540291323,0,6
1540292523,1,0
1540293723,0,13
1540296123,2,7
1540297323,0,6
1540299123,5,1
1540299723,3,0
1540300923,4,12
1540302123,3,17
1540302723,1,0
1540303323,8,9
1540303923,26,19
1540304523,3,5
1540305123,3,4
1540305724,3,17
1540306323,2,0
1540306922,2,3
1540308125,7,5
1540308722,8,0
1540309324,6,0
1540310523,6,21
1540311124,4,19
1540311723,1,2
1540312923,6,5
1540314123,1,7
1540314723,1,1
