DateTime,AddedIPs,RemovedIPs
1538665202,164,0
1538668802,196,0
1538672402,147,0
1538676002,134,0
1538679602,140,0
1538683203,153,0
1538686803,114,0
1538690402,137,0
1538694002,117,0
1538697603,245,4003
1538701202,307,0
1538704802,312,0
1538708402,264,0
1538712002,241,0
1538715602,218,0
1538719202,206,0
1538722802,199,0
1538726402,219,0
1538730002,193,0
1538733602,215,0
1538737202,668,0
1538740802,253,0
1538744403,657,0
1538748002,164,0
1538751603,173,0
1538755203,213,0
1538758803,200,0
1538762403,146,0
1538766003,200,0
1538769602,534,0
1538773202,129,1
1538776803,152,0
1538780403,120,0
1538784002,149,4221
1538787602,154,0
1538791202,140,0
1538794802,154,0
1538798402,117,0
1538802002,130,0
1538805602,151,0
1538809202,189,0
1538812802,361,0
1538816402,341,0
1538820002,180,0
1538823602,726,0
1538827202,186,0
1538830802,158,0
1538834402,182,0
1538838002,168,0
1538841602,366,0
1538845203,162,0
1538848802,142,1
1538852403,157,0
1538856003,178,0
1538859603,286,0
1538863202,223,0
1538866802,134,0
1538870402,118,6031
1538874002,150,0
1538877602,111,0
1538881202,133,0
1538884802,147,0
1538888402,143,0
1538892002,170,0
1538895603,152,0
1538899202,133,0
1538902802,134,0
1538906402,142,0
1538910002,144,0
1538913602,134,0
1538917203,133,0
1538920802,138,0
1538924403,148,0
1538928002,151,1
1538931603,178,0
1538935202,168,0
1538938803,135,0
1538942402,184,0
1538946002,158,0
1538949602,113,0
1538953202,142,0
1538956802,117,5358
1538960402,157,0
1538964002,159,0
1538967602,165,0
1538971202,187,0
1538974802,141,0
1538978403,181,0
1538982002,488,0
1538985602,557,0
1538989202,169,0
1538992803,173,0
1538996402,199,0
1539000002,204,0
1539003602,227,0
1539007202,212,0
1539010802,149,0
1539014403,156,0
1539018002,175,0
1539021603,137,0
1539025203,200,0
1539028802,188,0
1539033302,272,0
1539036902,165,0
1539040502,142,0
1539044102,160,3425
1539047702,177,0
1539051302,186,0
1539054902,193,0
1539058502,160,0
1539062102,190,0
1539065702,173,0
1539069302,205,0
1539072902,285,0
1539076502,170,0
1539080102,203,0
1539083702,224,0
1539087302,219,0
1539090902,219,0
1539094502,167,0
1539098102,179,0
1539101702,158,0
1539105302,135,0
1539108902,144,0
1539112502,165,0
1539116103,180,0
1539119702,182,0
1539123302,166,0
1539126903,227,0
1539130502,135,4902
1539134102,156,0
1539137703,144,0
1539141302,155,0
1539144902,151,0
1539148503,163,0
1539152102,300,0
1539155702,327,0
1539159302,246,0
1539162901,192,0
1539166503,230,0
1539170102,259,0
1539173702,180,0
1539177302,177,0
1539180902,169,0
1539184502,170,0
1539188102,173,0
1539191702,211,0
1539195302,145,0
1539198902,138,0
1539202502,139,0
1539206102,169,0
1539209702,157,0
1539213302,168,0
1539216902,191,4381
1539220502,234,0
1539224102,227,0
1539227702,200,0
1539231302,270,0
1539234902,207,0
1539238502,241,0
1539242101,290,0
1539245702,353,0
1539249303,281,0
1539252902,210,0
1539256502,203,0
1539260102,227,0
1539263702,192,0
1539267302,243,0
1539270902,198,0
1539274502,215,0
1539278102,172,0
1539281702,147,0
1539285303,164,0
1539288902,185,0
1539292502,204,0
1539296102,200,0
1539299702,169,0
1539303302,146,4463
1539306902,151,0
1539310502,152,0
1539314102,192,0
1539317702,181,0
1539321302,185,0
1539324902,179,0
1539328502,216,0
1539332102,227,0
1539335702,199,0
1539339302,197,0
1539342902,170,0
1539346502,191,0
1539350103,190,0
1539353703,193,0
1539357302,214,0
1539360902,189,0
1539364503,180,0
1539368102,132,0
1539371703,124,0
1539375302,129,0
1539378902,140,0
1539382502,112,1
1539386102,119,0
1539389702,128,5271
1539393302,162,0
1539396902,175,0
1539400502,168,0
1539404102,164,0
1539407702,162,0
1539411302,215,0
1539414902,192,0
1539418502,181,0
1539422102,225,0
1539425702,234,0
1539429302,199,0
1539432902,153,0
1539436502,171,0
1539440102,172,0
1539443702,145,0
1539447302,128,0
1539450902,207,0
1539454502,138,0
1539458102,121,0
1539461702,152,0
1539465302,110,0
1539468902,119,0
1539472502,121,0
1539476102,95,4205
1539479702,129,0
1539483302,134,0
1539486902,110,0
1539490502,128,0
1539494102,126,0
1539497702,143,0
1539501302,142,0
1539504902,158,0
1539508502,141,0
1539512102,150,0
1539515702,168,0
1539519302,162,0
1539522902,157,0
1539526502,166,0
1539530102,149,0
1539533702,140,0
1539537302,153,0
1539540902,139,0
1539544501,153,0
1539548102,138,0
1539551702,119,0
1539555302,131,0
1539558902,147,0
1539562502,137,3918
1539566102,121,0
1539569702,100,0
1539573302,104,0
1539576902,120,0
1539580502,265,0
1539584102,290,0
1539587702,175,0
1539591302,233,0
1539594902,167,0
1539598502,316,0
1539602102,234,0
1539605702,199,0
1539609302,187,0
1539612902,162,0
1539616502,145,0
1539620102,147,0
1539623702,192,0
1539627302,133,0
1539630902,121,0
1539634502,136,0
1539638102,165,0
1539641702,149,0
1539645301,140,0
1539648902,160,3436
1539652502,178,0
1539656102,159,0
1539659702,162,0
1539663302,135,0
1539666902,156,0
1539670502,212,0
1539674101,174,0
1539677702,191,0
1539681302,158,0
1539684902,164,0
1539688502,188,0
1539692102,162,0
1539695702,181,0
1539699302,166,0
1539702901,132,0
1539706502,155,0
1539710102,153,0
1539713701,150,0
1539717302,147,0
1539720902,159,0
1539724502,175,0
1539728102,128,0
1539731702,134,0
1539735302,192,4131
1539738901,174,0
1539742502,162,0
1539746102,188,0
1539749702,173,0
1539753302,182,0
1539756902,171,0
1539760501,228,0
1539764102,170,0
1539767702,208,0
1539771302,228,0
1539774902,204,0
1539778502,255,0
1539782102,225,0
1539785702,206,0
1539789302,206,0
1539792902,172,0
1539796502,147,0
1539800102,201,0
1539803702,169,0
1539807302,192,0
1539810903,181,0
1539814502,148,0
1539818102,313,0
1539821702,254,3886
1539825302,202,0
1539828902,231,0
1539832502,327,0
1539836101,241,0
1539839702,243,0
1539843302,301,0
1539846902,294,0
1539850502,368,0
1539854102,250,0
1539857702,303,0
1539861302,299,0
1539864902,278,0
1539868501,294,0
1539872102,248,0
1539875703,199,0
1539879302,239,0
1539882902,150,0
1539886502,172,0
1539890102,169,0
1539893702,422,0
1539897302,225,0
1539900902,124,0
1539904502,177,0
1539908102,147,4510
1539911702,175,0
1539915302,207,0
1539918902,226,0
1539922502,311,0
1539926102,231,0
1539929702,189,0
1539933302,311,0
1539936902,308,0
1539940502,152,0
1539944102,170,0
1539947702,186,0
1539951302,183,0
1539954902,317,0
1539958502,220,0
1539962102,216,0
1539965701,191,0
1539969303,169,0
1539972903,125,0
1539976503,115,0
1539980102,123,0
1539983702,150,0
1539987302,128,0
1539990902,132,0
1539994502,121,5950
1539998102,157,0
1540001702,154,0
1540005302,119,0
1540008902,141,0
1540012502,164,0
1540016102,184,0
1540019702,190,0
1540023302,313,0
1540026902,396,0
1540030502,220,0
1540034102,187,0
1540037702,225,0
1540041302,211,0
1540044902,182,0
1540048502,129,0
1540052102,149,0
1540055702,192,0
1540059302,146,0
1540062902,151,0
1540066502,178,0
1540070102,157,0
1540073702,142,0
1540077303,174,0
1540080902,148,4849
1540084502,353,0
1540088102,362,0
1540091702,234,0
1540095302,134,0
1540098902,150,0
1540102502,140,0
1540106102,178,0
1540109702,164,0
1540113302,178,0
1540116902,163,0
1540120502,139,0
1540124102,147,0
1540127702,157,0
1540131302,156,0
1540134902,145,0
1540138503,203,0
1540142102,136,0
1540145702,176,0
1540149302,141,0
1540152902,156,0
1540156502,157,0
1540160102,186,0
1540163702,148,0
1540167302,154,4292
1540170902,234,0
1540174502,302,0
1540178102,164,0
1540181702,161,0
1540185302,176,0
1540188902,317,0
1540192502,370,0
1540196102,673,0
1540199702,540,0
1540203302,309,0
1540206902,316,0
1540210502,330,0
1540214102,330,0
1540217702,286,0
1540221302,252,0
1540224902,188,0
1540228502,133,0
1540232102,135,0
1540235702,127,0
1540239302,155,0
1540242902,113,0
1540246501,127,0
1540250102,149,0
1540253702,157,4065
1540257302,189,0
1540260902,213,0
1540264502,152,0
1540268102,146,0
1540271702,256,0
1540275302,347,0
1540278902,356,0
1540282502,498,0
1540286102,359,0
1540289702,347,0
1540293303,337,0
1540296902,340,0
1540300502,370,0
1540304102,320,0
1540307702,318,0
1540311303,260,0
1540314902,282,0
1540318502,224,0
1540322103,206,0
1540325702,240,0
1540329302,129,0
1540332902,144,0
1540336502,239,0
1540340102,120,5320
1540343702,120,0
1540347302,190,0
1540350902,210,0
1540354502,122,0
1540358102,167,0
1540361702,163,0
1540365302,186,0
1540368902,197,0
1540372503,289,0
1540376102,295,0
1540379702,298,0
1540383302,309,0
1540386902,229,0
1540390502,220,0
1540394101,217,0
1540397702,178,0
1540401302,206,0
1540404902,138,0
1540408502,157,0
1540412102,183,0
1540415702,163,0
1540419303,181,0
1540422902,244,0
1540426502,211,6397
1540430103,328,0
1540433703,328,0
1540437302,211,0
1540440902,161,0
1540444502,173,0
1540448103,179,0
1540451703,218,0
1540455302,162,0
1540458902,306,0
1540462502,294,0
