DateTime,Entries,UniqueIPs
1538665202,8325,8325
1538668802,8521,8521
1538672402,8668,8668
1538676002,8802,8802
1538679602,8942,8942
1538683203,9095,9095
1538686803,9209,9209
1538690402,9346,9346
1538694002,9463,9463
1538697603,5705,5705
1538701202,6012,6012
1538704802,6324,6324
1538708402,6588,6588
1538712002,6829,6829
1538715602,7047,7047
1538719202,7253,7253
1538722802,7452,7452
1538726402,7671,7671
1538730002,7864,7864
1538733602,8079,8079
1538737202,8747,8747
1538740802,9000,9000
1538744403,9657,9657
1538748002,9821,9821
1538751603,9994,9994
1538755203,10207,10207
1538758803,10407,10407
1538762403,10553,10553
1538766003,10753,10753
1538769602,11287,11287
1538773202,11415,11415
1538776803,11567,11567
1538780403,11687,11687
1538784002,7615,7615
1538787602,7769,7769
1538791202,7909,7909
1538794802,8063,8063
1538798402,8180,8180
1538802002,8310,8310
1538805602,8461,8461
1538809202,8650,8650
1538812802,9011,9011
1538816402,9352,9352
1538820002,9532,9532
1538823602,10258,10258
1538827202,10444,10444
1538830802,10602,10602
1538834402,10784,10784
1538838002,10952,10952
1538841602,11318,11318
1538845203,11480,11480
1538848802,11621,11621
1538852403,11778,11778
1538856003,11956,11956
1538859603,12242,12242
1538863202,12465,12465
1538866802,12599,12599
1538870402,6686,6686
1538874002,6836,6836
1538877602,6947,6947
1538881202,7080,7080
1538884802,7227,7227
1538888402,7370,7370
1538892002,7540,7540
1538895603,7692,7692
1538899202,7825,7825
1538902802,7959,7959
1538906402,8101,8101
1538910002,8245,8245
1538913602,8379,8379
1538917203,8512,8512
1538920802,8650,8650
1538924403,8798,8798
1538928002,8948,8948
1538931603,9126,9126
1538935202,9294,9294
1538938803,9429,9429
1538942402,9613,9613
1538946002,9771,9771
1538949602,9884,9884
1538953202,10026,10026
1538956802,4785,4785
1538960402,4942,4942
1538964002,5101,5101
1538967602,5266,5266
1538971202,5453,5453
1538974802,5594,5594
1538978403,5775,5775
1538982002,6263,6263
1538985602,6820,6820
1538989202,6989,6989
1538992803,7162,7162
1538996402,7361,7361
1539000002,7565,7565
1539003602,7792,7792
1539007202,8004,8004
1539010802,8153,8153
1539014403,8309,8309
1539018002,8484,8484
1539021603,8621,8621
1539025203,8821,8821
1539028802,9009,9009
1539033302,9281,9281
1539036902,9446,9446
1539040502,9588,9588
1539044102,6323,6323
1539047702,6500,6500
1539051302,6686,6686
1539054902,6879,6879
1539058502,7039,7039
1539062102,7229,7229
1539065702,7402,7402
1539069302,7607,7607
1539072902,7892,7892
1539076502,8062,8062
1539080102,8265,8265
1539083702,8489,8489
1539087302,8708,8708
1539090902,8927,8927
1539094502,9094,9094
1539098102,9273,9273
1539101702,9431,9431
1539105302,9566,9566
1539108902,9710,9710
1539112502,9875,9875
1539116103,10055,10055
1539119702,10237,10237
1539123302,10403,10403
1539126903,10630,10630
1539130502,5863,5863
1539134102,6019,6019
1539137703,6163,6163
1539141302,6318,6318
1539144902,6469,6469
1539148503,6632,6632
1539152102,6932,6932
1539155702,7259,7259
1539159302,7505,7505
1539162901,7697,7697
1539166503,7927,7927
1539170102,8186,8186
1539173702,8366,8366
1539177302,8543,8543
1539180902,8712,8712
1539184502,8882,8882
1539188102,9055,9055
1539191702,9266,9266
1539195302,9411,9411
1539198902,9549,9549
1539202502,9688,9688
1539206102,9857,9857
1539209702,10014,10014
1539213302,10182,10182
1539216902,5992,5992
1539220502,6226,6226
1539224102,6453,6453
1539227702,6653,6653
1539231302,6923,6923
1539234902,7130,7130
1539238502,7371,7371
1539242101,7661,7661
1539245702,8014,8014
1539249303,8295,8295
1539252902,8505,8505
1539256502,8708,8708
1539260102,8935,8935
1539263702,9127,9127
1539267302,9370,9370
1539270902,9568,9568
1539274502,9783,9783
1539278102,9955,9955
1539281702,10102,10102
1539285303,10266,10266
1539288902,10451,10451
1539292502,10655,10655
1539296102,10855,10855
1539299702,11024,11024
1539303302,6707,6707
1539306902,6858,6858
1539310502,7010,7010
1539314102,7202,7202
1539317702,7383,7383
1539321302,7568,7568
1539324902,7747,7747
1539328502,7963,7963
1539332102,8190,8190
1539335702,8389,8389
1539339302,8586,8586
1539342902,8756,8756
1539346502,8947,8947
1539350103,9137,9137
1539353703,9330,9330
1539357302,9544,9544
1539360902,9733,9733
1539364503,9913,9913
1539368102,10045,10045
1539371703,10169,10169
1539375302,10298,10298
1539378902,10438,10438
1539382502,10549,10549
1539386102,10668,10668
1539389702,5525,5525
1539393302,5687,5687
1539396902,5862,5862
1539400502,6030,6030
1539404102,6194,6194
1539407702,6356,6356
1539411302,6571,6571
1539414902,6763,6763
