DateTime,AddedIPs,RemovedIPs
1537087864,0,1
1537093273,1,2
1537100471,2,5
1537107673,2,3
1537110395,1,0
1537112167,0,1
1537114867,3,1
1537122065,2,4
1537122973,0,1
1537126572,0,1
1537129278,7,5
1537136464,2,3
1537140072,0,1
1537143669,2,1
1537146370,0,1
1537147265,0,1
1537150872,2,4
1537158067,3,4
1537159878,0,1
1537161664,0,1
1537165271,3,3
1537167069,0,1
1537172459,4,4
1537179669,4,2
1537181529,0,1
1537186869,2,4
1537194059,3,2
1537200366,0,1
1537201261,4,3
1537208458,3,3
1537210272,0,1
1537215668,4,1
1537219259,0,1
1537222865,2,3
1537230972,1,3
1537237259,4,3
1537244459,2,5
1537248069,1,0
1537251670,5,4
1537258870,1,4
1537266069,2,2
1537273257,4,2
1537274162,0,1
1537280475,2,3
1537282271,0,1
1537287654,6,1
1537294871,3,3
1537302061,3,3
1537305662,0,1
1537308361,1,0
1537309261,1,1
1537316467,1,3
1537323665,4,2
1537330868,5,5
1537334476,1,0
1537338063,1,4
1537344370,0,1
1537345274,5,3
1537352466,0,2
1537353365,0,1
1537356978,1,0
1537357885,2,0
1537359675,3,2
1537366868,3,3
1537374069,5,1
1537376767,0,1
1537381270,6,1
1537388464,4,1
1537393875,0,1
1537395671,9,2
1537401967,0,1
1537402874,6,4
1537410064,7,6
1537417269,6,7
1537424467,3,4
1537431658,0,3
1537437057,0,1
1537437967,0,1
1537438870,10,3
1537439766,0,1
1537446071,6,4
1537447858,0,1
1537449663,1,0
1537453263,1,4
1537460466,15,4
1537468569,4,3
1537473965,0,1
1537474860,3,4
1537482064,4,3
1537489267,1,9
1537496459,4,4
1537503658,3,4
1537510863,4,7
1537518056,4,1
1537525261,3,9
1537527975,0,1
1537528876,0,1
1537529763,1,0
1537531563,0,1
1537532460,3,1
1537539659,1,9
1537546856,5,4
1537554059,5,3
1537561264,2,2
1537568460,2,2
1537575667,1,2
1537580162,0,1
1537582850,2,8
1537583759,0,1
1537590061,6,4
1537597257,3,2
1537602660,1,0
1537603565,1,0
1537605359,1,0
1537611662,3,4
1537615395,3,0
1537618867,15,4
1537619758,0,1
1537626060,2,3
1537633261,5,1
1537640468,6,4
1537647656,3,1
1537654847,2,12
1537662053,3,7
1537669263,2,2
1537672859,1,0
1537676463,3,6
1537680057,1,0
1537683653,1,6
1537690856,3,4
1537696259,0,1
1537698056,4,4
1537700763,0,1
1537702563,0,1
1537705254,7,2
1537706162,1,0
1537712453,1,5
1537720554,2,3
1537726863,16,2
1537734049,2,2
1537740369,0,1
1537741263,5,0
1537742155,0,1
1537748456,3,2
