DateTime,AddedIPs,RemovedIPs
1538442179,1,1
1538445777,2,0
1538449376,1,5
1538452978,2,0
1538460177,0,5
1538463777,4,0
1538467378,0,3
1538470978,3,0
1538474576,2,0
1538481778,4,2
1538482638,1,2
1538485400,6,0
1538488998,1,2
1538496201,0,2
1538503399,1,0
1538507000,3,2
1538510599,2,0
1538514199,2,6
1538517802,1,0
1538521405,0,1
1538525001,1,0
1538528600,2,1
1538532201,2,7
1538535741,3,1
1538539399,1,4
1538542941,1,0
1538546602,1,2
1538550200,0,3
1538557340,3,3
1538564600,1,0
1538568202,1,1
1538571741,2,0
1538575400,2,2
1538582600,2,3
1538586200,4,0
1538589741,5,0
1538593342,2,5
1538600599,1,0
1538604203,2,1
1538607743,1,0
1538611344,2,0
1538615001,0,1
1538618601,6,4
1538622201,1,0
1538625801,3,2
1538629400,2,0
1538633002,2,3
1538640140,0,9
1538643801,2,0
1538647402,1,16
1538651001,2,0
1538654602,3,8
1538658202,3,6
1538665341,1,4
1538668941,1,0
1538672606,3,3
1538676201,3,0
1538679804,6,1
1538683404,2,0
1538686941,2,1
1538690604,1,2
1538694202,1,2
1538697800,2,2
1538705003,1,0
1538708542,2,1
1538712202,3,3
1538715808,1,2
1538719343,1,2
1538723003,1,1
1538726603,3,0
1538730202,1,12
1538733742,2,0
1538737343,2,7
1538740943,1,0
1538744548,1,3
1538748203,1,1
1538751742,1,2
1538755405,1,3
1538759003,1,0
1538762550,2,0
1538766205,1,2
1538769804,1,0
1538773408,2,1
1538776942,1,0
1538780547,0,2
1538784145,0,2
1538787745,1,2
1538791347,1,0
1538795004,0,13
1538798544,2,0
1538802206,1,1
1538809347,3,7
1538816546,3,1
1538820203,1,2
1538823807,12,0
1538827405,0,2
1538831008,3,1
1538834603,3,0
1538838144,2,2
1538841805,2,1
1538845404,2,0
1538848946,2,4
1538856148,1,1
1538859804,2,0
1538863347,1,1
1538866945,1,0
1538870552,0,3
1538874147,1,2
1538877809,1,2
1538881405,2,0
1538884948,3,3
1538892147,0,2
1538895743,1,0
1538899406,1,3
1538906552,0,6
1538910209,6,0
1538913810,15,4
1538917409,2,0
1538920948,1,1
1538924548,0,3
1538928151,0,2
1538931747,0,2
1538935408,1,1
1538939007,3,0
1538942608,1,0
1538946209,0,7
1538953410,1,2
1538960609,0,1
1538964207,0,1
1538967806,1,6
1538971407,5,0
1538974945,2,1
1538982147,1,3
1538985746,1,0
1538989408,3,0
1538992947,14,0
1538996610,1,2
1539000145,1,0
1539003747,1,6
1539007346,1,3
1539014606,4,0
1539018205,2,1
1539021807,2,1
1539025407,1,1
1539029006,2,1
1539032608,1,0
1539036147,1,1
1539046946,2,0
1539050607,1,1
1539054206,0,7
1539057805,3,0
1539061346,0,1
1539065006,1,4
1539068605,5,0
1539072207,1,3
1539075808,20,0
1539079345,2,5
1539083008,3,0
1539084395,2,0
1539086557,6,0
1539090158,1,2
1539093757,1,4
1539097357,2,0
1539100957,2,0
1539104618,2,2
1539108159,1,0
1539111819,1,2
1539115357,1,1
1539118958,0,9
1539122618,0,2
1539126158,0,1
1539129820,3,0
1539131675,0,2
1539137020,1,0
1539140619,2,1
1539144160,3,6
1539147759,1,3
1539151359,1,0
1539154958,1,1
1539158619,1,0
1539162219,1,1
1539165758,1,0
1539169359,0,5
1539172960,2,1
1539176619,1,0
1539180159,1,0
1539187358,2,0
1539190959,2,1
1539194620,1,7
1539198217,1,0
1539201824,1,3
1539212622,0,1
1539216224,2,2
1539219762,0,1
1539223424,3,14
1539227019,1,3
1539230562,5,25
1539234158,1,0
1539237821,0,1
1539241360,1,4
1539244958,1,5
1539248560,1,22
1539252220,5,2
1539255760,2,6
1539259361,1,1
1539263021,2,0
1539266561,4,1
1539270163,1,1
1539273760,2,5
1539277361,2,0
1539280961,2,0
1539284560,0,3
1539291822,2,1
1539295420,2,0
1539298963,2,2
1539302559,1,0
1539306219,2,1
1539309821,0,1
1539313361,2,1
1539316960,4,5
1539324161,2,5
1539327819,14,2
1539331359,0,3
1539335020,1,0
1539338559,0,5
1539342161,2,0
1539345760,2,1
1539349421,1,0
1539352959,0,3
1539356561,2,2
1539360160,3,0
1539363820,3,4
1539367361,4,0
1539371022,0,3
1539374623,3,1
1539378160,1,3
1539381824,2,0
1539385362,0,2
1539388960,1,1
1539392626,2,0
1539396161,2,2
1539399764,6,0
1539403363,4,4
1539410563,1,4
1539417762,2,1
1539421362,0,1
1539424967,0,1
1539428624,4,4
1539432163,2,4
1539435761,1,0
1539439362,2,1
1539446622,1,1
1539450160,0,4
1539453763,1,2
1539457363,2,0
1539461027,2,0
1539464567,2,1
1539468164,1,1
1539471766,2,0
1539475365,0,1
1539479026,0,1
1539482626,1,0
1539486223,2,5
1539489825,1,0
1539493363,1,0
1539496963,2,0
1539500567,2,2
1539507769,1,0
1539511366,1,5
1539515027,1,0
1539518565,1,1
1539522223,4,1
1539525767,1,2
1539529427,2,5
1539533023,0,1
1539536624,2,0
1539540165,2,3
1539543763,1,0
1539547365,0,3
1539554564,2,1
1539558164,1,0
1539568964,4,2
1539576165,4,2
1539579763,1,0
1539583362,1,5
1539586963,2,0
