DateTime,AddedIPs,RemovedIPs
1538503399,2,0
1538507000,4,3
1538510599,2,3
1538514199,2,1
1538517802,2,1
1538525001,1,0
1538528600,2,1
1538532201,2,3
1538535741,4,2
1538539399,1,2
1538542941,1,0
1538546602,1,2
1538550200,1,2
1538553800,0,2
1538557340,3,7
1538561000,0,12
1538564600,2,5
1538568202,1,2
1538571741,2,7
1538575400,2,6
1538579001,1,3
1538582600,2,2
1538586200,6,0
1538589741,5,3
1538593342,2,1
1538595859,0,1
1538600599,1,1
1538604203,2,3
1538607743,1,0
1538611344,2,4
1538615001,0,2
1538618601,7,0
1538622201,1,1
1538625801,3,3
1538629400,3,3
1538633002,2,4
1538636600,1,1
1538643801,2,7
1538647402,3,7
1538651001,2,3
1538654602,3,4
1538658202,4,4
1538661744,0,1
1538665341,1,2
1538668941,2,1
1538672606,4,2
1538676201,3,0
1538679804,6,2
1538683404,2,0
1538686941,2,1
1538690604,3,1
1538694202,2,2
1538697800,2,2
1538701400,0,1
1538705003,1,1
1538708542,2,3
1538712202,3,10
1538715808,1,1
1538719343,1,0
1538723003,1,3
1538726603,3,5
1538730202,1,1
1538733742,3,2
1538737343,2,1
1538740943,1,1
1538744548,1,1
1538748203,1,3
1538751742,1,0
1538755405,2,2
1538759003,1,1
1538762550,3,2
1538766205,1,3
1538769804,1,1
1538773408,3,0
1538776942,1,1
1538784145,0,2
1538787745,1,1
1538791347,1,2
1538795004,0,2
1538798544,2,2
1538802206,1,1
1538809347,3,2
1538813003,1,1
1538816546,3,2
1538820203,1,3
1538823807,12,4
1538827405,0,2
1538831008,3,2
1538834603,3,1
1538838144,2,3
1538841805,3,2
1538845404,2,1
1538848946,2,1
1538852545,0,1
1538856148,1,0
1538859804,2,0
1538863347,1,7
1538866945,1,1
1538870552,0,1
1538874147,1,1
1538877809,1,1
1538881405,2,2
1538884948,3,5
1538892147,0,1
1538895743,1,1
1538899406,1,2
1538910209,6,1
1538913810,15,1
1538917409,2,5
1538920948,1,1
1538924548,0,3
1538931747,0,1
1538935408,1,1
1538939007,3,1
1538942608,1,1
1538953410,1,2
1538956948,1,0
1538960609,0,1
1538964207,2,1
1538967806,1,3
1538971407,5,4
1538974945,2,1
1538978550,0,2
1538982147,1,2
1538985746,1,0
1538989408,3,5
1538992947,14,4
1538996610,1,2
1539000145,1,0
1539003747,1,2
1539007346,2,4
1539011007,0,1
1539014606,4,0
1539018205,4,1
1539021807,2,1
1539025407,2,2
1539029006,2,2
1539032608,1,9
1539036147,1,0
1539039749,0,2
1539043408,0,1
1539046946,2,2
1539050607,1,0
1539054206,0,1
1539057805,3,10
1539061346,0,2
1539065006,1,1
1539068605,5,1
1539072207,1,0
1539075808,24,0
1539079345,2,1
1539083008,3,5
1539084395,2,1
1539086557,7,0
1539090158,1,0
1539093757,1,1
1539097357,2,0
1539100957,2,1
1539104618,3,1
1539108159,1,2
1539111819,1,5
1539115357,1,0
1539118958,0,3
1539126158,0,1
1539129820,3,1
1539131675,1,2
1539133358,0,1
1539137020,1,0
1539140619,2,14
1539144160,3,3
1539147759,1,25
1539151359,1,1
1539154958,1,4
1539158619,1,5
1539162219,2,23
1539165758,1,2
1539169359,1,1
1539172960,2,8
1539176619,1,2
1539180159,2,1
1539183762,1,2
1539187358,2,4
1539190959,2,1
1539194620,2,0
1539198217,1,2
1539201824,1,2
1539205419,0,1
1539212622,0,1
1539216224,4,1
1539219762,1,2
1539223424,3,1
1539227019,2,1
1539230562,5,5
1539234158,1,0
1539237821,0,5
1539241360,2,1
1539244958,1,2
1539248560,1,4
1539252220,5,3
1539255760,2,3
1539259361,1,0
1539263021,2,1
1539266561,4,4
1539270163,1,1
1539273760,3,2
1539277361,3,3
1539280961,2,2
1539284560,1,0
1539288160,0,3
1539291822,2,1
1539295420,3,3
1539298963,2,0
1539302559,1,2
1539306219,2,3
1539309821,2,1
1539313361,2,1
1539316960,4,3
1539320620,0,1
1539324161,3,2
1539327819,14,3
1539331359,0,1
1539335020,1,1
1539338559,0,1
1539342161,2,5
1539345760,2,1
1539349421,2,3
1539352959,1,0
1539356561,2,1
1539360160,3,1
1539363820,3,5
1539367361,4,2
1539374623,3,0
1539378160,1,1
1539381824,2,1
1539388960,1,1
1539392626,2,0
1539396161,2,1
1539399764,6,2
1539403363,4,3
1539410563,1,1
1539414163,0,1
1539417762,3,2
1539428624,5,5
1539432163,2,1
1539435761,2,1
1539439362,2,2
1539442963,0,4
1539446622,1,1
1539450160,0,1
1539453763,1,3
1539457363,2,0
1539461027,2,3
1539464567,2,0
1539468164,1,0
1539471766,2,1
1539479026,0,1
1539482626,2,1
1539486223,2,1
1539489825,1,2
1539493363,1,1
1539496963,2,2
1539500567,2,3
1539504165,0,2
1539507769,1,1
1539511366,1,1
1539515027,1,5
1539518565,1,3
1539522223,5,2
1539525767,1,0
1539529427,2,2
1539536624,3,2
1539540165,2,0
1539543763,1,0
1539550963,0,1
1539554564,2,1
1539558164,1,0
1539561822,0,1
1539568964,5,1
1539572563,0,1
1539576165,4,3
1539579763,1,3
1539583362,1,1
1539586963,3,3
1539590563,1,2
1539597763,2,1
1539601364,2,6
1539604965,2,1
1539608625,1,3
1539615769,0,1
1539619363,1,0
1539622962,1,1
1539626562,2,2
1539630164,1,2
1539633765,2,0
1539637428,0,2
1539640966,3,2
1539644625,2,2
1539651765,1,0
1539655365,1,1
1539662623,1,1
1539666163,2,2
1539669822,2,3
1539673363,6,1
1539676963,4,1
1539680625,4,6
1539684223,2,2
1539687766,1,1
1539691371,4,3
1539694965,2,0
1539698565,0,1
1539702164,2,1
1539705768,2,1
1539709425,2,0
1539712965,2,0
1539716565,1,1
1539727427,4,0
1539730969,1,1
1539734565,1,2
1539738165,2,1
1539745369,1,2
1539749024,3,3
1539752565,0,2
1539756171,1,2
1539759764,3,2
1539763371,2,1
1539770570,1,0
1539774225,1,2
1539777764,2,2
1539785025,4,1
1539788625,0,2
1539792224,1,2
1539795765,1,1
1539799365,1,5
1539802965,4,3
1539806566,4,1
1539810165,1,1
1539813765,2,1
1539817366,2,0
1539820965,1,0
1539824565,0,1
1539828165,3,1
1539831825,1,3
1539835368,1,1
1539842571,6,4
1539849830,1,4
1539853365,3,2
1539856967,2,1
1539860568,1,4
1539864165,1,2
1539867825,2,1
1539871426,2,3
1539875025,2,5
1539878569,2,3
1539882172,3,3
1539885828,0,2
1539889430,2,2
1539893026,3,0
1539896570,2,1
1539900166,2,2
1539903765,2,1
1539914565,4,3
1539918228,1,1
1539921766,4,3
1539925371,2,2
1539928970,1,2
1539932568,0,2
1539936227,3,0
1539939827,1,3
1539943366,4,1
1539947027,1,2
1539950568,2,2
1539954171,2,1
1539957766,2,2
1539964969,5,0
1539968629,0,1
1539972172,2,2
1539975768,3,1
1539979428,2,4
1539982969,2,0
1539986574,3,5
1539990167,0,1
1539993834,0,1
1539997369,2,0
1540000972,2,1
1540004572,1,0
1540008172,2,2
1540011776,0,2
1540015374,3,5
1540018970,1,3
1540022630,1,3
1540026171,1,2
1540029767,0,4
1540033433,4,3
1540036972,0,2
1540040571,1,1
1540044170,1,2
1540047829,0,2
1540051430,3,6
1540054971,1,0
1540058628,1,3
1540062167,1,2
1540065770,3,0
1540069371,2,3
1540076571,2,0
1540080174,1,0
1540087370,1,1
1540090971,0,1
1540094572,4,4
1540098235,0,2
1540101832,1,1
1540108971,2,1
1540112576,2,0
1540116229,4,3
1540119775,2,4
1540123374,1,1
1540130633,1,1
1540134171,1,0
1540137828,0,2
1540141431,2,0
1540144971,3,0
1540148572,2,1
1540155771,4,1
1540159374,2,0
1540166573,1,1
1540173772,2,1
1540177430,4,4
1540180974,0,1
1540184574,1,2
1540188172,3,2
1540191770,2,0
1540195431,1,3
1540198969,2,1
1540202574,2,2
1540209830,0,1
1540213371,1,1
1540216970,3,0
1540220574,0,4
1540227771,5,3
1540231433,2,2
1540234970,2,2
1540238570,0,1
1540242172,1,0
1540245772,3,0
1540249377,1,2
1540252976,0,1
1540260171,1,1
1540263772,1,0
1540267372,4,4
1540271034,1,8
1540274571,2,3
1540278171,0,4
1540281831,0,1
1540285431,2,3
1540289032,0,4
1540292632,3,6
1540296234,0,1
1540299772,1,2
1540303373,3,2
1540306974,2,2
1540310631,0,1
1540314231,1,2
1540317771,1,2
1540321372,2,1
1540324974,6,3
1540328574,0,2
1540332174,0,1
1540335774,4,0
1540339375,1,1
1540343036,2,1
1540346574,2,3
1540353772,2,2
1540357372,1,0
1540360971,0,1
1540364571,2,1
1540368233,2,3
1540371771,3,0
1540375371,0,1
1540379032,3,6
1540382571,2,0
1540386171,2,3
1540389772,1,1
1540393371,1,0
1540396973,5,0
1540400572,3,5
1540404174,1,1
1540407773,1,0
1540411373,3,2
1540418573,0,1
1540422174,3,4
1540425775,4,3
1540429374,1,1
1540432975,4,5
1540436576,2,2
1540440173,2,2
1540447373,3,4
1540451031,0,4
1540454573,4,2
1540458173,1,1
1540458738,0,1
1540461740,10,0
